date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2024-06-08,10134.0,10134.0,10133.0,10134.0,2070395467606,204301908,607,10000.0,10134.0,1403-03-19
2024-06-09,10143.0,10144.0,10143.0,10144.0,343842154313,33897002,888,10134.0,10144.0,1403-03-20
2024-06-10,10153.0,10154.0,10153.0,10153.0,82463428179,8122025,199,10144.0,10153.0,1403-03-21
2024-06-11,10163.0,10163.0,10162.0,10162.0,111369407773,10958872,186,10153.0,10163.0,1403-03-22
2024-06-12,10177.0,10178.0,10177.0,10177.0,55769769047,5479762,174,10162.0,10178.0,1403-03-23
2024-06-15,10186.0,10187.0,10186.0,10186.0,54813660357,5381167,165,10177.0,10187.0,1403-03-26
2024-06-16,10197.0,10198.0,10197.0,10197.0,43006957145,4217574,108,10186.0,10198.0,1403-03-27
2024-06-18,10206.0,10207.0,10206.0,10206.0,84636530794,8292432,105,10197.0,10206.0,1403-03-29
2024-06-19,10221.0,10222.0,10221.0,10221.0,151423113799,14814539,124,10206.0,10222.0,1403-03-30
2024-06-22,10230.0,10231.0,10230.0,10230.0,100619690882,9835560,145,10221.0,10230.0,1403-04-02
2024-06-23,10239.0,10240.0,10239.0,10239.0,134588077954,13144138,819,10230.0,10239.0,1403-04-03
2024-06-24,10251.0,10252.0,10251.0,10251.0,133965085378,13068394,177,10239.0,10252.0,1403-04-04
2024-06-26,10265.0,10266.0,10265.0,10265.0,147981929099,14415614,176,10251.0,10265.0,1403-04-06
2024-06-29,10274.0,10275.0,10274.0,10274.0,64780439657,6305221,108,10265.0,10274.0,1403-04-09
2024-06-30,10284.0,10284.0,10283.0,10283.0,85409982487,8305858,195,10274.0,10283.0,1403-04-10
2024-07-01,10292.0,10293.0,10292.0,10292.0,94389263170,9171064,128,10283.0,10293.0,1403-04-11
2024-07-02,10302.0,10302.0,10301.0,10301.0,99171421019,9627071,123,10292.0,10302.0,1403-04-12
2024-07-03,10316.0,10317.0,10316.0,10316.0,29565119768,2865918,95,10301.0,10316.0,1403-04-13
2024-07-06,10326.0,10327.0,10325.0,10326.0,275816844658,26711516,152,10316.0,10325.0,1403-04-16
2024-07-07,10335.0,10336.0,10335.0,10335.0,95556075220,9245791,137,10326.0,10336.0,1403-04-17
2024-07-08,10344.0,10345.0,10344.0,10344.0,24984491354,2415289,106,10335.0,10344.0,1403-04-18
2024-07-09,10353.0,10354.0,10353.0,10353.0,413154645954,39905038,174,10344.0,10354.0,1403-04-19
2024-07-10,10365.0,10369.0,10364.0,10365.0,358508000525,34588292,146,10353.0,10365.0,1403-04-20
2024-07-13,10376.0,10377.0,10376.0,10377.0,19924528335,1920157,88,10365.0,10377.0,1403-04-23
2024-07-14,10391.0,10391.0,10390.0,10390.0,16949531367,1631276,66,10377.0,10391.0,1403-04-24
2024-07-17,10404.0,10405.0,10404.0,10404.0,61083696045,5871033,77,10390.0,10404.0,1403-04-27
2024-07-20,10414.0,10414.0,10413.0,10414.0,362820999031,34839887,154,10404.0,10414.0,1403-04-30
2024-07-21,10423.0,10424.0,10423.0,10423.0,48453070747,4648502,76,10414.0,10424.0,1403-04-31
2024-07-22,10432.0,10433.0,10432.0,10432.0,182219930909,17467205,135,10423.0,10432.0,1403-05-01
2024-07-23,10441.0,10442.0,10441.0,10441.0,64616174369,6188682,191,10432.0,10442.0,1403-05-02
2024-07-24,10457.0,10458.0,10457.0,10457.0,40643586801,3886722,70,10441.0,10458.0,1403-05-03
2024-07-27,10467.0,10468.0,10467.0,10467.0,37561552147,3588516,98,10457.0,10468.0,1403-05-06
2024-07-29,10484.0,10485.0,10484.0,10484.0,41183088785,3928146,81,10467.0,10485.0,1403-05-08
2024-07-30,10494.0,10495.0,10494.0,10495.0,25224264803,2403529,72,10484.0,10495.0,1403-05-09
2024-07-31,10512.0,10513.0,10512.0,10512.0,39382164029,3746366,91,10495.0,10512.0,1403-05-10
2024-08-03,10522.0,10523.0,10522.0,10522.0,48267446363,4587233,94,10512.0,10523.0,1403-05-13
