date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2024-06-08,10000.0,10000.0,10000.0,10000.0,299926480000,29992648,112,10000.0,10000.0,1403-03-19
2024-06-09,10000.0,10000.0,10000.0,10000.0,809926620000,80992662,145,10000.0,10000.0,1403-03-20
2024-06-10,10000.0,10000.0,10000.0,10000.0,1113526230000,111352623,143,10000.0,10000.0,1403-03-21
2024-06-11,10000.0,10000.0,10000.0,10000.0,1069632380000,106963238,143,10000.0,10000.0,1403-03-22
2024-06-12,10000.0,10000.0,10000.0,10000.0,6506988290000,650698829,698,10000.0,10000.0,1403-03-23
2024-07-03,10148.0,10149.0,10148.0,10149.0,13709940905,1350886,21,10000.0,10149.0,1403-04-13
2024-07-06,10171.0,10175.0,10171.0,10172.0,138035383681,13570419,68,10149.0,10171.0,1403-04-16
2024-07-07,10182.0,10182.0,10179.0,10179.0,88464125447,8690779,42,10172.0,10179.0,1403-04-17
2024-07-08,10191.0,10191.0,10187.0,10189.0,120346476628,11811667,49,10179.0,10189.0,1403-04-18
2024-07-09,10198.0,10199.0,10195.0,10197.0,281667715805,27622887,48,10189.0,10197.0,1403-04-19
2024-07-10,10207.0,10207.0,10203.0,10206.0,44776057422,4387441,25,10197.0,10206.0,1403-04-20
2024-07-13,10229.0,10231.0,10228.0,10228.0,30120719563,2944798,33,10206.0,10231.0,1403-04-23
2024-07-14,10238.0,10238.0,10237.0,10238.0,52392486941,5117514,34,10228.0,10238.0,1403-04-24
2024-07-17,10262.0,10263.0,10262.0,10262.0,48553153214,4731276,31,10238.0,10262.0,1403-04-27
2024-07-20,10278.0,10278.0,10277.0,10277.0,100893784024,9817312,40,10262.0,10277.0,1403-04-30
2024-07-21,10285.0,10286.0,10285.0,10285.0,88140029592,8569433,31,10277.0,10285.0,1403-04-31
2024-07-22,10293.0,10294.0,10293.0,10293.0,97556098608,9477842,35,10285.0,10293.0,1403-05-01
2024-07-23,10302.0,10303.0,10302.0,10302.0,1510423042,146614,5,10293.0,10303.0,1403-05-02
2024-07-24,10310.0,10311.0,10310.0,10311.0,142243419444,13795405,54,10302.0,10311.0,1403-05-03
2024-07-27,10334.0,10335.0,10334.0,10334.0,124036328011,12002640,76,10311.0,10335.0,1403-05-06
2024-07-29,10350.0,10351.0,10350.0,10351.0,292058000777,28216377,78,10334.0,10351.0,1403-05-08
2024-07-30,10355.0,10356.0,10355.0,10356.0,56434204242,5449433,43,10351.0,10356.0,1403-05-09
2024-07-31,10361.0,10363.0,10360.0,10361.0,354125197436,34178360,95,10356.0,10363.0,1403-05-10
2024-08-03,10385.0,10386.0,10385.0,10385.0,209825665378,20204159,117,10361.0,10385.0,1403-05-13
2024-08-04,10394.0,10395.0,10394.0,10395.0,40912328900,3935776,18,10385.0,10395.0,1403-05-14
2024-08-05,10402.0,10403.0,10402.0,10403.0,16446639034,1580978,20,10395.0,10403.0,1403-05-15
2024-08-06,10411.0,10411.0,10410.0,10411.0,42527313938,4084846,32,10403.0,10411.0,1403-05-16
2024-08-10,10446.0,10446.0,10445.0,10446.0,6750947297,646275,32,10411.0,10446.0,1403-05-20
2024-08-11,10457.0,10457.0,10456.0,10457.0,103878106974,9933879,33,10446.0,10457.0,1403-05-21
2024-08-12,10469.0,10469.0,10468.0,10468.0,64771596079,6187503,36,10457.0,10469.0,1403-05-22
2024-08-13,10479.0,10480.0,10479.0,10480.0,104707655886,9991202,50,10468.0,10480.0,1403-05-23
2024-08-14,10492.0,10493.0,10492.0,10493.0,114397909916,10902342,59,10480.0,10493.0,1403-05-24
2024-08-17,10508.0,10509.0,10508.0,10508.0,11478711387,1092364,40,10493.0,10508.0,1403-05-27
2024-08-18,10521.0,10521.0,10520.0,10521.0,62882602352,5977138,79,10508.0,10521.0,1403-05-28
2024-08-19,10533.0,10533.0,10532.0,10533.0,357043866042,33899149,93,10521.0,10533.0,1403-05-29
2024-08-20,10544.0,10649.0,10543.0,10545.0,307165547044,29128622,104,10533.0,10560.0,1403-05-30
2024-08-21,10555.0,10580.0,10554.0,10566.0,27973554490,2647591,83,10545.0,10569.0,1403-05-31
2024-08-24,10596.0,10596.0,10573.0,10583.0,22461664421,2122403,106,10566.0,10588.0,1403-06-03
2024-08-26,10590.0,10593.0,10588.0,10588.0,567812327860,53626977,145,10583.0,10589.0,1403-06-05
2024-08-27,10597.0,10600.0,10597.0,10598.0,128491137122,12124113,110,10588.0,10600.0,1403-06-06
2024-08-28,10613.0,10615.0,10613.0,10614.0,139268225377,13121444,72,10598.0,10615.0,1403-06-07
2024-08-31,10633.0,10633.0,10632.0,10633.0,124197668345,11680555,78,10614.0,10633.0,1403-06-10
2024-09-01,10648.0,10649.0,10648.0,10649.0,57233034841,5374540,80,10633.0,10649.0,1403-06-11
2024-09-03,10675.0,10678.0,10675.0,10675.0,399522965903,37425357,174,10649.0,10678.0,1403-06-13
2024-09-07,10692.0,10697.0,10691.0,10692.0,465518965067,43538939,113,10675.0,10697.0,1403-06-17
2024-09-08,10700.0,10701.0,10699.0,10699.0,358277401668,33485921,128,10692.0,10699.0,1403-06-18
2024-09-09,10708.0,10709.0,10708.0,10708.0,89044782549,8315533,78,10699.0,10709.0,1403-06-19
2024-09-10,10718.0,10719.0,10718.0,10719.0,73566460878,6863217,76,10708.0,10719.0,1403-06-20
2024-09-11,10735.0,10736.0,10735.0,10735.0,157776970537,14696951,178,10719.0,10736.0,1403-06-21
2024-09-14,10754.0,10754.0,10753.0,10754.0,155572905920,14467075,161,10735.0,10754.0,1403-06-24
2024-09-15,10762.0,10762.0,10761.0,10762.0,126863991280,11788646,102,10754.0,10762.0,1403-06-25
2024-09-16,10771.0,10771.0,10770.0,10771.0,220946804800,20513212,82,10762.0,10771.0,1403-06-26
2024-09-17,10780.0,10781.0,10780.0,10780.0,51754380684,4800897,79,10771.0,10781.0,1403-06-27
2024-09-18,10807.0,10809.0,10807.0,10808.0,73569229645,6806957,69,10780.0,10809.0,1403-06-28
2024-09-22,10826.0,10878.0,10826.0,10837.0,76307000110,7041543,138,10808.0,10868.0,1403-07-01
2024-09-23,10850.0,10853.0,10840.0,10847.0,80352192066,7407564,196,10837.0,10847.0,1403-07-02
2024-09-24,10859.0,10859.0,10849.0,10849.0,150406609182,13863074,170,10847.0,10849.0,1403-07-03
2024-09-25,10856.0,10878.0,10856.0,10861.0,166813201406,15359266,132,10849.0,10871.0,1403-07-04
2024-09-28,10884.0,10885.0,10883.0,10884.0,99765597319,9166300,211,10861.0,10884.0,1403-07-07
2024-09-29,10893.0,10895.0,10892.0,10893.0,161339153173,14811267,157,10884.0,10893.0,1403-07-08
2024-09-30,10902.0,10902.0,10901.0,10901.0,273476475976,25086929,202,10893.0,10902.0,1403-07-09
2024-10-01,10910.0,10911.0,10909.0,10910.0,699194165091,64087548,154,10901.0,10911.0,1403-07-10
2024-10-02,10920.0,10940.0,10920.0,10932.0,371537266523,33987142,149,10910.0,10940.0,1403-07-11
2024-10-05,10946.0,10998.0,10946.0,10950.0,79125461481,7225934,180,10932.0,10960.0,1403-07-14
2024-10-06,10965.0,11013.0,10962.0,10972.0,126106044615,11493837,298,10950.0,10980.0,1403-07-15
2024-10-07,11022.0,11028.0,10974.0,11006.0,267507199509,24306106,458,10972.0,11025.0,1403-07-16
2024-10-08,11007.0,11030.0,11003.0,11007.0,636578823768,57835510,795,11006.0,11008.0,1403-07-17
2024-10-09,11009.0,11009.0,11008.0,11008.0,235575657703,21399580,237,11007.0,11009.0,1403-07-18
2024-10-12,11011.0,11012.0,11011.0,11011.0,337105296576,30615074,251,11008.0,11012.0,1403-07-21
2024-10-13,11021.0,11021.0,11020.0,11020.0,126949386266,11519848,109,11011.0,11020.0,1403-07-22
2024-10-14,11035.0,11035.0,11034.0,11035.0,500300532772,45337937,186,11020.0,11034.0,1403-07-23
2024-10-15,11044.0,11045.0,11044.0,11044.0,158307235404,14333839,140,11035.0,11045.0,1403-07-24
2024-10-16,11068.0,11068.0,11067.0,11067.0,77362677792,6990098,133,11044.0,11067.0,1403-07-25
2024-10-19,11079.0,11080.0,11079.0,11079.0,617627085910,55746975,252,11067.0,11079.0,1403-07-28
2024-10-20,11089.0,11090.0,11089.0,11090.0,241672444433,21792871,184,11079.0,11090.0,1403-07-29
2024-10-21,11103.0,11104.0,11103.0,11104.0,131264790377,11821819,201,11090.0,11104.0,1403-07-30
2024-10-22,11116.0,11117.0,11116.0,11117.0,405084787463,36438863,276,11104.0,11117.0,1403-08-01
2024-10-23,11130.0,11132.0,11129.0,11130.0,290117284594,26066657,287,11117.0,11132.0,1403-08-02
2024-10-26,11143.0,11146.0,11143.0,11143.0,496125896451,44521667,310,11130.0,11146.0,1403-08-05
2024-10-27,11155.0,11163.0,11155.0,11157.0,170481034661,15280044,236,11143.0,11162.0,1403-08-06
2024-10-28,11170.0,11190.0,11166.0,11171.0,432004185324,38673429,533,11157.0,11167.0,1403-08-07
2024-10-29,11184.0,11184.0,11183.0,11183.0,410778090918,36730821,337,11171.0,11184.0,1403-08-08
2024-10-30,11196.0,11198.0,11195.0,11196.0,515660521346,46058261,342,11183.0,11198.0,1403-08-09
2024-11-02,11209.0,11220.0,11208.0,11210.0,259563355956,23154643,357,11196.0,11219.0,1403-08-12
2024-11-03,11223.0,11231.0,11222.0,11224.0,275226766942,24520947,351,11210.0,11230.0,1403-08-13
2024-11-04,11237.0,11256.0,11237.0,11242.0,120773174897,10742583,379,11224.0,11256.0,1403-08-14
2024-11-05,11266.0,11280.0,11254.0,11257.0,1104885172998,98153945,690,11242.0,11255.0,1403-08-15
2024-11-06,11275.0,11279.0,11274.0,11275.0,487615610090,43247357,464,11257.0,11279.0,1403-08-16
2024-11-09,11288.0,11297.0,11287.0,11290.0,188726856904,16716305,422,11275.0,11297.0,1403-08-19
2024-11-10,11303.0,11322.0,11303.0,11311.0,745569026224,65915116,727,11290.0,11317.0,1403-08-20
2024-11-11,11324.0,11339.0,11323.0,11327.0,401792952204,35471483,639,11311.0,11338.0,1403-08-21
2024-11-12,11337.0,11361.0,11337.0,11350.0,398587767013,35119201,855,11327.0,11361.0,1403-08-22
2024-11-13,11401.0,11409.0,11368.0,11393.0,567803269363,49837069,1019,11350.0,11407.0,1403-08-23
2024-11-16,11395.0,11397.0,11394.0,11395.0,896793944457,78703249,958,11393.0,11397.0,1403-08-26
2024-11-17,11401.0,11402.0,11401.0,11401.0,713558967183,62587150,487,11395.0,11401.0,1403-08-27
2024-11-18,11407.0,11408.0,11407.0,11407.0,501142859296,43931498,425,11401.0,11408.0,1403-08-28
2024-11-19,11418.0,11419.0,11418.0,11419.0,254069682452,22250486,347,11407.0,11419.0,1403-08-29
2024-11-20,11430.0,11431.0,11430.0,11431.0,275357707266,24089121,390,11419.0,11431.0,1403-08-30
2024-11-23,11443.0,11446.0,11443.0,11444.0,361763722327,31612751,523,11431.0,11444.0,1403-09-03
2024-11-24,11457.0,11458.0,11456.0,11456.0,453735496256,39605685,388,11444.0,11458.0,1403-09-04
2024-11-25,11468.0,11469.0,11468.0,11468.0,371117035966,32360473,338,11456.0,11469.0,1403-09-05
2024-11-26,11482.0,11482.0,11481.0,11481.0,380098934213,33105571,374,11468.0,11482.0,1403-09-06
2024-11-27,11495.0,11497.0,11494.0,11495.0,352408511606,30657781,329,11481.0,11495.0,1403-09-07
2024-11-30,11509.0,11509.0,11508.0,11508.0,205505007810,17857013,386,11495.0,11509.0,1403-09-10
2024-12-01,11522.0,11522.0,11521.0,11521.0,239307694002,20770688,248,11508.0,11522.0,1403-09-11
2024-12-02,11534.0,11535.0,11534.0,11534.0,425471427237,36887427,364,11521.0,11535.0,1403-09-12
2024-12-03,11547.0,11548.0,11547.0,11547.0,423384853979,36665545,346,11534.0,11547.0,1403-09-13
2024-12-04,11560.0,11562.0,11560.0,11561.0,285230981706,24672448,501,11547.0,11561.0,1403-09-14
2024-12-07,11575.0,11575.0,11574.0,11574.0,331590292370,28649194,378,11561.0,11575.0,1403-09-17
2024-12-08,11588.0,11588.0,11587.0,11588.0,242850620281,20957623,373,11574.0,11588.0,1403-09-18
2024-12-09,11601.0,11602.0,11601.0,11601.0,162713555906,14025359,342,11588.0,11602.0,1403-09-19
2024-12-10,11614.0,11615.0,11614.0,11614.0,453728666276,39066859,376,11601.0,11615.0,1403-09-20
2024-12-11,11672.0,11673.0,11626.0,11631.0,303994699019,26136889,425,11614.0,11627.0,1403-09-21
2024-12-14,11643.0,11644.0,11643.0,11643.0,262724825682,22564491,642,11631.0,11644.0,1403-09-24
2024-12-15,11656.0,11657.0,11656.0,11656.0,570822214292,48971412,438,11643.0,11657.0,1403-09-25
2024-12-16,11669.0,11670.0,11668.0,11669.0,422125138757,36174735,365,11656.0,11670.0,1403-09-26
2024-12-17,11682.0,11683.0,11682.0,11682.0,473525401627,40533289,348,11669.0,11683.0,1403-09-27
2024-12-18,11698.0,11699.0,11698.0,11699.0,443939889355,37947519,421,11682.0,11699.0,1403-09-28
2024-12-21,11714.0,11718.0,11713.0,11714.0,605726865667,51708187,570,11699.0,11718.0,1403-10-01
2024-12-22,11728.0,11765.0,11727.0,11728.0,419899230319,35801912,474,11714.0,11731.0,1403-10-02
2024-12-23,11742.0,11745.0,11741.0,11742.0,244072825446,20786324,474,11728.0,11744.0,1403-10-03
2024-12-24,11755.0,11759.0,11755.0,11756.0,427975585197,36405700,484,11742.0,11759.0,1403-10-04
2024-12-25,11770.0,11773.0,11769.0,11770.0,369927169879,31428521,559,11756.0,11771.0,1403-10-05
2024-12-28,11784.0,11786.0,11783.0,11784.0,517918625983,43951953,610,11770.0,11786.0,1403-10-08
2024-12-29,11798.0,11802.0,11797.0,11799.0,316426672357,26818252,571,11784.0,11802.0,1403-10-09
2024-12-30,11813.0,11828.0,11812.0,11820.0,238911524664,20212437,584,11799.0,11828.0,1403-10-10
2024-12-31,11834.0,11855.0,11834.0,11840.0,640873900159,54128654,797,11820.0,11855.0,1403-10-11
2025-01-01,11851.0,11875.0,11850.0,11851.0,1057501774446,89231751,1039,11840.0,11852.0,1403-10-12
2025-01-04,11864.0,11866.0,11864.0,11865.0,915020999208,77122059,913,11851.0,11865.0,1403-10-15
2025-01-05,11878.0,11879.0,11878.0,11879.0,376411669174,31687985,706,11865.0,11879.0,1403-10-16
2025-01-06,11892.0,11893.0,11892.0,11892.0,428133831315,36000963,566,11879.0,11893.0,1403-10-17
2025-01-07,11905.0,11906.0,11904.0,11905.0,658686963626,55328248,562,11892.0,11906.0,1403-10-18
2025-01-08,11918.0,11919.0,11918.0,11918.0,573067945152,48082402,784,11905.0,11919.0,1403-10-19
2025-01-11,11932.0,11932.0,11931.0,11931.0,615638115290,51598694,653,11918.0,11932.0,1403-10-22
2025-01-12,11944.0,11946.0,11944.0,11945.0,1019785912840,85375062,719,11931.0,11945.0,1403-10-23
2025-01-13,11959.0,11959.0,11958.0,11958.0,426983458754,35705592,985,11945.0,11959.0,1403-10-24
2025-01-15,11977.0,11977.0,11976.0,11977.0,228998517901,19120511,763,11958.0,11977.0,1403-10-26
2025-01-18,11992.0,11993.0,11992.0,11993.0,425744346743,35500636,661,11977.0,11992.0,1403-10-29
2025-01-19,12007.0,12008.0,12007.0,12008.0,800609351350,66675358,663,11993.0,12008.0,1403-10-30
2025-01-20,12022.0,12023.0,12022.0,12022.0,684235681014,56913374,724,12008.0,12023.0,1403-11-01
2025-01-21,12035.0,12036.0,12035.0,12035.0,586747958692,48751456,770,12022.0,12035.0,1403-11-02
2025-01-22,12050.0,12051.0,12050.0,12050.0,393993421497,32695733,830,12035.0,12051.0,1403-11-03
2025-01-25,12064.0,12068.0,12064.0,12065.0,894012231329,74101134,905,12050.0,12068.0,1403-11-06
2025-01-26,12082.0,12085.0,12082.0,12083.0,822873210005,68102793,800,12065.0,12085.0,1403-11-07
2025-01-27,12097.0,12102.0,12097.0,12099.0,726331245455,60032801,1005,12083.0,12101.0,1403-11-08
2025-01-29,12113.0,12118.0,12113.0,12114.0,560630916778,46279469,966,12099.0,12118.0,1403-11-10
2025-02-01,12127.0,12128.0,12127.0,12127.0,952003697909,78501040,759,12114.0,12128.0,1403-11-13
2025-02-02,12140.0,12142.0,12138.0,12140.0,819661866620,67516545,702,12127.0,12141.0,1403-11-14
2025-02-03,12153.0,12155.0,12151.0,12153.0,861949003749,70922636,634,12140.0,12155.0,1403-11-15
2025-02-04,12167.0,12168.0,12165.0,12167.0,1019654253545,83805862,591,12153.0,12167.0,1403-11-16
2025-02-05,12183.0,12184.0,12182.0,12183.0,577879276324,47434008,712,12167.0,12183.0,1403-11-17
2025-02-09,12210.0,12211.0,12207.0,12209.0,1005958655932,82391692,887,12183.0,12211.0,1403-11-21
2025-02-11,12225.0,12226.0,12225.0,12225.0,637120392756,52114455,679,12209.0,12226.0,1403-11-23
2025-02-15,12258.0,12259.0,12256.0,12257.0,864137964478,70502178,739,12225.0,12258.0,1403-11-27
2025-02-16,12273.0,12274.0,12273.0,12273.0,706863426554,57593381,670,12257.0,12274.0,1403-11-28
2025-02-17,12285.0,12286.0,12285.0,12285.0,942697069824,76734147,627,12273.0,12285.0,1403-11-29
2025-02-18,12302.0,12303.0,12301.0,12302.0,1008160440563,81954052,601,12285.0,12303.0,1403-11-30
2025-02-19,12320.0,12321.0,12320.0,12320.0,647358217650,52544595,591,12302.0,12321.0,1403-12-01
2025-02-22,12335.0,12336.0,12335.0,12336.0,718468729026,58243888,803,12320.0,12336.0,1403-12-04
2025-02-23,12351.0,12352.0,12351.0,12351.0,1340572963953,108537467,772,12336.0,12352.0,1403-12-05
2025-02-24,12366.0,12367.0,12366.0,12366.0,670986321649,54259796,643,12351.0,12367.0,1403-12-06
2025-02-25,12381.0,12382.0,12381.0,12381.0,813669430151,65717538,839,12366.0,12381.0,1403-12-07
2025-02-26,12396.0,12397.0,12396.0,12396.0,522405911291,42142032,647,12381.0,12397.0,1403-12-08
2025-03-01,12411.0,12412.0,12411.0,12411.0,1188822264499,95786231,887,12396.0,12412.0,1403-12-11
2025-03-02,12426.0,12429.0,12426.0,12426.0,791242670068,63673979,638,12411.0,12429.0,1403-12-12
2025-03-03,12441.0,12442.0,12441.0,12441.0,1148551837286,92318714,618,12426.0,12442.0,1403-12-13
2025-03-04,12456.0,12457.0,12456.0,12456.0,747522874175,60012539,579,12441.0,12457.0,1403-12-14
2025-03-05,12471.0,12472.0,12470.0,12471.0,3071918788133,246329603,823,12456.0,12472.0,1403-12-15
2025-03-08,12486.0,12487.0,12485.0,12486.0,1579580590349,126506613,739,12471.0,12487.0,1403-12-18
2025-03-09,12501.0,12502.0,12500.0,12501.0,1624324641041,129934059,743,12486.0,12502.0,1403-12-19
2025-03-10,12516.0,12517.0,12516.0,12516.0,1169582874386,93445895,881,12501.0,12517.0,1403-12-20
2025-03-11,12532.0,12532.0,12530.0,12531.0,1427519607701,113918076,773,12516.0,12532.0,1403-12-21
2025-03-12,12547.0,12547.0,12546.0,12546.0,607699706890,48436892,733,12531.0,12547.0,1403-12-22
2025-03-15,12561.0,12562.0,12560.0,12561.0,1154000733889,91870361,754,12546.0,12562.0,1403-12-25
2025-03-16,12579.0,12580.0,12578.0,12579.0,1311661044626,104272697,696,12561.0,12578.0,1403-12-26
2025-03-17,12596.0,12597.0,12576.0,12595.0,3236156933402,256944379,1231,12579.0,12597.0,1403-12-27
2025-03-18,12629.0,12700.0,12629.0,12639.0,951847027754,75309293,858,12595.0,12660.0,1403-12-28
2025-03-25,12670.0,12671.0,12668.0,12670.0,1264283913149,99782990,811,12639.0,12670.0,1404-01-05
2025-03-26,12695.0,12696.0,12695.0,12696.0,393155428516,30967881,649,12670.0,12696.0,1404-01-06
2025-03-29,12721.0,12721.0,12720.0,12720.0,700462283943,55066177,811,12696.0,12721.0,1404-01-09
2025-03-30,12753.0,12764.0,12753.0,12755.0,418894045047,32841168,621,12720.0,12753.0,1404-01-10
2025-04-05,12784.0,12785.0,12784.0,12784.0,620250973648,48515941,813,12755.0,12785.0,1404-01-16
2025-04-06,12800.0,12800.0,12799.0,12799.0,740262427197,57835457,726,12784.0,12800.0,1404-01-17
2025-04-07,12814.0,12815.0,12814.0,12814.0,720376983898,56216995,659,12799.0,12815.0,1404-01-18
2025-04-08,12829.0,12830.0,12829.0,12829.0,891032292498,69452396,825,12814.0,12830.0,1404-01-19
2025-04-09,12847.0,12848.0,12847.0,12847.0,696841732368,54239987,668,12829.0,12848.0,1404-01-20
2025-04-12,12863.0,12863.0,12862.0,12862.0,1054093880931,81952702,655,12847.0,12863.0,1404-01-23
2025-04-13,12877.0,12878.0,12877.0,12877.0,1202825411335,93407828,741,12862.0,12878.0,1404-01-24
2025-04-14,12892.0,12893.0,12892.0,12892.0,577729734171,44811352,904,12877.0,12893.0,1404-01-25
2025-04-15,12908.0,12909.0,12907.0,12907.0,1116598310571,86508193,724,12892.0,12908.0,1404-01-26
2025-04-16,12926.0,12926.0,12925.0,12925.0,1087805070409,84160426,608,12907.0,12926.0,1404-01-27
2025-04-19,12939.0,12940.0,12939.0,12939.0,868707049258,67137029,645,12925.0,12940.0,1404-01-30
2025-04-20,12953.0,12954.0,12953.0,12953.0,1244891905815,96107674,712,12939.0,12954.0,1404-01-31
2025-04-21,12967.0,12968.0,12967.0,12967.0,895434291583,69054461,622,12953.0,12968.0,1404-02-01
2025-04-22,12981.0,12982.0,12981.0,12981.0,1011727301399,77937750,626,12967.0,12982.0,1404-02-02
2025-04-23,12998.0,12999.0,12998.0,12998.0,544978615496,41926585,619,12981.0,12999.0,1404-02-03
2025-04-26,13012.0,13013.0,13012.0,13012.0,436331411649,33532431,538,12998.0,13013.0,1404-02-06
2025-04-27,13026.0,13027.0,13026.0,13026.0,1019188560122,78241234,544,13012.0,13027.0,1404-02-07
2025-04-28,13040.0,13041.0,13040.0,13040.0,935234214665,71718956,539,13026.0,13040.0,1404-02-08
