date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2008-08-09,1500.0,1500.0,1500.0,1500.0,3345450000000,2230300000,19267,0.0,1500.0,1387-05-19
2008-08-10,1545.0,1545.0,1545.0,1545.0,99140919600,64168880,4389,1500.0,1545.0,1387-05-20
2008-08-11,1591.0,1591.0,1553.0,1553.0,5378265341,3380431,501,1545.0,1553.0,1387-05-21
2008-08-12,1599.0,1599.0,1556.0,1556.0,1698478157,1062213,296,1553.0,1556.0,1387-05-22
2008-08-13,1602.0,1602.0,1563.0,1563.0,4211636784,2628987,649,1556.0,1563.0,1387-05-23
2008-08-16,1609.0,1609.0,1570.0,1570.0,4666091565,2899995,750,1563.0,1570.0,1387-05-26
2008-08-18,1617.0,1617.0,1580.0,1615.0,426123036649,263752470,15325,1570.0,1615.0,1387-05-28
2008-08-19,1617.0,1655.0,1568.0,1595.0,82949216700,51973731,3741,1615.0,1595.0,1387-05-29
2008-08-20,1580.0,1642.0,1552.0,1620.0,65275556461,40288734,2637,1595.0,1620.0,1387-05-30
2008-08-23,1650.0,1668.0,1638.0,1638.0,12204681128,7321796,624,1620.0,1638.0,1387-06-02
2008-08-24,1687.0,1687.0,1640.0,1640.0,1034395389,613157,101,1638.0,1640.0,1387-06-03
2008-08-25,1689.0,1689.0,1644.0,1644.0,2436333069,1442471,225,1640.0,1644.0,1387-06-04
2008-08-26,1693.0,1693.0,1654.0,1654.0,6235545472,3683134,500,1644.0,1654.0,1387-06-05
2008-08-27,1703.0,1703.0,1663.0,1663.0,5582901925,3278275,618,1654.0,1663.0,1387-06-06
2008-08-30,1712.0,1712.0,1668.0,1668.0,3376019048,1971974,321,1663.0,1668.0,1387-06-09
2008-08-31,1718.0,1718.0,1710.0,1717.0,349180375699,203253899,9699,1668.0,1717.0,1387-06-10
2008-09-01,1750.0,1768.0,1727.0,1765.0,85390046457,48361658,2734,1717.0,1765.0,1387-06-11
2008-09-02,1817.0,1817.0,1800.0,1800.0,22458121647,12360001,801,1765.0,1800.0,1387-06-12
2008-09-03,1854.0,1854.0,1803.0,1803.0,2106195402,1136028,137,1800.0,1803.0,1387-06-13
2008-09-06,1857.0,1857.0,1820.0,1820.0,10941525338,5892044,715,1803.0,1820.0,1387-06-16
2008-09-07,1874.0,1874.0,1862.0,1873.0,143822061632,76748133,4794,1820.0,1873.0,1387-06-17
2008-09-08,1929.0,1929.0,1895.0,1895.0,14066190500,7291960,800,1873.0,1895.0,1387-06-18
2008-09-09,1951.0,1951.0,1914.0,1914.0,12434739101,6373521,858,1895.0,1914.0,1387-06-19
2008-09-10,1971.0,1971.0,1938.0,1938.0,15204155700,7713930,983,1914.0,1938.0,1387-06-20
2008-09-13,1996.0,1996.0,1880.0,1932.0,359113706480,185965414,10111,1938.0,1932.0,1387-06-23
2008-09-14,1902.0,1929.0,1875.0,1879.0,61484635634,32720059,1895,1932.0,1879.0,1387-06-24
2008-09-15,1823.0,1935.0,1823.0,1857.0,88322718846,47539350,3318,1879.0,1857.0,1387-06-25
2008-09-16,1912.0,1912.0,1912.0,1912.0,35835430560,18742380,995,1857.0,1912.0,1387-06-26
2008-09-17,1969.0,1969.0,1960.0,1960.0,30259536778,15367972,1336,1912.0,1960.0,1387-06-27
2008-09-20,2018.0,2018.0,1970.0,2017.0,205624669644,102125504,6050,1960.0,2017.0,1387-06-30
2008-09-21,2036.0,2077.0,2033.0,2073.0,71040062735,34267746,2200,2017.0,2073.0,1387-06-31
2008-09-23,2135.0,2135.0,2039.0,2122.0,211181313184,99510688,5695,2073.0,2122.0,1387-07-02
2008-09-24,2120.0,2130.0,2059.0,2076.0,83067259753,40005063,2639,2122.0,2076.0,1387-07-03
2008-09-27,2076.0,2098.0,2014.0,2022.0,84003784545,41529375,2116,2076.0,2022.0,1387-07-06
2008-09-28,2002.0,2082.0,1972.0,2057.0,105851132210,51460333,2965,2022.0,2057.0,1387-07-07
2008-09-29,2089.0,2105.0,2051.0,2074.0,28881924867,13889162,1338,2057.0,2074.0,1387-07-08
2008-09-30,2077.0,2081.0,2022.0,2060.0,28723856309,13973256,1036,2074.0,2060.0,1387-07-09
2008-10-04,2048.0,2058.0,1999.0,2000.0,40174909178,20078860,1154,2060.0,2000.0,1387-07-13
2008-10-05,1961.0,1970.0,1940.0,1940.0,233387469789,120278024,3633,2000.0,1940.0,1387-07-14
2008-10-06,1940.0,1960.0,1883.0,1901.0,73305963274,38551124,2324,1940.0,1901.0,1387-07-15
2008-10-07,1885.0,1899.0,1844.0,1856.0,41457987486,22331423,1617,1901.0,1856.0,1387-07-16
2008-10-08,1802.0,1820.0,1801.0,1801.0,81952605551,45484913,1886,1856.0,1801.0,1387-07-17
2008-10-11,1747.0,1747.0,1747.0,1747.0,35273027116,20190628,492,1801.0,1747.0,1387-07-20
2008-10-12,1695.0,1732.0,1695.0,1696.0,181411542831,106955747,4944,1747.0,1696.0,1387-07-21
2008-10-13,1710.0,1746.0,1710.0,1712.0,11100649293,6369397,464,1696.0,1712.0,1387-07-22
2008-10-14,1763.0,1763.0,1713.0,1713.0,562918348,319296,58,1712.0,1713.0,1387-07-23
2008-10-15,1764.0,1764.0,1714.0,1714.0,647064688,366817,58,1713.0,1714.0,1387-07-24
2008-10-18,1765.0,1765.0,1763.0,1764.0,101561666935,57542179,3793,1714.0,1764.0,1387-07-27
2008-10-19,1780.0,1816.0,1780.0,1808.0,61463116107,33994298,2482,1764.0,1808.0,1387-07-28
2008-10-20,1795.0,1845.0,1754.0,1771.0,39628213254,22415354,1323,1808.0,1771.0,1387-07-29
2008-10-21,1771.0,1824.0,1750.0,1808.0,31002441024,17103096,1169,1771.0,1808.0,1387-07-30
2008-10-22,1840.0,1862.0,1797.0,1845.0,27468328027,14814869,999,1808.0,1845.0,1387-08-01
2008-10-26,1862.0,1889.0,1646.0,1690.0,20795002826,12300201,851,1845.0,1690.0,1387-08-05
2008-10-27,1698.0,1740.0,1675.0,1706.0,13061875458,7556562,486,1690.0,1706.0,1387-08-06
2008-10-28,1757.0,1757.0,1715.0,1746.0,29040419243,16578776,1213,1706.0,1746.0,1387-08-07
2008-10-29,1734.0,1790.0,1729.0,1754.0,15365340324,8712682,761,1746.0,1754.0,1387-08-08
2008-11-01,1755.0,1775.0,1702.0,1708.0,39785014389,23291904,1065,1754.0,1708.0,1387-08-11
2008-11-02,1680.0,1710.0,1661.0,1693.0,24625180782,14638871,737,1708.0,1693.0,1387-08-12
2008-11-03,1738.0,1743.0,1707.0,1707.0,9077951416,5212141,410,1693.0,1707.0,1387-08-13
2008-11-04,1758.0,1758.0,1726.0,1726.0,13031062334,7425371,662,1707.0,1726.0,1387-08-14
2008-11-05,1777.0,1777.0,1738.0,1738.0,7582924184,4267262,254,1726.0,1738.0,1387-08-15
2008-11-08,1790.0,1790.0,1749.0,1785.0,33439107397,18728454,1164,1738.0,1785.0,1387-08-18
2008-11-09,1785.0,1786.0,1732.0,1734.0,32846319593,18937125,610,1785.0,1734.0,1387-08-19
2008-11-10,1682.0,1760.0,1682.0,1686.0,82303979314,48793351,1734,1734.0,1686.0,1387-08-20
2008-11-11,1680.0,1708.0,1653.0,1683.0,13241796622,7877957,537,1686.0,1683.0,1387-08-21
2008-11-12,1700.0,1733.0,1671.0,1718.0,47995110304,27930247,1169,1683.0,1718.0,1387-08-22
2008-11-15,1718.0,1730.0,1667.0,1673.0,31895369187,19058280,1380,1718.0,1673.0,1387-08-25
2008-11-17,808.0,1673.0,808.0,1673.0,7417770135335,9174731140,27,1673.0,1673.0,1387-08-27
2009-03-16,1400.0,1423.0,1331.0,1395.0,67541860342,48433103,2611,1543.0,1401.0,1387-12-26
2009-03-17,1410.0,1420.0,1380.0,1395.0,23400288259,16769795,931,1395.0,1380.0,1387-12-27
2009-03-18,1375.0,1436.0,1354.0,1395.0,79961950266,57300929,1911,1395.0,1361.0,1387-12-28
2009-03-25,1400.0,1400.0,1362.0,1394.0,1368868058,991152,74,1395.0,1375.0,1388-01-05
2009-03-28,1389.0,1399.0,1358.0,1392.0,2797958491,2035908,168,1394.0,1360.0,1388-01-08
2009-03-29,1368.0,1369.0,1351.0,1376.0,10360445502,7657372,546,1392.0,1351.0,1388-01-09
2009-03-30,1343.0,1359.0,1336.0,1372.0,2851976602,2125073,210,1376.0,1338.0,1388-01-10
2009-03-31,1337.0,1349.0,1331.0,1362.0,6145830889,4612821,362,1372.0,1335.0,1388-01-11
2009-04-04,1340.0,1382.0,1336.0,1362.0,4755440722,3485858,299,1362.0,1355.0,1388-01-15
2009-04-05,1360.0,1402.0,1359.0,1374.0,10247377703,7364425,395,1362.0,1402.0,1388-01-16
2009-04-06,1415.0,1415.0,1415.0,1375.0,638356025,451135,26,1374.0,1415.0,1388-01-17
2009-04-07,1416.0,1416.0,1416.0,1375.0,240450960,169810,22,1375.0,1416.0,1388-01-18
2009-04-08,1416.0,1416.0,1416.0,1376.0,401731944,283709,38,1375.0,1416.0,1388-01-19
2009-04-11,1417.0,1417.0,1417.0,1379.0,1858100764,1311292,80,1376.0,1417.0,1388-01-22
2009-04-12,1420.0,1420.0,1420.0,1380.0,391474120,275686,31,1379.0,1420.0,1388-01-23
2009-04-13,1421.0,1421.0,1421.0,1382.0,1343492976,945456,59,1380.0,1421.0,1388-01-24
2009-04-14,1423.0,1423.0,1392.0,1422.0,49679370008,34947526,1662,1382.0,1423.0,1388-01-25
2009-04-15,1450.0,1460.0,1433.0,1428.0,5980243763,4129901,411,1422.0,1437.0,1388-01-26
2009-04-18,1460.0,1470.0,1440.0,1462.0,22242986826,15145795,880,1428.0,1470.0,1388-01-29
2009-04-19,1505.0,1505.0,1505.0,1464.0,1349071465,896393,51,1462.0,1505.0,1388-01-30
2009-04-20,1507.0,1507.0,1507.0,1465.0,468057623,310589,29,1464.0,1507.0,1388-01-31
2009-04-22,1508.0,1508.0,1508.0,1467.0,1146616848,760356,54,1465.0,1508.0,1388-02-02
2009-04-25,1511.0,1511.0,1511.0,1467.0,264486951,175041,22,1467.0,1511.0,1388-02-05
2009-04-26,1511.0,1511.0,1511.0,1469.0,1042024886,689626,51,1467.0,1511.0,1388-02-06
2009-04-27,1513.0,1513.0,1513.0,1470.0,323167722,213594,20,1469.0,1513.0,1388-02-07
2009-04-28,1514.0,1514.0,1514.0,1472.0,1105500090,730185,84,1470.0,1514.0,1388-02-08
2009-04-29,1516.0,1516.0,1516.0,1473.0,469743212,309857,27,1472.0,1516.0,1388-02-09
2009-05-02,1517.0,1517.0,1517.0,1474.0,511209279,336987,25,1473.0,1517.0,1388-02-12
2009-05-03,1518.0,1518.0,1518.0,1518.0,134725536,88752,9,1474.0,1518.0,1388-02-13
2009-05-04,1563.0,1563.0,1563.0,1563.0,142278327,91029,13,1518.0,1563.0,1388-02-14
2009-05-05,1609.0,1609.0,1609.0,1609.0,19724731,12259,5,1563.0,1609.0,1388-02-15
2009-05-06,1657.0,1657.0,1657.0,1657.0,148400920,89560,12,1609.0,1657.0,1388-02-16
2009-05-09,1706.0,1706.0,1706.0,1706.0,242315122,142037,24,1657.0,1706.0,1388-02-19
2009-05-10,1757.0,1757.0,1757.0,1709.0,1847040979,1051247,68,1706.0,1757.0,1388-02-20
2009-05-11,1760.0,1760.0,1713.0,1760.0,172364667582,97958041,4062,1709.0,1760.0,1388-02-21
2009-05-12,1797.0,1797.0,1708.0,1729.0,68847229838,39810265,2165,1760.0,1708.0,1388-02-22
