date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2021-02-24,12420.0,12500.0,12000.0,12420.0,18573386770670,1495390152,2754511,1000.0,12500.0,1399-12-06
2021-02-27,13160.0,13160.0,13160.0,13160.0,144404772120,10973007,30903,12420.0,13160.0,1399-12-09
2021-02-28,13940.0,13940.0,13600.0,13940.0,4406603988420,316172698,428323,13160.0,13940.0,1399-12-10
2021-03-01,14770.0,14770.0,13940.0,14770.0,2309766905030,156393219,218445,13940.0,14770.0,1399-12-11
2021-03-02,15650.0,15650.0,15650.0,15650.0,678802192300,43373942,70458,14770.0,15650.0,1399-12-12
2021-03-03,16580.0,16580.0,15660.0,16190.0,8033820507540,496256136,610221,15650.0,15910.0,1399-12-13
2021-03-06,15870.0,15870.0,15870.0,15870.0,1056685937550,66583865,48962,16190.0,15870.0,1399-12-16
2021-03-07,15560.0,15980.0,15560.0,15600.0,4990363971870,319968295,305344,15870.0,15800.0,1399-12-17
2021-03-08,15800.0,16490.0,15760.0,16000.0,1780754890610,111283822,150663,15600.0,16160.0,1399-12-18
2021-03-09,16200.0,16340.0,15810.0,16000.0,1733221518780,108315016,118049,16000.0,15950.0,1399-12-19
2021-03-10,15920.0,16410.0,15680.0,16040.0,1040252744690,64856200,53887,16000.0,16260.0,1399-12-20
2021-03-13,16150.0,17000.0,16150.0,16860.0,914933700060,54277591,32690,16040.0,17000.0,1399-12-23
2021-03-14,17870.0,17870.0,17150.0,17820.0,2661806216460,149334951,55263,16860.0,17870.0,1399-12-24
2021-03-15,18000.0,18290.0,17470.0,17920.0,1132448576850,63189906,39619,17820.0,18070.0,1399-12-25
2021-03-16,18070.0,18600.0,17800.0,18080.0,819713923290,45343204,28031,17920.0,17990.0,1399-12-26
2021-03-17,17980.0,18100.0,17720.0,17900.0,859144895370,47994924,28125,18080.0,17970.0,1399-12-27
2021-03-27,18080.0,18080.0,17550.0,17610.0,724600401320,41146549,19119,17900.0,17570.0,1400-01-07
2021-03-28,17280.0,17930.0,17260.0,17380.0,604978742540,34801100,18864,17610.0,17670.0,1400-01-08
2021-03-30,17450.0,18290.0,17450.0,18110.0,438341590800,24209820,16782,17380.0,18240.0,1400-01-10
2021-03-31,18250.0,18700.0,17750.0,18200.0,469976750040,25818849,15632,18110.0,18280.0,1400-01-11
2021-04-03,18280.0,18490.0,17840.0,17980.0,547976150100,30469538,13574,18200.0,18000.0,1400-01-14
2021-04-04,17980.0,17980.0,17680.0,17730.0,341423041200,19253405,12931,17980.0,17750.0,1400-01-15
2021-04-05,17550.0,18180.0,17550.0,17910.0,329179827530,18375860,22745,17730.0,18090.0,1400-01-16
2021-04-06,18190.0,18250.0,17750.0,17920.0,200307243620,11179394,8798,17910.0,17910.0,1400-01-17
2021-04-07,17910.0,17910.0,17570.0,17650.0,236847775780,13415936,8004,17920.0,17640.0,1400-01-18
2021-04-10,17390.0,17500.0,17300.0,17360.0,514207479350,29619250,8630,17650.0,17300.0,1400-01-21
2021-04-11,17020.0,17180.0,17020.0,17030.0,610192728880,35831146,16949,17360.0,17020.0,1400-01-22
