date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2016-12-21,6000.0,6148.0,5750.0,5860.0,13934527478,2377897,822,1000.0,5771.0,1395-10-01
2016-12-24,5799.0,5799.0,5567.0,5625.0,5011904446,891084,279,5860.0,5567.0,1395-10-04
2016-12-25,5344.0,5344.0,5344.0,5547.0,741944928,138837,48,5625.0,5344.0,1395-10-05
2016-12-26,5270.0,5270.0,5270.0,5270.0,6915626010,1312263,105,5547.0,5270.0,1395-10-06
2016-12-27,5100.0,5230.0,5008.0,5083.0,12701260266,2498749,607,5270.0,5010.0,1395-10-07
2016-12-28,5089.0,5089.0,4829.0,4860.0,6274836260,1291084,330,5083.0,4829.0,1395-10-08
2016-12-31,4703.0,4800.0,4642.0,4724.0,4366259223,924362,235,4860.0,4787.0,1395-10-11
2017-01-01,4790.0,4790.0,4682.0,4720.0,1659019205,351611,113,4724.0,4740.0,1395-10-12
2017-01-02,4749.0,4956.0,4749.0,4886.0,1986012057,403221,98,4720.0,4956.0,1395-10-13
2017-01-03,5075.0,5130.0,5003.0,5116.0,8979885679,1755410,341,4886.0,5128.0,1395-10-14
2017-01-04,5100.0,5201.0,5081.0,5124.0,3498153911,682740,224,5116.0,5100.0,1395-10-15
2017-01-07,5120.0,5299.0,5051.0,5129.0,4226712426,824115,194,5124.0,5124.0,1395-10-18
2017-01-08,5111.0,5240.0,5111.0,5190.0,2162945124,415809,143,5129.0,5215.0,1395-10-19
2017-01-09,5190.0,5240.0,5130.0,5174.0,1350069615,261694,80,5190.0,5197.0,1395-10-20
2017-01-11,5259.0,5260.0,5162.0,5203.0,2450807864,470898,145,5174.0,5167.0,1395-10-22
2017-01-14,5155.0,5267.0,5115.0,5190.0,1821245093,351245,168,5203.0,5116.0,1395-10-25
2017-01-15,5121.0,5140.0,5033.0,5115.0,1393325999,275732,163,5190.0,5038.0,1395-10-26
2017-01-16,5053.0,5053.0,4981.0,5017.0,2879511985,573903,190,5115.0,5000.0,1395-10-27
