date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2024-06-22,10000.0,10000.0,10000.0,10000.0,9489348740000,948934874,9291,10000.0,10000.0,1403-04-02
2024-06-29,10640.0,10930.0,10450.0,10710.0,2391970695620,223283949,4600,10000.0,10480.0,1403-04-09
2024-06-30,10400.0,10500.0,10040.0,10230.0,1203172558530,117656441,3741,10710.0,10200.0,1403-04-10
2024-07-01,10270.0,10650.0,10260.0,10450.0,616490452110,58996622,2705,10230.0,10590.0,1403-04-11
2024-07-02,10650.0,10920.0,10600.0,10770.0,1012320837540,93989067,4118,10450.0,10760.0,1403-04-12
2024-07-03,10720.0,11210.0,10550.0,10900.0,940927132920,86288992,2365,10770.0,11210.0,1403-04-13
2024-07-06,11990.0,11990.0,11990.0,11990.0,121240434040,10111796,119,10900.0,11990.0,1403-04-16
2024-07-07,12600.0,12880.0,12110.0,12460.0,2236939925130,179579452,4941,11990.0,12300.0,1403-04-17
2024-07-08,12300.0,12540.0,12210.0,12430.0,958974158300,77132768,3077,12460.0,12280.0,1403-04-18
2024-07-09,12400.0,12540.0,11930.0,12210.0,652244021490,53405385,2386,12430.0,11930.0,1403-04-19
2024-07-10,11890.0,11990.0,11580.0,11730.0,508884534940,43370285,2332,12210.0,11740.0,1403-04-20
2024-07-13,11550.0,11840.0,11250.0,11400.0,401378043850,35194358,1670,11730.0,11420.0,1403-04-23
2024-07-14,11490.0,11630.0,11350.0,11480.0,539671139060,47025196,1395,11400.0,11540.0,1403-04-24
2024-07-17,11500.0,11660.0,11340.0,11460.0,504174514330,43987657,1688,11480.0,11370.0,1403-04-27
2024-07-20,11350.0,11500.0,10850.0,11040.0,434615204610,39378103,1776,11460.0,10900.0,1403-04-30
2024-07-21,10610.0,10780.0,10490.0,10600.0,434281317970,40974405,1860,11040.0,10620.0,1403-04-31
2024-07-22,10790.0,10790.0,10630.0,10710.0,222185348310,20737117,1138,10600.0,10750.0,1403-05-01
2024-07-23,10940.0,11070.0,10670.0,10870.0,303762255190,27948433,1472,10710.0,10670.0,1403-05-02
2024-07-24,10780.0,10810.0,10640.0,10710.0,247910606240,23143780,943,10870.0,10680.0,1403-05-03
2024-07-27,10760.0,10760.0,10500.0,10580.0,142610253370,13477885,883,10710.0,10660.0,1403-05-06
2024-07-29,10520.0,10590.0,10020.0,10210.0,599394189690,58699526,2387,10580.0,10070.0,1403-05-08
2024-07-30,10050.0,10240.0,9970.0,10100.0,515927043160,51103882,1945,10210.0,10090.0,1403-05-09
2024-07-31,9150.0,9460.0,9090.0,9150.0,944225740910,103169881,4179,10100.0,9260.0,1403-05-10
2024-08-03,8710.0,8950.0,8240.0,8320.0,475712461660,57203659,1970,9150.0,8240.0,1403-05-13
2024-08-04,8220.0,8480.0,8220.0,8460.0,266514088090,31494635,719,8320.0,8480.0,1403-05-14
2024-08-05,8450.0,8490.0,8300.0,8320.0,240435594930,28912212,631,8460.0,8300.0,1403-05-15
2024-08-06,8210.0,8250.0,8160.0,8170.0,175262269420,21451215,482,8320.0,8190.0,1403-05-16
2024-08-10,8330.0,8330.0,8330.0,8330.0,13457264940,1615518,51,8170.0,8330.0,1403-05-20
2024-08-11,8490.0,8490.0,8440.0,8490.0,177654791520,20929348,447,8330.0,8490.0,1403-05-21
2024-08-12,8410.0,8500.0,8330.0,8350.0,251827459010,30150024,658,8490.0,8330.0,1403-05-22
2024-08-13,8250.0,8320.0,8200.0,8230.0,39986180250,4860219,326,8350.0,8270.0,1403-05-23
2024-08-14,8390.0,8390.0,8390.0,8390.0,8356389660,995994,27,8230.0,8390.0,1403-05-24
2024-08-17,8550.0,8550.0,8550.0,8550.0,20388885750,2384665,45,8390.0,8550.0,1403-05-27
2024-08-18,8720.0,8720.0,8720.0,8720.0,23027087120,2640721,35,8550.0,8720.0,1403-05-28
2024-08-19,8890.0,8890.0,8780.0,8890.0,317923095900,35777973,626,8720.0,8830.0,1403-05-29
2024-08-20,8780.0,9060.0,8720.0,8950.0,181946961120,20338523,730,8890.0,8940.0,1403-05-30
2024-08-21,9030.0,9120.0,9000.0,9120.0,204417496950,22421342,544,8950.0,9120.0,1403-05-31
2024-08-24,9300.0,9300.0,9300.0,9300.0,109279891800,11750526,88,9120.0,9300.0,1403-06-03
2024-08-26,9480.0,9480.0,9330.0,9450.0,333524364380,35281748,833,9300.0,9390.0,1403-06-05
2024-08-27,9440.0,9630.0,9400.0,9600.0,361158858920,37618737,788,9450.0,9630.0,1403-06-06
2024-08-28,9740.0,9790.0,9610.0,9740.0,182890961370,18782492,538,9600.0,9790.0,1403-06-07
2024-08-31,9930.0,9930.0,9930.0,9930.0,2832036000,285200,28,9740.0,9930.0,1403-06-10
2024-09-01,10120.0,10120.0,10060.0,10120.0,333068044230,32919793,663,9930.0,10120.0,1403-06-11
2024-09-03,10100.0,10270.0,9920.0,10050.0,421300940370,41913765,1568,10120.0,10080.0,1403-06-13
2024-09-07,10000.0,10280.0,9760.0,9940.0,259726715560,26118671,1383,10050.0,9780.0,1403-06-17
2024-09-08,9760.0,9880.0,9650.0,9690.0,251459567420,25938652,901,9940.0,9660.0,1403-06-18
2024-09-09,9750.0,9980.0,9710.0,9970.0,371635862500,37269490,688,9690.0,9980.0,1403-06-19
2024-09-10,10030.0,10150.0,9810.0,9920.0,401116833790,40445481,1298,9970.0,9900.0,1403-06-20
2024-09-11,9960.0,10020.0,9780.0,9870.0,177843807930,18025898,851,9920.0,9800.0,1403-06-21
2024-09-14,9850.0,9850.0,9580.0,9650.0,200335967590,20762386,841,9870.0,9580.0,1403-06-24
2024-09-15,9470.0,9620.0,9370.0,9400.0,164260787930,17481653,661,9650.0,9370.0,1403-06-25
2024-09-16,9450.0,9660.0,9230.0,9440.0,350830757350,37167407,1215,9400.0,9410.0,1403-06-26
2024-09-17,9640.0,9720.0,9370.0,9710.0,1259810067030,129717593,1274,9440.0,9720.0,1403-06-27
2024-09-18,9600.0,9980.0,9570.0,9800.0,1311896590250,133929438,2443,9710.0,9820.0,1403-06-28
2024-09-22,9810.0,9880.0,9620.0,9760.0,245791491870,25173156,1013,9800.0,9640.0,1403-07-01
2024-09-23,9680.0,10050.0,9660.0,10020.0,1419349849190,141583032,2676,9760.0,10050.0,1403-07-02
2024-09-24,10040.0,10320.0,10020.0,10240.0,1120169197980,109356259,2174,10020.0,10320.0,1403-07-03
2024-09-25,10360.0,10460.0,10030.0,10260.0,1632302808010,159108540,3728,10240.0,10100.0,1403-07-04
2024-09-28,10160.0,10160.0,10160.0,10160.0,260278880,25618,14,10260.0,10160.0,1403-07-07
2024-09-29,10060.0,10060.0,10060.0,10060.0,10875242280,1081038,75,10160.0,10060.0,1403-07-08
2024-09-30,9980.0,10070.0,9960.0,9980.0,488214235180,48904762,570,10060.0,9960.0,1403-07-09
2024-10-01,9890.0,9890.0,9890.0,9890.0,1354277260,136934,15,9980.0,9890.0,1403-07-10
2024-10-02,9800.0,9800.0,9800.0,9800.0,391647200,39964,14,9890.0,9800.0,1403-07-11
2024-10-05,9710.0,9710.0,9710.0,9710.0,164652470,16957,19,9800.0,9710.0,1403-07-14
2024-10-06,9620.0,9620.0,9620.0,9620.0,3903324620,405751,8,9710.0,9620.0,1403-07-15
2024-10-07,9530.0,9530.0,9530.0,9530.0,1510295340,158478,29,9620.0,9530.0,1403-07-16
2024-10-08,9440.0,9530.0,9440.0,9450.0,565547470830,59843444,1415,9530.0,9440.0,1403-07-17
2024-10-09,9420.0,9420.0,9360.0,9370.0,369941258780,39492960,631,9450.0,9360.0,1403-07-18
2024-10-12,9430.0,9650.0,9390.0,9580.0,730901928990,76313722,1835,9370.0,9650.0,1403-07-21
2024-10-13,9650.0,9670.0,9300.0,9450.0,571316974040,60486686,2004,9580.0,9390.0,1403-07-22
2024-10-14,9350.0,9370.0,9170.0,9180.0,83432081880,9093066,277,9450.0,9170.0,1403-07-23
2024-10-15,8910.0,8910.0,8910.0,8910.0,3627448110,407121,61,9180.0,8910.0,1403-07-24
2024-10-16,8650.0,8830.0,8650.0,8670.0,375599694060,43299757,1129,8910.0,8650.0,1403-07-25
