date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2024-05-13,280010.0,290000.0,278330.0,282440.0,8970116070,31759,19,280010.0,289990.0,1403-02-24
2024-05-14,296250.0,305140.0,283370.0,285620.0,2562883930,8973,29,282440.0,284670.0,1403-02-25
2024-05-15,281720.0,282500.0,280900.0,282250.0,2150716800,7620,6,285620.0,282500.0,1403-02-26
2024-05-18,281410.0,281410.0,281410.0,281410.0,1125640,4,1,282250.0,281410.0,1403-02-29
2024-05-19,277990.0,277990.0,276600.0,277550.0,305305000,1100,3,281410.0,276600.0,1403-02-30
2024-05-26,266450.0,270000.0,266450.0,269460.0,317961000,1180,3,277550.0,270000.0,1403-03-06
2024-05-27,270800.0,270800.0,270000.0,270000.0,811083200,3004,2,269460.0,270000.0,1403-03-07
2024-05-28,271350.0,271350.0,271350.0,271350.0,1356750,5,1,270000.0,271350.0,1403-03-08
2024-05-29,271500.0,271500.0,271500.0,271500.0,29865000,110,1,271350.0,271500.0,1403-03-09
2024-06-01,271850.0,271850.0,271180.0,271630.0,4074400,15,3,271500.0,271180.0,1403-03-12
2024-06-02,271720.0,271720.0,270960.0,271710.0,3003983760,11056,22,271630.0,270960.0,1403-03-13
2024-06-05,271860.0,272000.0,271790.0,271820.0,2828324250,10405,22,271710.0,272000.0,1403-03-16
2024-06-08,267980.0,267980.0,267980.0,267980.0,669950000,2500,1,271820.0,267980.0,1403-03-19
2024-06-10,268490.0,270010.0,265990.0,269160.0,3231565000,12006,5,267980.0,265990.0,1403-03-21
2024-06-11,270500.0,270500.0,270500.0,270500.0,1082000,4,1,269160.0,270500.0,1403-03-22
2024-06-23,266480.0,266480.0,265840.0,266030.0,44958960,169,2,270500.0,265840.0,1403-04-03
2024-06-26,268500.0,268500.0,268500.0,268500.0,134250000,500,1,266030.0,268500.0,1403-04-06
2024-06-29,271670.0,271670.0,271670.0,271670.0,6791750,25,1,268500.0,271670.0,1403-04-09
2024-07-02,269000.0,273000.0,269000.0,271000.0,542000000,2000,3,271670.0,273000.0,1403-04-12
2024-07-06,277060.0,285710.0,277060.0,282010.0,2742798560,9726,72,271000.0,285710.0,1403-04-16
