date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2024-07-08,23000.0,23000.0,17510.0,19099.0,954951176688,49999768,797960,1000.0,17510.0,1403-04-18
2024-07-09,20240.0,20240.0,20240.0,20240.0,15929082400,787010,1815,19099.0,20240.0,1403-04-19
2024-07-10,21450.0,21450.0,21450.0,21450.0,17344791750,808615,3032,20240.0,21450.0,1403-04-20
2024-07-13,22700.0,22700.0,22700.0,22700.0,17308886200,762506,7112,21450.0,22700.0,1403-04-23
2024-07-14,24050.0,24050.0,24050.0,24050.0,23150505950,962599,14900,22700.0,24050.0,1403-04-24
2024-07-17,25450.0,25450.0,25450.0,25450.0,129566204500,5091010,56032,24050.0,25450.0,1403-04-27
2024-07-24,26150.0,27700.0,25300.0,26800.0,616561652550,23008475,120955,24450.0,27700.0,1403-05-03
2024-07-27,28200.0,28400.0,27300.0,28200.0,558757642500,19817569,123510,26800.0,28400.0,1403-05-06
2024-07-29,28800.0,28850.0,26550.0,27200.0,312464262000,11477785,68913,28200.0,26550.0,1403-05-08
2024-07-30,27300.0,28400.0,26150.0,27550.0,196500321300,7127967,45748,27200.0,27800.0,1403-05-09
2024-07-31,25900.0,25900.0,25900.0,25900.0,66529148700,2568693,4957,27550.0,25900.0,1403-05-10
2024-08-03,24350.0,24350.0,24350.0,24350.0,24919546500,1023390,1149,25900.0,24350.0,1403-05-13
2024-08-04,24150.0,24150.0,24150.0,24200.0,9968733600,412784,263,24350.0,24150.0,1403-05-14
2024-08-05,24000.0,24000.0,24000.0,24000.0,29060712000,1210863,272,24200.0,24000.0,1403-05-15
2024-08-06,23800.0,23800.0,23800.0,23800.0,42621539800,1790821,2475,24000.0,23800.0,1403-05-16
2024-08-10,23900.0,24000.0,23600.0,23750.0,72605319850,3056080,11458,23800.0,23600.0,1403-05-20
2024-08-11,23550.0,23900.0,23550.0,23550.0,34541908550,1465708,4520,23750.0,23550.0,1403-05-21
2024-08-12,23400.0,23400.0,23350.0,23350.0,44433018350,1902862,4173,23550.0,23350.0,1403-05-22
2024-08-13,23150.0,23200.0,23150.0,23150.0,26143024550,1129277,3731,23350.0,23150.0,1403-05-23
2024-08-14,23350.0,23350.0,23350.0,23300.0,11003827600,471256,4514,23150.0,23350.0,1403-05-24
2024-08-17,23750.0,23750.0,23750.0,23450.0,4518960000,190272,3648,23300.0,23750.0,1403-05-27
2024-08-18,23900.0,23900.0,23900.0,23600.0,5170358700,216333,2969,23450.0,23900.0,1403-05-28
2024-08-19,24050.0,24050.0,23400.0,23900.0,25347640900,1061548,6219,23600.0,24050.0,1403-05-29
