index,date,open,high,low,adjClose,value,volume,count,yesterday,close,symbol
0,2001-03-25,2798.0,2802.0,2798.0,2800.0,310368080,110870,115,2798.0,2800.0,خودرو
1,2001-03-26,2801.0,2810.0,2797.0,2798.0,270595190,96613,98,2800.0,2798.0,خودرو
2,2001-03-27,2795.0,2800.0,2795.0,2795.0,466405131,166600,120,2798.0,2795.0,خودرو
3,2001-03-28,2800.0,2849.0,2796.0,2849.0,227566666,80676,104,2795.0,2849.0,خودرو
4,2001-03-31,2840.0,2848.0,2800.0,2838.0,500068371,177362,161,2849.0,2838.0,خودرو
5,2001-04-03,2840.0,2870.0,2838.0,2868.0,158053247,55562,86,2838.0,2868.0,خودرو
6,2001-04-07,2868.0,2930.0,2868.0,2900.0,355157582,122642,144,2868.0,2900.0,خودرو
7,2001-04-08,2920.0,3020.0,2903.0,3004.0,890538835,299359,270,2900.0,3004.0,خودرو
8,2001-04-09,3028.0,3140.0,3020.0,3102.0,1349633103,434320,378,3004.0,3102.0,خودرو
9,2001-04-10,3155.0,3157.0,3069.0,3080.0,1839935140,592395,467,3102.0,3080.0,خودرو
10,2001-04-11,3082.0,3100.0,3071.0,3080.0,1865310571,604953,458,3080.0,3080.0,خودرو
11,2001-04-14,3084.0,3110.0,3080.0,3092.0,1343731773,434057,398,3080.0,3092.0,خودرو
12,2001-04-15,3093.0,3095.0,3050.0,3059.0,707240663,229777,261,3092.0,3059.0,خودرو
13,2001-04-16,3058.0,3068.0,3029.0,3068.0,816117110,268061,325,3059.0,3068.0,خودرو
14,2001-04-17,3068.0,3100.0,3065.0,3077.0,1187554196,386136,311,3068.0,3077.0,خودرو
15,2001-04-18,3079.0,3100.0,3072.0,3079.0,1650557427,534555,387,3077.0,3079.0,خودرو
16,2001-04-21,3079.0,3101.0,3078.0,3087.0,6598014831,2129585,331,3079.0,3087.0,خودرو
17,2001-04-22,3091.0,3100.0,3050.0,3084.0,3112179770,1014348,383,3087.0,3084.0,خودرو
18,2001-04-23,3086.0,3098.0,3085.0,3090.0,1529794816,495008,410,3084.0,3090.0,خودرو
19,2001-04-24,3089.0,3130.0,3089.0,3130.0,2196484253,705864,419,3090.0,3130.0,خودرو
20,2001-04-25,3202.0,3286.0,3130.0,3286.0,307808716,94443,107,3130.0,3286.0,خودرو
21,2001-04-28,3450.0,3450.0,3360.0,3450.0,3313926256,962280,611,3286.0,3450.0,خودرو
22,2001-04-29,3450.0,3610.0,3440.0,3520.0,2295314354,651640,430,3450.0,3520.0,خودرو
23,2001-04-30,3550.0,3590.0,3520.0,3531.0,1834287435,515842,424,3520.0,3531.0,خودرو
24,2001-05-01,3549.0,3559.0,3502.0,3536.0,1473195131,415255,390,3531.0,3536.0,خودرو
25,2001-05-02,3530.0,3530.0,3420.0,3420.0,1067293261,307281,347,3536.0,3420.0,خودرو
26,2001-05-05,3411.0,3420.0,3370.0,3408.0,1599525490,470082,419,3420.0,3408.0,خودرو
27,2001-05-06,3430.0,3470.0,3410.0,3455.0,2311560861,670450,405,3408.0,3455.0,خودرو
28,2001-05-07,3455.0,3590.0,3455.0,3590.0,1842285659,525826,359,3455.0,3590.0,خودرو
29,2001-05-08,3590.0,3649.0,3505.0,3598.0,2293543983,642528,357,3590.0,3598.0,خودرو
30,2001-05-09,3595.0,3600.0,3565.0,3576.0,1040455849,290450,257,3598.0,3576.0,خودرو
31,2001-05-12,3577.0,3579.0,3501.0,3519.0,640421450,180715,211,3576.0,3519.0,خودرو
32,2001-05-13,3510.0,3520.0,3451.0,3517.0,1284013846,367043,367,3519.0,3517.0,خودرو
33,2001-05-15,3517.0,3517.0,3499.0,3503.0,995082643,283850,272,3517.0,3503.0,خودرو
34,2001-05-16,3503.0,3510.0,3490.0,3500.0,1189322545,339597,295,3503.0,3500.0,خودرو
35,2001-05-19,3500.0,3514.0,3440.0,3488.0,3958060693,1145576,323,3500.0,3488.0,خودرو
36,2001-05-20,3488.0,3488.0,3415.0,3445.0,1650250917,480474,305,3488.0,3445.0,خودرو
37,2001-05-21,3446.0,3446.0,3412.0,3415.0,1334026395,389722,313,3445.0,3415.0,خودرو
38,2001-05-23,3420.0,3480.0,3418.0,3470.0,1289776767,372608,294,3415.0,3470.0,خودرو
39,2001-05-26,3480.0,3521.0,3480.0,3501.0,1386946067,396099,306,3470.0,3501.0,خودرو
40,2001-05-27,3520.0,3630.0,3508.0,3622.0,1831451541,512473,320,3501.0,3622.0,خودرو
41,2001-05-28,3630.0,3650.0,3550.0,3569.0,978207877,272305,270,3622.0,3569.0,خودرو
42,2001-05-29,3560.0,3560.0,3497.0,3500.0,1388279306,394759,339,3569.0,3500.0,خودرو
43,2001-05-30,3509.0,3549.0,3500.0,3530.0,1169097545,331146,311,3500.0,3530.0,خودرو
44,2001-06-02,3530.0,3550.0,3490.0,3499.0,1788992053,507965,394,3530.0,3499.0,خودرو
45,2001-06-03,3498.0,3500.0,3470.0,3500.0,942728650,270617,338,3499.0,3500.0,خودرو
