date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2018-07-10,1524.0,1524.0,1524.0,1524.0,60960000000,40000000,117949,1000.0,1524.0,1397-04-19
2018-07-11,1600.0,1600.0,1600.0,1600.0,641550400,400969,1247,1524.0,1600.0,1397-04-20
2018-07-14,1680.0,1680.0,1680.0,1680.0,246634080,146806,465,1600.0,1680.0,1397-04-23
2018-07-15,1764.0,1764.0,1764.0,1764.0,918532440,520710,1604,1680.0,1764.0,1397-04-24
2018-07-16,1852.0,1852.0,1852.0,1852.0,2984409104,1611452,4797,1764.0,1852.0,1397-04-25
2018-07-17,1944.0,2041.0,1944.0,2010.0,89005915620,44278514,78473,1852.0,2041.0,1397-04-26
2018-07-29,2079.0,2090.0,1976.0,2005.0,25652785751,12794938,10434,1880.0,1976.0,1397-05-07
2018-07-30,1950.0,1970.0,1905.0,1913.0,5399835634,2822007,2277,2005.0,1905.0,1397-05-08
2018-07-31,1818.0,1990.0,1818.0,1892.0,24339211301,12861510,10903,1913.0,1930.0,1397-05-09
2018-08-01,1931.0,1945.0,1798.0,1839.0,12796083061,6957292,4513,1892.0,1801.0,1397-05-10
2018-08-04,1811.0,1820.0,1748.0,1752.0,8547116650,4878487,2948,1839.0,1754.0,1397-05-13
2018-08-05,1735.0,1839.0,1735.0,1809.0,6816260293,3767225,2638,1752.0,1800.0,1397-05-14
2018-08-06,1805.0,1810.0,1719.0,1729.0,9775350608,5654410,2439,1809.0,1719.0,1397-05-15
2018-08-07,1690.0,1790.0,1667.0,1702.0,5683837098,3340394,2011,1729.0,1695.0,1397-05-16
2018-08-08,1675.0,1787.0,1675.0,1769.0,7955167735,4495940,2198,1702.0,1787.0,1397-05-17
2018-08-11,1857.0,1857.0,1807.0,1851.0,8351984438,4511130,1825,1769.0,1857.0,1397-05-20
2018-08-12,1935.0,1935.0,1810.0,1871.0,8065393951,4310971,1938,1851.0,1870.0,1397-05-21
2018-08-13,1885.0,1885.0,1800.0,1821.0,3448475869,1893482,1063,1871.0,1813.0,1397-05-22
2018-08-14,1787.0,1890.0,1784.0,1847.0,4229596021,2289431,1114,1821.0,1842.0,1397-05-23
2018-08-15,1840.0,1866.0,1790.0,1809.0,5324226631,2943787,1158,1847.0,1800.0,1397-05-24
2018-08-18,1781.0,1890.0,1781.0,1853.0,8414499225,4542167,1768,1809.0,1840.0,1397-05-27
2018-08-19,1860.0,1895.0,1825.0,1864.0,4398240183,2359378,1004,1853.0,1875.0,1397-05-28
2018-08-20,1846.0,1935.0,1846.0,1902.0,7871903264,4138801,1539,1864.0,1919.0,1397-05-29
2018-08-21,1892.0,1920.0,1838.0,1866.0,4897136989,2624838,1068,1902.0,1851.0,1397-05-30
2018-08-25,1859.0,1921.0,1850.0,1890.0,5322179446,2816460,1152,1866.0,1907.0,1397-06-03
2018-08-26,1930.0,2026.0,1920.0,1997.0,6644564491,3327265,1172,1890.0,2000.0,1397-06-04
2018-08-27,2026.0,2026.0,1920.0,1948.0,5436318257,2790707,1275,1997.0,1940.0,1397-06-05
2018-08-28,1928.0,1944.0,1860.0,1907.0,3904659550,2047714,766,1948.0,1895.0,1397-06-06
2018-08-29,1907.0,1934.0,1880.0,1911.0,3545758268,1855566,864,1907.0,1911.0,1397-06-07
2018-09-01,1912.0,1922.0,1869.0,1895.0,2297323582,1212045,534,1911.0,1897.0,1397-06-10
2018-09-02,1900.0,1935.0,1851.0,1896.0,2662983791,1404523,630,1895.0,1882.0,1397-06-11
2018-09-03,1909.0,1970.0,1858.0,1928.0,2782164204,1442814,663,1896.0,1921.0,1397-06-12
2018-09-04,1949.0,1974.0,1880.0,1929.0,3320711979,1721515,723,1928.0,1929.0,1397-06-13
2018-09-05,1935.0,2025.0,1919.0,2011.0,10253724932,5097781,1696,1929.0,2025.0,1397-06-14
2018-09-08,2111.0,2111.0,2073.0,2111.0,5985743209,2835731,815,2011.0,2111.0,1397-06-17
2018-09-09,2216.0,2216.0,2143.0,2198.0,16249161258,7393842,2041,2111.0,2216.0,1397-06-18
2018-09-10,2265.0,2297.0,2200.0,2233.0,10442152438,4675642,1556,2198.0,2268.0,1397-06-19
2018-09-11,2268.0,2344.0,2160.0,2296.0,13639515200,5939469,1768,2233.0,2344.0,1397-06-20
2018-09-12,2410.0,2410.0,2310.0,2393.0,7395444252,3090262,1003,2296.0,2350.0,1397-06-21
2018-09-15,2380.0,2480.0,2274.0,2353.0,10984107780,4667316,1530,2393.0,2320.0,1397-06-24
2018-09-16,2320.0,2330.0,2236.0,2252.0,10166796023,4513770,1652,2353.0,2250.0,1397-06-25
2018-09-17,2260.0,2364.0,2260.0,2350.0,8507727092,3620188,1239,2252.0,2350.0,1397-06-26
