date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2025-11-05,10550.0,10550.0,9711.0,10042.0,1733775257973,172645103,1021972,1000.0,9711.0,1404-08-14
2025-11-08,10340.0,10340.0,10340.0,10340.0,149651688560,14473084,4917,10040.0,10340.0,1404-08-17
2025-11-09,10650.0,10650.0,10650.0,10650.0,156903329550,14732707,6708,10340.0,10650.0,1404-08-18
2025-11-10,10960.0,10960.0,10960.0,10960.0,165621766000,15111475,10440,10650.0,10960.0,1404-08-19
2025-11-11,11280.0,11280.0,11280.0,11280.0,175323460800,15542860,11074,10960.0,11280.0,1404-08-20
2025-11-12,11610.0,11610.0,11610.0,11610.0,202049282790,17403039,28746,11280.0,11610.0,1404-08-21
2025-11-15,11950.0,11950.0,11950.0,11950.0,234195633950,19597961,38485,11610.0,11950.0,1404-08-24
2025-11-16,12300.0,12300.0,12300.0,12300.0,296534267100,24108477,74371,11950.0,12300.0,1404-08-25
2025-11-17,12660.0,12660.0,12660.0,12660.0,249362526120,19696882,32483,12300.0,12660.0,1404-08-26
2025-11-18,13030.0,13030.0,12900.0,13030.0,2057959543400,157961723,179312,12660.0,13030.0,1404-08-27
2025-11-19,13110.0,13420.0,13040.0,13340.0,1047109115210,78518439,113303,13030.0,13420.0,1404-08-28
2025-11-22,13500.0,13660.0,13120.0,13340.0,680204254830,50972260,77650,13340.0,13190.0,1404-09-01
2025-11-23,13310.0,13310.0,12940.0,13030.0,648966105290,49797115,50195,13340.0,12960.0,1404-09-02
2025-11-25,13090.0,13420.0,12800.0,13210.0,332892791600,25196483,18277,13030.0,13150.0,1404-09-04
2025-11-26,13210.0,13210.0,12820.0,12900.0,271964549350,21087554,15067,13210.0,12820.0,1404-09-05
2025-11-29,12660.0,12820.0,12520.0,12550.0,305859967830,24366015,16125,12900.0,12520.0,1404-09-08
2025-11-30,12400.0,12500.0,12180.0,12240.0,207714000330,16976761,20040,12550.0,12200.0,1404-09-09
2025-12-01,12360.0,12600.0,12350.0,12540.0,185610416180,14801742,11227,12240.0,12600.0,1404-09-10
2025-12-02,12640.0,12900.0,12640.0,12730.0,101621235060,7983027,7579,12540.0,12680.0,1404-09-11
2025-12-03,12750.0,12760.0,12390.0,12560.0,155559062230,12388072,10786,12730.0,12510.0,1404-09-12
2025-12-06,12710.0,12710.0,12300.0,12450.0,191438338920,15376294,9531,12560.0,12410.0,1404-09-15
2025-12-07,12470.0,12470.0,12080.0,12170.0,209491834640,17213122,9757,12450.0,12080.0,1404-09-16
2025-12-08,12250.0,12530.0,12130.0,12450.0,171142467350,13751078,9956,12170.0,12510.0,1404-09-17
2025-12-09,12500.0,12590.0,12350.0,12450.0,76870136220,6176661,11188,12450.0,12360.0,1404-09-18
