date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2023-01-29,10000.0,10000.0,10000.0,10000.0,153682110000,15368211,163,10000.0,10000.0,1401-11-09
2023-01-30,10000.0,10000.0,10000.0,10000.0,418713180000,41871318,298,10000.0,10000.0,1401-11-10
2023-01-31,10000.0,10000.0,10000.0,10000.0,333948540000,33394854,347,10000.0,10000.0,1401-11-11
2023-02-01,10000.0,10000.0,10000.0,10000.0,588316880000,58831688,389,10000.0,10000.0,1401-11-12
2023-03-11,10248.0,10248.0,10248.0,10248.0,31772489280,3100360,6,10000.0,10248.0,1401-12-20
2023-03-12,10294.0,10294.0,10254.0,10258.0,134519978055,13113050,205,10248.0,10256.0,1401-12-21
2023-03-13,10262.0,10263.0,10262.0,10263.0,102767127231,10013582,100,10258.0,10263.0,1401-12-22
2023-03-14,10269.0,10270.0,10269.0,10269.0,372913123401,36313901,162,10263.0,10269.0,1401-12-23
2023-03-15,10277.0,10278.0,10276.0,10277.0,21644298918,2106100,40,10269.0,10277.0,1401-12-24
2023-03-18,10296.0,10298.0,10296.0,10296.0,86222009296,8373987,59,10277.0,10296.0,1401-12-27
2023-03-19,10302.0,10302.0,10011.0,10013.0,105944286084,10580262,144,10296.0,10013.0,1401-12-28
2023-03-25,10053.0,10054.0,10052.0,10053.0,141923696518,14117507,143,10013.0,10054.0,1402-01-05
2023-03-26,10054.0,10054.0,10054.0,10054.0,492646,49,1,10053.0,10054.0,1402-01-06
2023-03-27,10067.0,10068.0,10067.0,10067.0,112851178287,11209465,85,10054.0,10068.0,1402-01-07
2023-03-28,10075.0,10077.0,10075.0,10075.0,173295518446,17200005,80,10067.0,10076.0,1402-01-08
2023-03-29,10093.0,10093.0,10092.0,10093.0,115193245602,11413402,62,10075.0,10093.0,1402-01-09
2023-04-03,10124.0,10125.0,10124.0,10124.0,74733419706,7381807,30,10093.0,10124.0,1402-01-14
2023-04-04,10127.0,10128.0,10127.0,10128.0,228499755772,22562230,80,10124.0,10128.0,1402-01-15
2023-04-05,10134.0,10135.0,10134.0,10134.0,55387021279,5465387,59,10128.0,10135.0,1402-01-16
2023-04-08,10152.0,10153.0,10152.0,10152.0,93651864339,9224966,60,10134.0,10152.0,1402-01-19
2023-04-09,10163.0,10164.0,10163.0,10163.0,356198998023,35048509,82,10152.0,10163.0,1402-01-20
2023-04-10,10174.0,10176.0,10174.0,10175.0,104400094524,10260743,50,10163.0,10175.0,1402-01-21
2023-04-11,10184.0,10187.0,10184.0,10185.0,75959812760,7458016,39,10175.0,10185.0,1402-01-22
2023-04-15,10204.0,10205.0,10203.0,10204.0,167263985382,16392069,60,10185.0,10205.0,1402-01-26
2023-04-16,10211.0,10212.0,10211.0,10212.0,23190759264,2271028,35,10204.0,10211.0,1402-01-27
2023-04-17,10219.0,10219.0,10218.0,10218.0,78949965393,7726341,33,10212.0,10219.0,1402-01-28
2023-04-18,10256.0,10256.0,10255.0,10256.0,86071475032,8392374,43,10218.0,10256.0,1402-01-29
2023-04-19,10266.0,10267.0,10266.0,10267.0,88003019667,8571452,33,10256.0,10267.0,1402-01-30
2023-04-24,10023.0,10023.0,10022.0,10022.0,173947020480,17355730,104,10267.0,10023.0,1402-02-04
2023-04-25,10027.0,10028.0,10027.0,10028.0,96100733049,9583289,65,10022.0,10028.0,1402-02-05
2023-04-26,10035.0,10035.0,10034.0,10035.0,148184574871,14766785,63,10028.0,10034.0,1402-02-06
2023-04-29,10055.0,10056.0,10055.0,10055.0,69170328695,6879084,52,10035.0,10056.0,1402-02-09
2023-04-30,10063.0,10063.0,10062.0,10062.0,68178542098,6775732,39,10055.0,10063.0,1402-02-10
2023-05-01,10069.0,10070.0,10069.0,10069.0,89669333864,8905058,30,10062.0,10070.0,1402-02-11
2023-05-02,10076.0,10077.0,10076.0,10076.0,55424132581,5500590,38,10069.0,10077.0,1402-02-12
2023-05-03,10085.0,10086.0,10085.0,10086.0,20111147652,1993978,16,10076.0,10086.0,1402-02-13
2023-05-06,10108.0,10109.0,10106.0,10108.0,90330794565,8936982,38,10086.0,10109.0,1402-02-16
2023-05-07,10115.0,10116.0,10115.0,10115.0,67431798436,6666442,109,10108.0,10115.0,1402-02-17
2023-05-08,10123.0,10123.0,10122.0,10123.0,42810500092,4229148,30,10115.0,10123.0,1402-02-18
2023-05-09,10129.0,10130.0,10129.0,10130.0,441148094493,43548751,71,10123.0,10130.0,1402-02-19
2023-05-10,10138.0,10139.0,10135.0,10136.0,515360330351,50845622,85,10130.0,10139.0,1402-02-20
2023-05-13,10161.0,10162.0,10161.0,10162.0,36573369201,3599173,71,10136.0,10162.0,1402-02-23
2023-05-14,10168.0,10169.0,10168.0,10168.0,115305801713,11339753,44,10162.0,10169.0,1402-02-24
2023-05-15,10176.0,10176.0,10175.0,10176.0,60101524023,5906421,40,10168.0,10176.0,1402-02-25
2023-05-17,10189.0,10190.0,10188.0,10189.0,340453966702,33413800,96,10176.0,10190.0,1402-02-27
2023-05-20,10211.0,10211.0,10210.0,10211.0,290999039417,28499951,94,10189.0,10211.0,1402-02-30
2023-05-21,10218.0,10218.0,10217.0,10218.0,45977127615,4499759,37,10211.0,10218.0,1402-02-31
