date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2024-12-29,12831.0,12832.0,12830.0,12831.0,3466801392415,270190625,4518,10000.0,12831.0,1403-10-09
2024-12-30,12939.0,12939.0,12843.0,12844.0,661909971189,51534737,190,12831.0,12844.0,1403-10-10
2024-12-31,12856.0,12857.0,12856.0,12857.0,132047523978,10270541,101,12844.0,12857.0,1403-10-11
2025-01-01,12876.0,12877.0,12876.0,12877.0,680376506806,52836585,126,12857.0,12877.0,1403-10-12
2025-01-04,12892.0,12893.0,12892.0,12893.0,49341989654,3827132,110,12877.0,12893.0,1403-10-15
2025-01-05,12905.0,12906.0,12905.0,12906.0,705761761213,54685432,149,12893.0,12906.0,1403-10-16
2025-01-06,12918.0,12919.0,12918.0,12918.0,902413367768,69855745,140,12906.0,12919.0,1403-10-17
2025-01-07,12931.0,12932.0,12931.0,12932.0,108658673849,8402429,107,12918.0,12932.0,1403-10-18
2025-01-08,12951.0,12952.0,12951.0,12952.0,361725320662,27928173,139,12932.0,12952.0,1403-10-19
2025-01-11,12967.0,12968.0,12967.0,12968.0,1243890120362,95922216,131,12952.0,12968.0,1403-10-22
2025-01-12,12980.0,12981.0,12980.0,12980.0,235998087630,18181337,139,12968.0,12981.0,1403-10-23
2025-01-13,12995.0,12996.0,12995.0,12996.0,523573781217,40288136,146,12980.0,12996.0,1403-10-24
2025-01-15,13016.0,13016.0,13015.0,13015.0,117100806957,8997177,105,12996.0,13016.0,1403-10-26
2025-01-18,13031.0,13032.0,13031.0,13031.0,116373901797,8930309,109,13015.0,13032.0,1403-10-29
2025-01-19,13044.0,13045.0,13044.0,13044.0,153214715588,11745813,179,13031.0,13045.0,1403-10-30
2025-01-20,13058.0,13058.0,13057.0,13058.0,478899422192,36675064,99,13044.0,13058.0,1403-11-01
2025-01-21,13070.0,13071.0,13070.0,13070.0,604504174939,46250631,145,13058.0,13070.0,1403-11-02
2025-01-22,13091.0,13092.0,13091.0,13091.0,179636834146,13721870,92,13070.0,13092.0,1403-11-03
2025-01-25,13107.0,13108.0,13107.0,13108.0,147390868915,11244633,133,13091.0,13108.0,1403-11-06
2025-01-26,13120.0,13121.0,13120.0,13120.0,737746873281,56230065,76,13108.0,13121.0,1403-11-07
2025-01-27,13137.0,13138.0,13137.0,13137.0,170235558600,12958438,76,13120.0,13138.0,1403-11-08
2025-01-29,13158.0,13159.0,13158.0,13159.0,164176225060,12476650,87,13137.0,13159.0,1403-11-10
2025-02-01,13174.0,13175.0,13174.0,13175.0,126268865313,9584077,215,13159.0,13174.0,1403-11-13
2025-02-02,13188.0,13189.0,13188.0,13188.0,154383843057,11706216,149,13175.0,13189.0,1403-11-14
2025-02-03,13204.0,13205.0,13204.0,13204.0,106072090227,8033274,81,13188.0,13205.0,1403-11-15
2025-02-04,13219.0,13220.0,13219.0,13220.0,575422992869,43528112,174,13204.0,13220.0,1403-11-16
2025-02-05,13239.0,13240.0,13239.0,13239.0,360538708954,27232927,187,13220.0,13239.0,1403-11-17
2025-02-09,13270.0,13271.0,13270.0,13270.0,232313236429,17506525,106,13239.0,13271.0,1403-11-21
2025-02-11,13284.0,13285.0,13284.0,13285.0,632320829882,47597108,413,13270.0,13285.0,1403-11-23
2025-02-15,13320.0,13321.0,13320.0,13320.0,528008713991,39639936,137,13285.0,13321.0,1403-11-27
2025-02-16,13335.0,13336.0,13335.0,13335.0,475385447100,35648856,144,13320.0,13336.0,1403-11-28
2025-02-17,13350.0,13351.0,13350.0,13350.0,259363165542,19427860,95,13335.0,13351.0,1403-11-29
2025-02-18,13365.0,13366.0,13365.0,13365.0,270721535866,20255958,106,13350.0,13366.0,1403-11-30
2025-02-19,13385.0,13386.0,13385.0,13386.0,141523584116,10572823,143,13365.0,13386.0,1403-12-01
2025-02-22,13400.0,13401.0,13400.0,13400.0,108082177121,8065686,92,13386.0,13401.0,1403-12-04
2025-02-23,13413.0,13414.0,13413.0,13414.0,192544488693,14354097,65,13400.0,13414.0,1403-12-05
2025-02-24,13427.0,13428.0,13427.0,13428.0,715692042939,53298675,126,13414.0,13428.0,1403-12-06
2025-02-25,13440.0,13441.0,13440.0,13440.0,379853913640,28262880,148,13428.0,13441.0,1403-12-07
2025-02-26,13460.0,13461.0,13460.0,13460.0,298291871578,22161291,147,13440.0,13460.0,1403-12-08
2025-03-01,13475.0,13476.0,13475.0,13476.0,23403343403,1736723,116,13460.0,13475.0,1403-12-11
2025-03-02,13488.0,13489.0,13488.0,13489.0,1716581360897,127258564,219,13476.0,13489.0,1403-12-12
2025-03-03,13502.0,13503.0,13502.0,13502.0,308316389687,22834728,130,13489.0,13503.0,1403-12-13
2025-03-04,13515.0,13516.0,13515.0,13515.0,100926940202,7467686,62,13502.0,13515.0,1403-12-14
2025-03-05,13535.0,13536.0,13535.0,13536.0,30151938423,2227584,81,13515.0,13536.0,1403-12-15
2025-03-08,13551.0,13552.0,13551.0,13551.0,258164796705,19051268,103,13536.0,13551.0,1403-12-18
2025-03-09,13564.0,13565.0,13564.0,13564.0,41469337609,3057271,72,13551.0,13565.0,1403-12-19
2025-03-10,13577.0,13578.0,13577.0,13577.0,3388887866708,249604227,326,13564.0,13577.0,1403-12-20
2025-03-11,13590.0,13591.0,13590.0,13590.0,51341249660,3777769,144,13577.0,13590.0,1403-12-21
2025-03-12,13611.0,13611.0,13610.0,13611.0,640065342703,47025694,135,13590.0,13610.0,1403-12-22
2025-03-15,13626.0,13627.0,13626.0,13627.0,687883145803,50480253,145,13611.0,13626.0,1403-12-25
2025-03-16,13639.0,13640.0,13639.0,13639.0,541762590091,39721533,92,13627.0,13640.0,1403-12-26
2025-03-17,13653.0,13653.0,13652.0,13652.0,1279197080313,93697334,251,13639.0,13653.0,1403-12-27
2025-03-18,13722.0,13723.0,13722.0,13723.0,95449885686,6955566,121,13652.0,13723.0,1403-12-28
2025-03-25,13738.0,13739.0,13738.0,13738.0,228652361624,16643702,81,13723.0,13739.0,1404-01-05
2025-03-26,13754.0,13755.0,13754.0,13755.0,108613406994,7896485,109,13738.0,13755.0,1404-01-06
2025-03-29,13770.0,13771.0,13770.0,13771.0,277748871643,20169473,107,13755.0,13770.0,1404-01-09
2025-03-30,13820.0,13821.0,13820.0,13820.0,83755508172,6060259,78,13771.0,13821.0,1404-01-10
2025-04-05,13844.0,13845.0,13844.0,13844.0,74725851788,5397655,89,13820.0,13844.0,1404-01-16
2025-04-06,13859.0,13860.0,13859.0,13860.0,133131449948,9605485,125,13844.0,13859.0,1404-01-17
2025-04-07,13875.0,13875.0,13874.0,13874.0,172741388093,12450603,61,13860.0,13874.0,1404-01-18
2025-04-08,13890.0,13891.0,13890.0,13890.0,236888967697,17054564,62,13874.0,13890.0,1404-01-19
2025-04-09,13910.0,13911.0,13910.0,13911.0,453227313459,32581259,82,13890.0,13911.0,1404-01-20
2025-04-12,13929.0,13930.0,13929.0,13930.0,393300742531,28234697,52,13911.0,13929.0,1404-01-23
2025-04-13,13944.0,13945.0,13944.0,13944.0,57129502780,4097008,63,13930.0,13944.0,1404-01-24
2025-04-14,13959.0,13960.0,13959.0,13960.0,155091949572,11109946,109,13944.0,13960.0,1404-01-25
2025-04-15,13974.0,13975.0,13974.0,13975.0,558097234847,39936817,139,13960.0,13975.0,1404-01-26
2025-04-16,13994.0,13995.0,13994.0,13995.0,842261631545,60184613,95,13975.0,13995.0,1404-01-27
2025-04-19,14013.0,14014.0,14013.0,14013.0,529053841591,37753671,81,13995.0,14014.0,1404-01-30
2025-04-20,14028.0,14029.0,14028.0,14029.0,392076852946,27947699,58,14013.0,14029.0,1404-01-31
2025-04-21,14042.0,14043.0,14042.0,14042.0,514572793653,36644739,88,14029.0,14042.0,1404-02-01
2025-04-22,14056.0,14057.0,14056.0,14056.0,71848551433,5111537,56,14042.0,14057.0,1404-02-02
2025-04-23,14075.0,14076.0,14075.0,14076.0,316530036816,22487349,85,14056.0,14076.0,1404-02-03
2025-04-26,14091.0,14092.0,14091.0,14091.0,214902812230,15250818,55,14076.0,14091.0,1404-02-06
2025-04-27,14105.0,14106.0,14105.0,14106.0,382253493992,27098705,64,14091.0,14106.0,1404-02-07
2025-04-28,14119.0,14120.0,14119.0,14119.0,535614079150,37935299,80,14106.0,14120.0,1404-02-08
2025-04-29,14133.0,14134.0,14133.0,14133.0,27252896356,1928263,39,14119.0,14134.0,1404-02-09
2025-04-30,14152.0,14153.0,14152.0,14153.0,138904408976,9814624,49,14133.0,14152.0,1404-02-10
2025-05-03,14168.0,14169.0,14168.0,14168.0,28459320182,2008651,65,14153.0,14169.0,1404-02-13
2025-05-04,14182.0,14183.0,14182.0,14182.0,35234666935,2484432,58,14168.0,14182.0,1404-02-14
2025-05-05,14196.0,14197.0,14196.0,14197.0,1052841596614,74159494,126,14182.0,14196.0,1404-02-15
2025-05-06,14210.0,14211.0,14210.0,14210.0,146632832533,10318750,49,14197.0,14211.0,1404-02-16
2025-05-07,14229.0,14230.0,14229.0,14229.0,61916301635,4351331,43,14210.0,14229.0,1404-02-17
2025-05-10,14245.0,14246.0,14245.0,14245.0,65571368113,4603090,50,14229.0,14245.0,1404-02-20
2025-05-11,14259.0,14260.0,14259.0,14259.0,40926801546,2870207,23,14245.0,14259.0,1404-02-21
2025-05-12,14273.0,14274.0,14273.0,14273.0,58349158437,4088046,35,14259.0,14274.0,1404-02-22
2025-05-13,14287.0,14288.0,14287.0,14288.0,139741029972,9780431,83,14273.0,14288.0,1404-02-23
2025-05-14,14305.0,14306.0,14305.0,14305.0,87895506683,6144350,115,14288.0,14306.0,1404-02-24
2025-05-17,14323.0,14324.0,14323.0,14323.0,94488807469,6596971,42,14305.0,14324.0,1404-02-27
2025-05-18,14337.0,14338.0,14337.0,14338.0,210997431759,14716060,52,14323.0,14337.0,1404-02-28
2025-05-19,14351.0,14352.0,14351.0,14351.0,252983725201,17628290,52,14338.0,14352.0,1404-02-29
2025-05-20,14366.0,14366.0,14365.0,14365.0,290658839736,20233754,51,14351.0,14365.0,1404-02-30
2025-05-21,14385.0,14386.0,14385.0,14385.0,371500949718,25825492,122,14365.0,14385.0,1404-02-31
2025-05-24,14403.0,14404.0,14403.0,14403.0,141286009337,9809415,82,14385.0,14403.0,1404-03-03
2025-05-25,14419.0,14420.0,14419.0,14419.0,239872336665,16635721,65,14403.0,14419.0,1404-03-04
2025-05-26,14435.0,14436.0,14435.0,14435.0,332204599154,23013499,86,14419.0,14435.0,1404-03-05
2025-05-27,14451.0,14452.0,14451.0,14452.0,273788880269,18945291,72,14435.0,14452.0,1404-03-06
2025-05-28,14471.0,14472.0,14471.0,14471.0,146512196497,10124451,107,14452.0,14471.0,1404-03-07
2025-05-31,14489.0,14490.0,14489.0,14489.0,119662520981,8258576,149,14471.0,14490.0,1404-03-10
2025-06-01,14505.0,14506.0,14505.0,14506.0,80660792571,5560548,111,14489.0,14506.0,1404-03-11
2025-06-02,14521.0,14522.0,14521.0,14521.0,68809566997,4738473,95,14506.0,14521.0,1404-03-12
2025-06-03,14554.0,14555.0,14554.0,14555.0,291719259094,20042799,200,14521.0,14555.0,1404-03-13
2025-06-07,14576.0,14577.0,14576.0,14576.0,239013534289,16397409,169,14555.0,14577.0,1404-03-17
2025-06-08,14593.0,14593.0,14592.0,14593.0,111347570522,7630422,163,14576.0,14593.0,1404-03-18
2025-06-09,14608.0,14609.0,14608.0,14608.0,154695512277,10589658,195,14593.0,14609.0,1404-03-19
2025-06-10,14625.0,14625.0,14624.0,14624.0,150438098135,10286838,137,14608.0,14624.0,1404-03-20
2025-06-11,14658.0,14658.0,14657.0,14658.0,198169641715,13519845,176,14624.0,14658.0,1404-03-21
2025-06-21,14749.0,14758.0,14749.0,14749.0,431372124893,29247447,150,14658.0,14750.0,1404-03-31
2025-06-22,14765.0,14765.0,14764.0,14764.0,710240944893,48106028,155,14749.0,14765.0,1404-04-01
2025-06-23,14779.0,14780.0,14779.0,14779.0,179545538282,12148367,111,14764.0,14780.0,1404-04-02
2025-06-24,14794.0,14795.0,14794.0,14795.0,280801875116,18979849,125,14779.0,14794.0,1404-04-03
2025-06-25,14817.0,14818.0,14817.0,14818.0,247210436000,16683280,163,14795.0,14818.0,1404-04-04
2025-06-28,14837.0,14838.0,14837.0,14838.0,452166556620,30474385,355,14818.0,14838.0,1404-04-07
2025-06-29,14853.0,14853.0,14852.0,14852.0,467571881342,31481557,283,14838.0,14852.0,1404-04-08
2025-06-30,14868.0,14868.0,14867.0,14868.0,353767697162,23794491,271,14852.0,14868.0,1404-04-09
2025-07-01,14882.0,14883.0,14882.0,14882.0,362133255652,24333383,253,14868.0,14883.0,1404-04-10
2025-07-02,14918.0,14919.0,14916.0,14918.0,798564241120,53530594,307,14882.0,14919.0,1404-04-11
2025-07-07,14934.0,14934.0,14933.0,14934.0,735887019372,49277375,331,14918.0,14934.0,1404-04-16
2025-07-08,14948.0,14949.0,14948.0,14949.0,376753771669,25203396,267,14934.0,14948.0,1404-04-17
2025-07-09,14971.0,14972.0,14971.0,14971.0,642178747001,42893990,255,14949.0,14972.0,1404-04-18
2025-07-12,14991.0,14992.0,14991.0,14991.0,414388822665,27642341,199,14971.0,14991.0,1404-04-21
2025-07-13,15006.0,15007.0,15006.0,15007.0,178393849398,11887689,161,14991.0,15006.0,1404-04-22
2025-07-14,15022.0,15022.0,15021.0,15022.0,543435206621,36176350,182,15007.0,15021.0,1404-04-23
2025-07-15,15036.0,15037.0,15036.0,15036.0,169416332403,11267175,167,15022.0,15037.0,1404-04-24
2025-07-16,15060.0,15060.0,15059.0,15059.0,656738821895,43610330,166,15036.0,15060.0,1404-04-25
