date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2025-02-02,10000.0,10000.0,10000.0,10000.0,1010043840000,101004384,996,10000.0,10000.0,1403-11-14
2025-02-03,10000.0,10000.0,10000.0,10000.0,537987710000,53798771,686,10000.0,10000.0,1403-11-15
2025-02-04,10000.0,10000.0,10000.0,10000.0,209521560000,20952156,801,10000.0,10000.0,1403-11-16
2025-02-25,10110.0,10188.0,10011.0,10090.0,24919317139,2469635,182,10000.0,10050.0,1403-12-07
2025-02-26,10150.0,10150.0,9950.0,10015.0,21561264077,2152832,388,10090.0,9969.0,1403-12-08
2025-03-01,9898.0,10050.0,9715.0,9879.0,49262600276,4986504,624,10015.0,10022.0,1403-12-11
2025-03-02,10000.0,10057.0,10000.0,10008.0,9342810548,933488,186,9879.0,10055.0,1403-12-12
2025-03-03,10000.0,10000.0,9760.0,9857.0,8742538856,886922,104,10008.0,9900.0,1403-12-13
2025-03-04,9907.0,9915.0,9900.0,9905.0,5625841107,567970,165,9857.0,9901.0,1403-12-14
2025-03-05,9800.0,9958.0,9790.0,9819.0,3727112991,379566,94,9905.0,9870.0,1403-12-15
2025-03-08,9820.0,9820.0,9550.0,9666.0,6831512455,706749,104,9819.0,9600.0,1403-12-18
2025-03-09,9500.0,9654.0,9377.0,9391.0,14259611185,1518405,137,9666.0,9377.0,1403-12-19
2025-03-10,9420.0,9610.0,9250.0,9462.0,9572795493,1011705,104,9391.0,9599.0,1403-12-20
2025-03-11,9500.0,9560.0,9370.0,9472.0,1971075724,208095,51,9462.0,9447.0,1403-12-21
2025-03-12,9400.0,9629.0,9240.0,9476.0,4265980285,450196,70,9472.0,9501.0,1403-12-22
2025-03-15,9650.0,9760.0,9625.0,9723.0,23529538222,2420061,134,9476.0,9753.0,1403-12-25
2025-03-16,9660.0,9750.0,9640.0,9692.0,5642390447,582141,70,9723.0,9728.0,1403-12-26
2025-03-17,9615.0,9660.0,9560.0,9619.0,1230113960,127882,49,9692.0,9620.0,1403-12-27
2025-03-18,9530.0,9530.0,9380.0,9415.0,2410909060,256070,44,9619.0,9425.0,1403-12-28
2025-03-25,9560.0,9697.0,9560.0,9625.0,2097625692,217932,34,9415.0,9650.0,1404-01-05
2025-03-26,9820.0,9820.0,9525.0,9539.0,989966982,103779,28,9625.0,9560.0,1404-01-06
2025-03-29,9540.0,9540.0,9257.0,9303.0,13661685605,1468515,103,9539.0,9286.0,1404-01-09
2025-03-30,9520.0,9582.0,9450.0,9538.0,6058928000,635257,54,9303.0,9582.0,1404-01-10
2025-04-05,9690.0,9690.0,9610.0,9645.0,1442510809,149560,36,9538.0,9650.0,1404-01-16
2025-04-06,9590.0,9660.0,9550.0,9612.0,3684176491,383289,53,9645.0,9576.0,1404-01-17
2025-04-07,9629.0,9629.0,9403.0,9471.0,4750558438,501573,54,9612.0,9403.0,1404-01-18
2025-04-08,9755.0,9755.0,9755.0,9755.0,212274028680,21760536,108,9471.0,9755.0,1404-01-19
2025-04-09,9923.0,9924.0,9640.0,9744.0,12661559334,1299381,61,9755.0,9644.0,1404-01-20
2025-04-12,9810.0,9810.0,9660.0,9719.0,1665032071,171312,53,9744.0,9720.0,1404-01-23
2025-04-13,9985.0,10010.0,9985.0,10010.0,60881186359,6082142,147,9719.0,10010.0,1404-01-24
2025-04-14,10280.0,10285.0,10040.0,10081.0,25274983704,2507249,144,10010.0,10045.0,1404-01-25
2025-04-15,10070.0,10070.0,9950.0,10023.0,17889205206,1784775,130,10081.0,10070.0,1404-01-26
2025-04-16,10060.0,10229.0,10060.0,10160.0,19516647229,1921000,91,10023.0,10190.0,1404-01-27
2025-04-19,10240.0,10383.0,10196.0,10277.0,143037565190,13918648,175,10160.0,10287.0,1404-01-30
2025-04-20,10585.0,10585.0,10552.0,10581.0,47137116430,4454794,252,10277.0,10585.0,1404-01-31
2025-04-21,10692.0,10830.0,10410.0,10693.0,108687972479,10164471,209,10581.0,10665.0,1404-02-01
2025-04-22,10693.0,10804.0,10600.0,10760.0,260398494286,24201048,158,10693.0,10800.0,1404-02-02
2025-04-23,10850.0,10900.0,10660.0,10813.0,49452246357,4573261,120,10760.0,10900.0,1404-02-03
2025-04-26,11115.0,11115.0,10865.0,10976.0,34770387801,3167849,155,10813.0,11000.0,1404-02-06
2025-04-27,10976.0,11190.0,10800.0,11120.0,18306839122,1646312,96,10976.0,11180.0,1404-02-07
2025-04-28,11130.0,11300.0,11130.0,11272.0,18557463799,1646379,113,11120.0,11300.0,1404-02-08
2025-04-29,11320.0,11610.0,11320.0,11606.0,483984522431,41702130,431,11272.0,11610.0,1404-02-09
2025-04-30,11630.0,11920.0,11447.0,11649.0,249105417646,21383630,477,11606.0,11700.0,1404-02-10
2025-05-03,11300.0,11560.0,11300.0,11401.0,95888387123,8410733,214,11649.0,11548.0,1404-02-13
2025-05-04,11530.0,11743.0,11500.0,11639.0,50639345620,4350961,214,11401.0,11743.0,1404-02-14
2025-05-05,11800.0,11880.0,11730.0,11812.0,24660963081,2087781,163,11639.0,11800.0,1404-02-15
2025-05-06,11850.0,12149.0,11850.0,12004.0,94790761120,7896792,153,11812.0,12002.0,1404-02-16
2025-05-07,12005.0,12364.0,12005.0,12192.0,35722824116,2930056,174,12004.0,12364.0,1404-02-17
2025-05-10,12555.0,12555.0,11930.0,12016.0,35247760939,2933461,242,12192.0,12198.0,1404-02-20
2025-05-11,12045.0,12070.0,11790.0,11951.0,226944167531,18989582,291,12016.0,11999.0,1404-02-21
2025-05-12,12307.0,12309.0,12200.0,12299.0,35783574148,2909512,182,11951.0,12309.0,1404-02-22
2025-05-13,12557.0,12557.0,12110.0,12257.0,71352424622,5821298,373,12299.0,12300.0,1404-02-23
2025-05-14,12390.0,12390.0,12100.0,12146.0,135437882235,11150847,191,12257.0,12270.0,1404-02-24
2025-05-17,12200.0,12365.0,12200.0,12220.0,4416098090,361383,52,12146.0,12210.0,1404-02-27
2025-05-18,12229.0,12349.0,12200.0,12270.0,13457870934,1096794,73,12220.0,12349.0,1404-02-28
2025-05-19,12450.0,12450.0,12050.0,12137.0,12158851824,1001797,57,12270.0,12100.0,1404-02-29
2025-05-20,12125.0,12269.0,11840.0,12000.0,78228757028,6519078,356,12137.0,11900.0,1404-02-30
2025-05-21,11900.0,12052.0,11770.0,11848.0,52614230688,4440906,106,12000.0,12052.0,1404-02-31
2025-05-24,12150.0,12150.0,11930.0,11989.0,14238481416,1187632,56,11848.0,11960.0,1404-03-03
2025-05-25,11900.0,11900.0,11630.0,11726.0,5896108630,502826,59,11989.0,11680.0,1404-03-04
2025-05-26,11660.0,11850.0,11404.0,11621.0,37228292867,3203608,194,11726.0,11790.0,1404-03-05
2025-05-27,11842.0,11969.0,11830.0,11897.0,39702587876,3337206,52,11621.0,11969.0,1404-03-06
2025-05-28,12090.0,12200.0,11890.0,11981.0,3179144408,265348,52,11897.0,12010.0,1404-03-07
2025-05-31,12030.0,12150.0,11990.0,12026.0,7595541498,631599,68,11981.0,12010.0,1404-03-10
2025-06-01,12100.0,12150.0,11750.0,12014.0,35433263320,2949255,83,12026.0,12100.0,1404-03-11
2025-06-02,11800.0,12269.0,11800.0,12036.0,7756162871,644428,63,12014.0,12210.0,1404-03-12
2025-06-03,12030.0,12162.0,11810.0,11927.0,9757919838,818132,67,12036.0,11890.0,1404-03-13
2025-06-07,11930.0,11936.0,11571.0,11733.0,5759464426,490857,78,11927.0,11936.0,1404-03-17
2025-06-08,11700.0,11860.0,11590.0,11743.0,8678136036,739010,36,11733.0,11800.0,1404-03-18
2025-06-09,11800.0,11800.0,11391.0,11517.0,4546555766,394773,51,11743.0,11430.0,1404-03-19
2025-06-10,11550.0,11640.0,11390.0,11487.0,8140515270,708660,43,11517.0,11640.0,1404-03-20
2025-06-11,11590.0,11590.0,11400.0,11447.0,3804421732,332352,36,11487.0,11420.0,1404-03-21
2025-06-28,11104.0,11104.0,11104.0,11104.0,1010464,91,1,11447.0,11104.0,1404-04-07
2025-06-29,10771.0,10771.0,10771.0,10771.0,10771000000,1000000,13,11104.0,10771.0,1404-04-08
2025-06-30,10448.0,10448.0,10448.0,10448.0,6274170272,600514,13,10771.0,10448.0,1404-04-09
2025-07-01,10135.0,10135.0,10135.0,10135.0,2133417500,210500,6,10448.0,10135.0,1404-04-10
2025-07-02,9831.0,10135.0,9831.0,9884.0,20556503060,2079761,104,10135.0,10130.0,1404-04-11
2025-07-07,9930.0,10180.0,9920.0,10060.0,32295775899,3210258,90,9884.0,10180.0,1404-04-16
2025-07-08,10050.0,10160.0,9940.0,10088.0,33445745278,3315487,43,10060.0,10100.0,1404-04-17
2025-07-09,9810.0,10389.0,9810.0,10122.0,1911450310,188833,33,10088.0,10389.0,1404-04-18
2025-07-12,10424.0,10424.0,10140.0,10269.0,1803614352,175636,26,10122.0,10140.0,1404-04-21
2025-07-13,10350.0,10490.0,10269.0,10363.0,4364150905,421117,107,10269.0,10460.0,1404-04-22
2025-07-14,10530.0,10530.0,10363.0,10399.0,2423142843,233009,63,10363.0,10494.0,1404-04-23
2025-07-15,10430.0,10510.0,10350.0,10420.0,6788271476,651439,62,10399.0,10510.0,1404-04-24
2025-07-16,10500.0,10599.0,10450.0,10502.0,25865588082,2462967,53,10420.0,10494.0,1404-04-25
2025-07-19,10600.0,10817.0,10505.0,10754.0,13872716145,1290014,28,10502.0,10800.0,1404-04-28
2025-07-20,10615.0,10615.0,10500.0,10575.0,3698846540,349769,43,10754.0,10570.0,1404-04-29
2025-07-21,10798.0,10890.0,10601.0,10831.0,76146084018,7030640,45,10575.0,10800.0,1404-04-30
2025-07-22,10999.0,10999.0,10725.0,10743.0,1140110303,106121,35,10831.0,10725.0,1404-04-31
2025-07-23,10550.0,10600.0,10530.0,10566.0,4308986950,407809,19,10743.0,10598.0,1404-05-01
2025-07-26,10566.0,10770.0,10411.0,10683.0,91918255320,8603951,40,10566.0,10600.0,1404-05-04
2025-07-27,10475.0,10700.0,10363.0,10484.0,39043450464,3724149,41,10683.0,10500.0,1404-05-05
