date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2024-10-20,10000.0,10000.0,10000.0,10000.0,980000000000,98000000,18592,10000.0,10000.0,1403-07-29
2024-10-21,10000.0,10000.0,10000.0,10000.0,1000000000000,100000000,4992,10000.0,10000.0,1403-07-30
2024-11-30,10550.0,10800.0,10150.0,10506.0,241430027626,22980373,2003,10000.0,10487.0,1403-09-10
2024-12-01,10500.0,10500.0,10315.0,10414.0,53848110937,5170594,663,10506.0,10402.0,1403-09-11
2024-12-02,10753.0,11550.0,10550.0,11120.0,677210469358,60902418,2815,10414.0,11300.0,1403-09-12
2024-12-03,11800.0,12232.0,11650.0,12153.0,515172530693,42389171,2108,11120.0,12232.0,1403-09-13
2024-12-04,13300.0,13368.0,12850.0,13162.0,616730599049,46856598,3537,12153.0,13100.0,1403-09-14
2024-12-07,13169.0,13169.0,12010.0,12662.0,269054885731,21248619,1968,13162.0,12400.0,1403-09-17
2024-12-08,12663.0,13650.0,12400.0,13075.0,318465265233,24355899,2079,12662.0,13310.0,1403-09-18
2024-12-09,14100.0,14382.0,13860.0,14193.0,352942600887,24867414,2200,13075.0,14382.0,1403-09-19
2024-12-10,14950.0,15500.0,14305.0,14866.0,475060248347,31955593,3594,14193.0,14811.0,1403-09-20
2024-12-11,15900.0,16270.0,15800.0,16013.0,581262985037,36298341,3494,14866.0,15989.0,1403-09-21
2024-12-14,17614.0,17614.0,15294.0,16964.0,1317436711690,77659818,8357,16013.0,15973.0,1403-09-24
2024-12-15,15800.0,16200.0,15268.0,15457.0,773595837916,50048822,5110,16964.0,15268.0,1403-09-25
2024-12-16,15100.0,15399.0,14148.0,14458.0,577535859866,39944691,4272,15457.0,14205.0,1403-09-26
2024-12-17,14113.0,14450.0,13830.0,14042.0,624285346803,44457136,2873,14458.0,14170.0,1403-09-27
2024-12-18,14341.0,14800.0,14198.0,14429.0,1167238394905,80895667,3405,14042.0,14404.0,1403-09-28
2024-12-21,15070.0,15100.0,14536.0,14723.0,730785705289,49636600,2635,14429.0,14577.0,1403-10-01
2024-12-22,14677.0,14705.0,14000.0,14191.0,668914339641,47135802,2579,14723.0,14090.0,1403-10-02
2024-12-23,14500.0,14649.0,14330.0,14500.0,272952860032,18823728,1781,14191.0,14586.0,1403-10-03
