date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2014-05-26,17500.0,17500.0,17500.0,17500.0,1550105707500,88577469,6514,1000.0,17500.0,1393-03-05
2014-05-28,17500.0,17500.0,17500.0,17500.0,391600895000,22377194,22287,17500.0,17500.0,1393-03-07
2014-05-31,18200.0,18200.0,18200.0,18200.0,25388363000,1394965,898,17500.0,18200.0,1393-03-10
2014-06-01,18890.0,18899.0,18444.0,18682.0,1018347828382,54510135,28188,18200.0,18740.0,1393-03-11
2014-06-02,18800.0,18991.0,18588.0,18775.0,218115666286,11617074,10776,18682.0,18740.0,1393-03-12
2014-06-03,18649.0,18850.0,18586.0,18689.0,177063331692,9474007,5796,18775.0,18601.0,1393-03-13
2014-06-07,18600.0,18720.0,18453.0,18572.0,114635324813,6172486,5934,18689.0,18500.0,1393-03-17
2014-06-08,18500.0,18600.0,18491.0,18511.0,126909058413,6855997,4388,18572.0,18506.0,1393-03-18
2014-06-09,18550.0,18748.0,18515.0,18670.0,72006906209,3856856,3684,18511.0,18700.0,1393-03-19
2014-06-10,18730.0,18750.0,18550.0,18639.0,60127285312,3225939,2452,18670.0,18700.0,1393-03-20
2014-06-11,18521.0,18638.0,18510.0,18575.0,41247501202,2220608,1574,18639.0,18630.0,1393-03-21
2014-06-14,18511.0,18511.0,17901.0,18288.0,76733464560,4195847,2373,18575.0,17942.0,1393-03-24
2014-06-15,17953.0,18297.0,17851.0,18152.0,62533332053,3445004,2029,18288.0,18007.0,1393-03-25
2014-06-16,18200.0,18613.0,18200.0,18479.0,77590514276,4198740,2019,18152.0,18500.0,1393-03-26
2014-06-17,18401.0,18499.0,18104.0,18428.0,50396512932,2734806,1288,18479.0,18160.0,1393-03-27
2014-06-18,18400.0,18590.0,18400.0,18480.0,27922284325,1510982,1962,18428.0,18501.0,1393-03-28
2014-06-21,18500.0,18500.0,18300.0,18458.0,28380698286,1537558,816,18480.0,18322.0,1393-03-31
2014-06-22,18400.0,18500.0,18121.0,18432.0,39211119476,2127330,1522,18458.0,18207.0,1393-04-01
2014-06-23,18210.0,18500.0,18210.0,18435.0,43674903499,2369082,1250,18432.0,18500.0,1393-04-02
2014-06-24,18400.0,18405.0,18200.0,18382.0,32880689113,1788729,925,18435.0,18240.0,1393-04-03
2014-06-25,18382.0,18395.0,18170.0,18331.0,29215266071,1593773,910,18382.0,18300.0,1393-04-04
2014-06-28,18200.0,18301.0,17598.0,18147.0,26379527715,1453682,930,18331.0,17627.0,1393-04-07
2014-06-29,18100.0,18100.0,17422.0,17637.0,37942907635,2151378,1070,18147.0,17422.0,1393-04-08
2014-06-30,17000.0,17500.0,16932.0,17027.0,24810637795,1457134,822,17637.0,17500.0,1393-04-09
2014-07-01,17010.0,17708.0,17010.0,17544.0,8813698638,501697,469,17027.0,17708.0,1393-04-10
2014-07-02,17801.0,18245.0,17801.0,18202.0,24798542714,1362385,899,17544.0,18245.0,1393-04-11
2014-07-05,18500.0,18930.0,18400.0,18868.0,49924494827,2646018,1912,18202.0,18930.0,1393-04-14
2014-07-06,18800.0,18800.0,18114.0,18158.0,27102635332,1492624,895,18868.0,18114.0,1393-04-15
2014-07-07,17600.0,18390.0,17600.0,18067.0,9703863764,537106,467,18158.0,18340.0,1393-04-16
2014-07-08,18200.0,18699.0,18131.0,18491.0,17976785792,972197,805,18067.0,18600.0,1393-04-17
2014-07-09,18500.0,18500.0,18090.0,18324.0,18397905095,1004049,858,18491.0,18333.0,1393-04-18
2014-07-12,18150.0,18699.0,18150.0,18385.0,19443015809,1057543,878,18324.0,18326.0,1393-04-21
2014-07-13,18295.0,19005.0,17800.0,18608.0,26501158361,1424149,922,18385.0,18300.0,1393-04-22
2014-07-14,18350.0,18500.0,18210.0,18454.0,6949358788,377795,386,18608.0,18391.0,1393-04-23
2014-07-15,18450.0,18450.0,18101.0,18271.0,10286337040,562992,486,18454.0,18210.0,1393-04-24
2014-07-16,18250.0,18450.0,17902.0,18189.0,36989787891,2033627,1294,18271.0,18310.0,1393-04-25
2014-07-23,16095.0,16095.0,15501.0,15896.0,24631988780,1549534,894,15289.0,15780.0,1393-05-01
2014-07-26,15780.0,15800.0,15400.0,15583.0,6368130439,410962,443,15896.0,15400.0,1393-05-04
2014-07-27,15410.0,15415.0,15263.0,15471.0,3230833422,211109,287,15583.0,15301.0,1393-05-05
2014-07-28,15500.0,15500.0,15272.0,15380.0,4521687413,295356,367,15471.0,15320.0,1393-05-06
2014-08-02,15282.0,15395.0,15001.0,15197.0,5464275504,361531,328,15380.0,15037.0,1393-05-11
2014-08-03,15040.0,15040.0,14601.0,14809.0,13153740654,888217,535,15197.0,15000.0,1393-05-12
2014-08-04,14810.0,15300.0,14810.0,15059.0,7317099503,485245,337,14809.0,14900.0,1393-05-13
2014-08-05,14824.0,15000.0,14824.0,15004.0,2773381377,186096,186,15059.0,14900.0,1393-05-14
2014-08-06,14752.0,15029.0,14752.0,14985.0,7297916697,487047,296,15004.0,15029.0,1393-05-15
2014-08-09,15000.0,15000.0,14756.0,14877.0,4985591570,336495,233,14985.0,14835.0,1393-05-18
2014-08-10,14701.0,14800.0,14651.0,14811.0,3380849734,229588,248,14877.0,14671.0,1393-05-19
2014-08-11,14798.0,14798.0,14501.0,14588.0,8037803993,550992,449,14811.0,14510.0,1393-05-20
2014-08-12,14581.0,15171.0,14255.0,14917.0,21969366859,1472814,768,14588.0,14910.0,1393-05-21
2014-08-13,15049.0,15049.0,14631.0,14900.0,2899042531,194926,180,14917.0,14860.0,1393-05-22
2014-08-16,14780.0,14960.0,14601.0,14821.0,2137597456,146264,214,14900.0,14611.0,1393-05-25
2014-08-17,14603.0,15370.0,14581.0,14949.0,12668798923,847471,437,14821.0,14770.0,1393-05-26
2014-08-18,14900.0,14900.0,14654.0,14855.0,2925071284,198971,185,14949.0,14700.0,1393-05-27
2014-08-19,14751.0,15349.0,14663.0,15066.0,18465419201,1225614,619,14855.0,15100.0,1393-05-28
2014-08-20,15152.0,15398.0,14921.0,15200.0,6550987761,430159,249,15066.0,14932.0,1393-05-29
2014-08-23,14900.0,14910.0,14810.0,15086.0,2586784301,174124,205,15200.0,14810.0,1393-06-01
2014-08-24,14840.0,14840.0,14751.0,14889.0,5216415618,352639,217,15086.0,14810.0,1393-06-02
2014-08-25,14801.0,14810.0,14704.0,14816.0,4379563524,296724,211,14889.0,14725.0,1393-06-03
