date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2011-04-18,17501.0,17501.0,17500.0,17500.0,871193260000,49782460,720,1000.0,17500.0,1390-01-29
2011-04-19,18375.0,18375.0,18375.0,18375.0,253372875,13789,14,17500.0,18375.0,1390-01-30
2011-04-20,19293.0,19293.0,19293.0,19293.0,25790805228,1336796,333,18375.0,19293.0,1390-01-31
2011-04-23,20257.0,20257.0,20257.0,20257.0,6204536787,306291,267,19293.0,20257.0,1390-02-03
2011-04-24,21269.0,21269.0,21269.0,21269.0,119327959173,5610417,2634,20257.0,21269.0,1390-02-04
2011-04-25,21980.0,22332.0,21800.0,22167.0,556010628534,25082271,13541,21269.0,22332.0,1390-02-05
2011-04-26,22471.0,23260.0,22168.0,22330.0,560943956572,25120332,8903,22167.0,22310.0,1390-02-06
2011-04-27,22332.0,22800.0,21501.0,22123.0,134152232504,6063966,2612,22330.0,22220.0,1390-02-07
2011-04-30,21022.0,21128.0,21017.0,21017.0,221329033563,10530783,2498,22123.0,21017.0,1390-02-10
2011-05-01,20500.0,22067.0,20500.0,21627.0,34216923306,1582158,675,21017.0,22067.0,1390-02-11
2011-05-02,22708.0,22708.0,22700.0,22708.0,757595216114,33362483,2169,21627.0,22708.0,1390-02-12
2011-05-03,23201.0,23500.0,22323.0,22837.0,216993844053,9501971,866,22708.0,23149.0,1390-02-13
2011-05-04,22846.0,23978.0,22846.0,23710.0,49263953694,2077756,650,22837.0,23978.0,1390-02-14
2011-05-08,23803.0,24289.0,22710.0,23292.0,69993555459,3005087,745,23710.0,23100.0,1390-02-18
2011-05-09,23910.0,24456.0,23900.0,24427.0,76969483227,3151059,675,23292.0,24456.0,1390-02-19
2011-05-10,25200.0,25200.0,23910.0,24574.0,52635359583,2141889,507,24427.0,23910.0,1390-02-20
2011-05-11,24052.0,24250.0,23650.0,24046.0,27005080638,1123067,356,24574.0,24060.0,1390-02-21
2011-05-14,23825.0,23904.0,23560.0,23725.0,2153488797,90767,79,24046.0,23700.0,1390-02-24
2011-05-15,24000.0,24000.0,23057.0,23369.0,11033450791,472134,248,23725.0,23250.0,1390-02-25
2011-05-16,23360.0,23900.0,22210.0,22439.0,81214373331,3619336,1204,23369.0,22900.0,1390-02-26
2011-05-17,22809.0,23279.0,22502.0,22938.0,12571579623,548058,168,22439.0,23022.0,1390-02-27
2011-05-18,23249.0,23998.0,23100.0,23150.0,138201408746,5969898,202,22938.0,23120.0,1390-02-28
2011-05-21,23000.0,23397.0,23000.0,23200.0,17646040086,760616,221,23150.0,23201.0,1390-02-31
2011-05-22,22704.0,23300.0,22704.0,23004.0,15682877933,681752,214,23200.0,23300.0,1390-03-01
2011-05-23,23000.0,23500.0,23000.0,23125.0,11635834465,503172,164,23004.0,23040.0,1390-03-02
2011-05-24,23150.0,23213.0,22700.0,23023.0,17536950890,761728,210,23125.0,22700.0,1390-03-03
2011-05-25,22749.0,22749.0,21985.0,22094.0,24428378818,1105657,262,23023.0,22102.0,1390-03-04
2011-05-28,22500.0,22500.0,21404.0,21821.0,20442870484,936829,216,22094.0,21785.0,1390-03-07
2011-05-29,21501.0,21800.0,20730.0,20912.0,47189470913,2256535,423,21821.0,20800.0,1390-03-08
2011-05-30,21000.0,21957.0,20995.0,21734.0,18131465832,834248,249,20912.0,21957.0,1390-03-09
2011-05-31,22600.0,22660.0,22361.0,22488.0,16185647286,719750,192,21734.0,22500.0,1390-03-10
2011-06-01,22439.0,22620.0,22109.0,22448.0,9332069411,415728,97,22488.0,22620.0,1390-03-11
2011-06-06,23000.0,23298.0,22764.0,23001.0,5313345574,231001,108,22448.0,23100.0,1390-03-16
2011-06-07,23004.0,23485.0,22853.0,23038.0,13542832774,587846,167,23001.0,23000.0,1390-03-17
2011-06-08,22980.0,24189.0,22510.0,23663.0,46056508749,1946332,389,23038.0,24189.0,1390-03-18
2011-06-11,24846.0,24846.0,24055.0,24780.0,127097791961,5129044,814,23663.0,24200.0,1390-03-21
2011-06-12,24000.0,25489.0,24000.0,24897.0,26962523965,1082943,391,24780.0,24800.0,1390-03-22
2011-06-13,25001.0,25899.0,25000.0,25693.0,32682357907,1272054,400,24897.0,25790.0,1390-03-23
2011-06-14,24671.0,25799.0,24671.0,24939.0,21261383151,852538,320,25693.0,24679.0,1390-03-24
2011-06-15,24412.0,24599.0,24013.0,24312.0,10372568577,426640,120,24939.0,24423.0,1390-03-25
2011-06-18,24800.0,24999.0,24400.0,24783.0,8204861169,331068,145,24312.0,24999.0,1390-03-28
2011-06-19,25001.0,25248.0,24720.0,24910.0,5847421720,234742,112,24783.0,24720.0,1390-03-29
2011-06-20,24989.0,24989.0,24350.0,24454.0,11041269283,451507,124,24910.0,24361.0,1390-03-30
2011-06-21,24400.0,24499.0,24300.0,24386.0,9423932333,386448,121,24454.0,24350.0,1390-03-31
2011-06-22,24590.0,24600.0,24300.0,24506.0,21742364126,887222,114,24386.0,24600.0,1390-04-01
2011-06-25,24400.0,24450.0,24221.0,24308.0,6657877141,273893,77,24506.0,24450.0,1390-04-04
2011-06-26,24310.0,24500.0,23824.0,24032.0,17013749067,707950,162,24308.0,23960.0,1390-04-05
2011-06-27,23025.0,23251.0,22831.0,22970.0,42207748624,1837507,251,24032.0,22831.0,1390-04-06
2011-06-28,22401.0,24000.0,22401.0,23384.0,2832902612,121149,78,22970.0,23500.0,1390-04-07
2011-06-29,23979.0,24553.0,23970.0,24377.0,11428645003,468833,151,23384.0,24393.0,1390-04-08
2011-07-02,24496.0,25000.0,24496.0,24726.0,6164605830,249315,122,24377.0,24630.0,1390-04-11
2011-07-03,24750.0,24750.0,24000.0,24232.0,5706439162,235495,103,24726.0,24200.0,1390-04-12
2011-07-04,23416.0,24139.0,23400.0,23785.0,11750032792,494020,99,24232.0,24130.0,1390-04-13
2011-07-05,24498.0,24973.0,24400.0,24567.0,75388696146,3068670,264,23785.0,24808.0,1390-04-14
2011-07-06,24950.0,25190.0,24500.0,24961.0,25629244363,1026752,213,24567.0,25100.0,1390-04-15
2011-07-09,24961.0,25794.0,24752.0,24976.0,21709612014,869217,138,24961.0,24753.0,1390-04-18
2011-07-10,24560.0,24560.0,24159.0,24288.0,7387143836,304146,102,24976.0,24500.0,1390-04-19
2011-07-11,24945.0,24945.0,24316.0,24493.0,3747444100,153000,51,24288.0,24550.0,1390-04-20
2011-07-12,24830.0,24990.0,24401.0,24590.0,11200113939,455471,126,24493.0,24598.0,1390-04-21
2011-07-13,24402.0,24799.0,24402.0,24494.0,5401025615,220500,55,24590.0,24481.0,1390-04-22
2011-07-16,24450.0,24700.0,24277.0,24427.0,4399227627,180097,58,24494.0,24381.0,1390-04-25
2011-07-18,24400.0,24750.0,24350.0,24470.0,4506150358,184147,66,24427.0,24437.0,1390-04-27
2011-07-19,24301.0,24499.0,24300.0,24360.0,4356732167,178848,46,24470.0,24300.0,1390-04-28
2011-07-20,24500.0,24700.0,24430.0,24541.0,4019997986,163810,58,24360.0,24500.0,1390-04-29
2011-07-26,24798.0,25400.0,24798.0,25167.0,65486271460,2602067,395,24541.0,25172.0,1390-05-04
2011-07-27,25244.0,25290.0,25106.0,25215.0,14099438161,559163,156,25167.0,25134.0,1390-05-05
2011-07-30,25598.0,25598.0,25000.0,25240.0,5143840374,203794,82,25215.0,25000.0,1390-05-08
2011-07-31,24512.0,24998.0,24511.0,24856.0,8729681681,351212,98,25240.0,24960.0,1390-05-09
