date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2005-11-02,1000.0,1000.0,1000.0,1000.0,6668972000,6668972,755,1000.0,1000.0,1384-08-11
2005-11-05,1039.0,1049.0,1007.0,1029.0,2024402028,1961855,511,1000.0,1029.0,1384-08-14
2005-11-06,1040.0,1078.0,1030.0,1044.0,2293592280,2196166,547,1029.0,1044.0,1384-08-15
2005-11-07,1050.0,1060.0,1039.0,1047.0,1110047409,1057001,353,1044.0,1047.0,1384-08-16
2005-11-08,1050.0,1052.0,1030.0,1044.0,600423033,577387,199,1047.0,1044.0,1384-08-17
2005-11-09,1039.0,1044.0,1011.0,1040.0,580994576,562709,177,1044.0,1040.0,1384-08-18
2005-11-12,1048.0,1051.0,1030.0,1040.0,349468320,335184,124,1040.0,1040.0,1384-08-21
2005-11-13,1037.0,1038.0,1029.0,1038.0,345192593,334596,108,1040.0,1038.0,1384-08-22
2005-11-14,1033.0,1036.0,1018.0,1036.0,269524744,262832,97,1038.0,1036.0,1384-08-23
2005-11-15,1030.0,1032.0,1016.0,1032.0,339754173,333769,115,1036.0,1032.0,1384-08-24
2005-11-16,1017.0,1030.0,1012.0,1030.0,146710306,144644,49,1032.0,1030.0,1384-08-25
2005-11-19,1020.0,1028.0,1010.0,1028.0,110404000,109130,48,1030.0,1028.0,1384-08-28
2005-11-20,1013.0,1027.0,1008.0,1027.0,79585204,78888,33,1028.0,1027.0,1384-08-29
2005-11-21,1007.0,1026.0,1007.0,1026.0,86263736,85659,31,1027.0,1026.0,1384-08-30
2005-11-22,1006.0,1024.0,1006.0,1024.0,183863782,182767,66,1026.0,1024.0,1384-09-01
2005-11-23,1015.0,1040.0,1006.0,1023.0,436682248,427386,124,1024.0,1023.0,1384-09-02
2005-11-26,1040.0,1074.0,1038.0,1040.0,825654221,771002,171,1023.0,1040.0,1384-09-05
2005-11-27,1092.0,1092.0,1020.0,1058.0,863681011,793351,236,1040.0,1058.0,1384-09-06
2005-11-29,1105.0,1110.0,1051.0,1070.0,641580631,581176,185,1058.0,1070.0,1384-09-08
2005-11-30,1123.0,1123.0,1099.0,1099.0,1270710196,1131532,237,1070.0,1099.0,1384-09-09
2005-12-03,1153.0,1153.0,1076.0,1153.0,14393312417,13227588,1731,1099.0,1153.0,1384-09-12
2005-12-04,1210.0,1210.0,1210.0,1210.0,2561410280,2116868,410,1153.0,1210.0,1384-09-13
2005-12-05,1270.0,1270.0,1199.0,1229.0,1219900236,974673,344,1210.0,1229.0,1384-09-14
2005-12-06,1290.0,1290.0,1290.0,1290.0,2755086540,2135726,622,1229.0,1290.0,1384-09-15
2005-12-10,1354.0,1354.0,1293.0,1353.0,3766274334,2782187,721,1290.0,1353.0,1384-09-19
2005-12-11,1420.0,1420.0,1410.0,1419.0,4177822080,2942180,674,1353.0,1419.0,1384-09-20
2005-12-12,1489.0,1489.0,1401.0,1477.0,8924707322,6041487,1372,1419.0,1477.0,1384-09-21
2005-12-13,1480.0,1530.0,1450.0,1490.0,3303916808,2216799,742,1477.0,1490.0,1384-09-22
2005-12-14,1481.0,1481.0,1416.0,1466.0,1184577805,826070,327,1490.0,1466.0,1384-09-23
2005-12-17,1393.0,1454.0,1393.0,1454.0,453635239,325653,135,1466.0,1454.0,1384-09-26
2005-12-18,1382.0,1445.0,1382.0,1445.0,340054168,246059,102,1454.0,1445.0,1384-09-27
2005-12-19,1373.0,1404.0,1373.0,1404.0,1560664696,1136682,270,1445.0,1404.0,1384-09-28
2005-12-20,1334.0,1393.0,1334.0,1363.0,1993331197,1478009,461,1404.0,1363.0,1384-09-29
2005-12-21,1363.0,1370.0,1340.0,1359.0,811742122,600998,184,1363.0,1359.0,1384-09-30
2005-12-24,1399.0,1426.0,1390.0,1398.0,2053411659,1450520,287,1359.0,1398.0,1384-10-03
2005-12-25,1440.0,1440.0,1356.0,1400.0,1000413622,712367,208,1398.0,1400.0,1384-10-04
2005-12-26,1414.0,1439.0,1380.0,1401.0,351220410,248893,120,1400.0,1401.0,1384-10-05
2005-12-27,1403.0,1423.0,1361.0,1400.0,536726433,384047,154,1401.0,1400.0,1384-10-06
2005-12-28,1400.0,1418.0,1384.0,1400.0,509175323,363032,123,1400.0,1400.0,1384-10-07
2005-12-31,1400.0,1400.0,1200.0,1399.0,725070799,548904,138,1400.0,1399.0,1384-10-10
2006-01-01,1397.0,1397.0,1346.0,1395.0,258478960,190383,75,1399.0,1395.0,1384-10-11
2006-01-02,1389.0,1398.0,1365.0,1394.0,272518685,196562,83,1395.0,1394.0,1384-10-12
2006-01-03,1383.0,1399.0,1366.0,1392.0,393860118,284699,104,1394.0,1392.0,1384-10-13
2006-01-04,1390.0,1391.0,1334.0,1391.0,130571417,95051,45,1392.0,1391.0,1384-10-14
2006-01-07,1356.0,1387.0,1322.0,1387.0,170168913,127855,39,1391.0,1387.0,1384-10-17
2006-01-08,1318.0,1373.0,1318.0,1373.0,547301999,414707,106,1387.0,1373.0,1384-10-18
2006-01-09,1333.0,1369.0,1314.0,1369.0,199199525,149833,76,1373.0,1369.0,1384-10-19
2006-01-10,1325.0,1359.0,1301.0,1359.0,437021391,333751,79,1369.0,1359.0,1384-10-20
2006-01-14,1292.0,1358.0,1292.0,1358.0,21508584,16647,13,1359.0,1358.0,1384-10-24
2006-01-15,1291.0,1357.0,1291.0,1357.0,37172423,28793,16,1358.0,1357.0,1384-10-25
2006-01-16,1290.0,1355.0,1290.0,1355.0,58165460,45089,17,1357.0,1355.0,1384-10-26
2006-01-17,1288.0,1340.0,1288.0,1337.0,742477181,574107,145,1355.0,1337.0,1384-10-27
2006-01-18,1337.0,1339.0,1282.0,1336.0,99471517,75743,34,1337.0,1336.0,1384-10-28
2006-01-21,1300.0,1332.0,1270.0,1332.0,154732959,121818,38,1336.0,1332.0,1384-11-01
2006-01-22,1266.0,1329.0,1266.0,1329.0,90677880,71625,26,1332.0,1329.0,1384-11-02
2006-01-23,1263.0,1327.0,1263.0,1327.0,47896126,37922,20,1329.0,1327.0,1384-11-03
2006-01-24,1261.0,1326.0,1261.0,1326.0,16533621,13111,7,1327.0,1326.0,1384-11-04
2006-01-25,1260.0,1323.0,1260.0,1323.0,89247690,70831,23,1326.0,1323.0,1384-11-05
2006-01-28,1257.0,1322.0,1257.0,1322.0,18276173,14539,14,1323.0,1322.0,1384-11-08
2006-01-29,1256.0,1307.0,1256.0,1307.0,586531963,465881,164,1322.0,1307.0,1384-11-09
2006-01-30,1250.0,1303.0,1242.0,1303.0,146683551,117583,60,1307.0,1303.0,1384-11-10
2006-01-31,1238.0,1301.0,1238.0,1301.0,65422740,52845,23,1303.0,1301.0,1384-11-11
2006-02-01,1236.0,1300.0,1236.0,1300.0,33427024,27044,13,1301.0,1300.0,1384-11-12
2006-02-04,1235.0,1298.0,1235.0,1298.0,40270275,32607,14,1300.0,1298.0,1384-11-15
2006-02-05,1234.0,1297.0,1234.0,1297.0,1841758,1492,3,1298.0,1297.0,1384-11-16
2006-02-06,1233.0,1296.0,1233.0,1296.0,7984305,6475,6,1297.0,1296.0,1384-11-17
2006-02-07,1232.0,1295.0,1232.0,1295.0,2861334,2322,5,1296.0,1295.0,1384-11-18
2006-02-12,1231.0,1294.0,1231.0,1294.0,3989070,3240,2,1295.0,1294.0,1384-11-23
2006-02-14,1230.0,1293.0,1230.0,1293.0,16910670,13748,7,1294.0,1293.0,1384-11-25
2006-02-15,1268.0,1292.0,1268.0,1292.0,12251656,9662,10,1293.0,1292.0,1384-11-26
2006-02-18,1267.0,1291.0,1267.0,1291.0,6371983,5029,4,1292.0,1291.0,1384-11-29
2006-02-19,1266.0,1290.0,1266.0,1290.0,3117132,2462,4,1291.0,1290.0,1384-11-30
2006-02-20,1265.0,1289.0,1265.0,1289.0,4479605,3541,4,1290.0,1289.0,1384-12-01
2006-02-21,1264.0,1288.0,1264.0,1288.0,22177120,17545,4,1289.0,1288.0,1384-12-02
2006-02-22,1263.0,1287.0,1263.0,1287.0,23269752,18424,18,1288.0,1287.0,1384-12-03
2006-02-25,1262.0,1286.0,1262.0,1286.0,37578814,29777,15,1287.0,1286.0,1384-12-06
2006-02-26,1261.0,1285.0,1261.0,1285.0,26027280,20640,8,1286.0,1285.0,1384-12-07
2006-02-27,1260.0,1284.0,1260.0,1284.0,32925300,26131,14,1285.0,1284.0,1384-12-08
2006-02-28,1259.0,1283.0,1259.0,1283.0,89031684,70716,25,1284.0,1283.0,1384-12-09
2006-03-01,1258.0,1282.0,1258.0,1282.0,2697392,2144,2,1283.0,1282.0,1384-12-10
2006-03-04,1257.0,1281.0,1257.0,1281.0,8853291,7043,4,1282.0,1281.0,1384-12-13
2006-03-05,1256.0,1280.0,1256.0,1280.0,21590880,17190,9,1281.0,1280.0,1384-12-14
2006-03-06,1255.0,1279.0,1255.0,1279.0,5177115,4125,4,1280.0,1279.0,1384-12-15
2006-03-07,1254.0,1278.0,1254.0,1278.0,29281140,23350,9,1279.0,1278.0,1384-12-16
2006-03-08,1253.0,1277.0,1253.0,1277.0,18419340,14700,10,1278.0,1277.0,1384-12-17
2006-03-12,1252.0,1276.0,1252.0,1276.0,34455520,27520,16,1277.0,1276.0,1384-12-21
2006-03-13,1251.0,1275.0,1251.0,1275.0,8010393,6403,7,1276.0,1275.0,1384-12-22
2006-03-14,1250.0,1274.0,1250.0,1274.0,35607740,28486,10,1275.0,1274.0,1384-12-23
2006-03-15,1249.0,1273.0,1249.0,1273.0,5901765,4725,10,1274.0,1273.0,1384-12-24
2006-03-18,1248.0,1272.0,1248.0,1272.0,4020048,3221,6,1273.0,1272.0,1384-12-27
2006-03-19,1247.0,1271.0,1247.0,1271.0,45610512,36576,14,1272.0,1271.0,1384-12-28
2006-03-25,1246.0,1270.0,1246.0,1270.0,13407200,10760,4,1271.0,1270.0,1385-01-05
2006-03-27,1245.0,1269.0,1245.0,1269.0,1006200,808,3,1270.0,1269.0,1385-01-07
2006-03-28,1244.0,1268.0,1244.0,1268.0,757836,609,2,1269.0,1268.0,1385-01-08
2006-04-03,1243.0,1267.0,1243.0,1267.0,53163350,42770,15,1268.0,1267.0,1385-01-14
2006-04-04,1242.0,1266.0,1242.0,1266.0,3236892,2606,4,1267.0,1266.0,1385-01-15
