date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2015-06-06,10000.0,10000.0,10000.0,10000.0,8196700000,819670,88,10000.0,10000.0,1394-03-16
2015-06-07,10000.0,10000.0,10000.0,10000.0,7562200000,756220,79,10000.0,10000.0,1394-03-17
2015-06-08,10000.0,10000.0,10000.0,10000.0,4802700000,480270,46,10000.0,10000.0,1394-03-18
2015-06-13,10000.0,10000.0,10000.0,10000.0,31400000,3140,2,10000.0,10000.0,1394-03-23
2015-06-14,10000.0,10000.0,10000.0,10000.0,8196100000,819610,84,10000.0,10000.0,1394-03-24
2015-06-15,10000.0,10000.0,10000.0,10000.0,43848300000,4384830,286,10000.0,10000.0,1394-03-25
2015-07-20,10140.0,10199.0,10093.0,10153.0,1319304700,129940,22,10000.0,10119.0,1394-04-29
2015-07-21,10177.0,10230.0,10177.0,10206.0,8743828800,856760,29,10153.0,10230.0,1394-04-30
2015-07-22,10200.0,10240.0,10185.0,10191.0,661400500,64900,5,10206.0,10240.0,1394-04-31
2015-07-25,10219.0,10219.0,10219.0,10219.0,132847000,13000,5,10191.0,10219.0,1394-05-03
2015-07-26,10263.0,10263.0,10210.0,10236.0,3524175310,344300,28,10219.0,10240.0,1394-05-04
2015-07-27,10247.0,10247.0,10200.0,10245.0,35571438700,3472100,79,10236.0,10247.0,1394-05-05
2015-07-29,10308.0,10308.0,10308.0,10308.0,11957280,1160,1,10245.0,10308.0,1394-05-07
2015-08-01,10307.0,10307.0,10307.0,10307.0,333534520,32360,3,10308.0,10307.0,1394-05-10
2015-08-02,10315.0,10315.0,10315.0,10315.0,56732500,5500,1,10307.0,10315.0,1394-05-11
2015-08-03,10323.0,10323.0,10323.0,10323.0,940425300,91100,14,10315.0,10323.0,1394-05-12
2015-08-04,10330.0,10330.0,10329.0,10329.0,49579600,4800,3,10323.0,10330.0,1394-05-13
2015-08-05,10335.0,10336.0,10335.0,10335.0,463732820,44870,4,10329.0,10336.0,1394-05-14
2015-08-08,10357.0,10357.0,10357.0,10357.0,139819500,13500,2,10335.0,10357.0,1394-05-17
2015-08-09,10364.0,10365.0,10363.0,10364.0,533639300,51490,11,10357.0,10364.0,1394-05-18
2015-08-10,10370.0,10372.0,10370.0,10371.0,1253885900,120900,9,10364.0,10371.0,1394-05-19
2015-08-12,10384.0,10386.0,10384.0,10384.0,522315800,50300,3,10371.0,10384.0,1394-05-21
2015-08-15,10404.0,10404.0,10404.0,10404.0,83232000,8000,2,10384.0,10404.0,1394-05-24
2015-08-16,10412.0,10413.0,10412.0,10412.0,928750800,89200,14,10404.0,10412.0,1394-05-25
2015-08-17,10419.0,10419.0,10418.0,10419.0,7600548610,729490,28,10412.0,10419.0,1394-05-26
2015-08-18,10426.0,10426.0,10425.0,10426.0,665277060,63810,6,10419.0,10426.0,1394-05-27
2015-08-19,10432.0,10433.0,10432.0,10433.0,651528400,62450,5,10426.0,10432.0,1394-05-28
2015-08-22,10448.0,10450.0,10448.0,10448.0,649255090,62140,10,10433.0,10449.0,1394-05-31
2015-08-23,10453.0,10455.0,10453.0,10454.0,281117530,26890,4,10448.0,10455.0,1394-06-01
2015-08-24,10457.0,10459.0,10457.0,10458.0,10326950590,987510,21,10454.0,10459.0,1394-06-02
2015-08-25,10466.0,10466.0,10464.0,10465.0,5668402700,541650,10,10458.0,10464.0,1394-06-03
2015-08-26,10470.0,10472.0,10470.0,10470.0,136114700,13000,3,10465.0,10471.0,1394-06-04
2015-08-30,10497.0,10497.0,10495.0,10495.0,709265050,67580,18,10470.0,10495.0,1394-06-08
2015-08-31,10502.0,10504.0,10502.0,10503.0,1758204300,167400,10,10495.0,10504.0,1394-06-09
2015-09-01,10509.0,10509.0,10509.0,10509.0,527551800,50200,2,10503.0,10509.0,1394-06-10
2015-09-02,10516.0,10518.0,10516.0,10517.0,936008000,89000,7,10509.0,10518.0,1394-06-11
2015-09-05,10537.0,10538.0,10537.0,10537.0,156897400,14890,5,10517.0,10537.0,1394-06-14
2015-09-06,10546.0,10546.0,10545.0,10546.0,418675200,39700,4,10537.0,10545.0,1394-06-15
2015-09-07,10551.0,10552.0,10551.0,10552.0,267910980,25390,6,10546.0,10552.0,1394-06-16
2015-09-08,10559.0,10559.0,10550.0,10558.0,5912301770,560000,14,10552.0,10558.0,1394-06-17
2015-09-09,10567.0,10568.0,10566.0,10567.0,16594396800,1570400,38,10558.0,10566.0,1394-06-18
2015-09-12,10584.0,10586.0,10584.0,10586.0,512042880,48370,5,10567.0,10586.0,1394-06-21
2015-09-13,10590.0,10590.0,10590.0,10590.0,4236000,400,1,10586.0,10590.0,1394-06-22
2015-09-14,10598.0,10598.0,10596.0,10596.0,3577754700,337650,11,10590.0,10596.0,1394-06-23
2015-09-15,10603.0,10604.0,10603.0,10604.0,339314500,32000,3,10596.0,10604.0,1394-06-24
2015-09-16,10612.0,10612.0,10610.0,10611.0,430813780,40600,12,10604.0,10612.0,1394-06-25
2015-09-19,10631.0,10632.0,10630.0,10631.0,3119658150,293450,20,10611.0,10630.0,1394-06-28
2015-09-20,10640.0,10642.0,10640.0,10641.0,1085827320,102040,14,10631.0,10642.0,1394-06-29
2015-09-21,10649.0,10649.0,10647.0,10647.0,988149350,92810,9,10641.0,10647.0,1394-06-30
2015-09-22,10654.0,10656.0,10652.0,10654.0,1158697300,108760,11,10647.0,10656.0,1394-06-31
