index,date,open,high,low,adjClose,value,volume,count,yesterday,close,symbol
0,2013-04-16,7500.0,7500.0,7500.0,7500.0,10500000000,1400000,1,1000.0,7500.0,فارس
1,2013-04-17,7700.0,7800.0,7680.0,7788.0,620595738957,79684517,8176,7500.0,7800.0,فارس
2,2013-04-20,7900.0,7940.0,7560.0,7754.0,235468238335,30366404,5599,7788.0,7604.0,فارس
3,2013-04-21,7609.0,7849.0,7520.0,7713.0,284391672389,36871260,4884,7754.0,7840.0,فارس
4,2013-04-22,7950.0,8021.0,7903.0,8003.0,83996412783,10496140,890,7713.0,8021.0,فارس
5,2013-04-23,8323.0,8323.0,8323.0,8054.0,9859725428,1184636,164,8003.0,8323.0,فارس
6,2013-04-24,8376.0,8376.0,8376.0,8106.0,10057482000,1200750,154,8054.0,8376.0,فارس
7,2013-04-27,8430.0,8430.0,8430.0,8127.0,4138944540,490978,107,8106.0,8430.0,فارس
8,2013-04-28,8452.0,8452.0,8452.0,8181.0,10350200872,1224586,119,8127.0,8452.0,فارس
9,2013-04-29,8508.0,8508.0,8508.0,8197.0,3143697492,369499,65,8181.0,8508.0,فارس
10,2013-04-30,8524.0,8524.0,8524.0,8223.0,5033515764,590511,107,8197.0,8524.0,فارس
11,2013-05-01,8551.0,8551.0,8551.0,8257.0,6661057980,778980,82,8223.0,8551.0,فارس
12,2013-05-04,8587.0,8587.0,8587.0,8286.0,5704438557,664311,124,8257.0,8587.0,فارس
13,2013-05-05,8617.0,8617.0,8617.0,8317.0,5913019868,686204,106,8286.0,8617.0,فارس
14,2013-05-06,8649.0,8649.0,8649.0,8649.0,76437371088,8837712,237,8317.0,8649.0,فارس
15,2013-05-07,8994.0,8994.0,8994.0,8994.0,84961020534,9446411,243,8649.0,8994.0,فارس
16,2013-05-08,9353.0,9353.0,9100.0,9315.0,1734847547056,186234243,13128,8994.0,9171.0,فارس
17,2013-05-11,9299.0,9687.0,9104.0,9453.0,463124906612,48991087,5708,9315.0,9687.0,فارس
18,2013-05-12,9831.0,9831.0,9550.0,9815.0,663999240839,67650444,4753,9453.0,9831.0,فارس
19,2013-05-13,9900.0,10207.0,9820.0,10093.0,401820243596,39811901,4206,9815.0,10000.0,فارس
20,2013-05-14,9989.0,10000.0,9690.0,9735.0,347082682733,35654854,3501,10093.0,9709.0,فارس
21,2013-05-15,9930.0,10124.0,9400.0,9886.0,440002985590,44506577,4805,9735.0,9690.0,فارس
22,2013-05-18,9511.0,9590.0,9491.0,9584.0,55027107205,5793642,516,9886.0,9491.0,فارس
23,2013-05-19,9201.0,9479.0,9201.0,9227.0,586387421609,63548067,5327,9584.0,9450.0,فارس
24,2013-05-20,9200.0,9398.0,9121.0,9243.0,149576950818,16182852,3029,9227.0,9151.0,فارس
25,2013-05-21,9002.0,9100.0,8874.0,8943.0,202654011108,22660069,3206,9243.0,8954.0,فارس
26,2013-05-22,8700.0,9187.0,8600.0,8918.0,104496320496,11716805,2135,8943.0,9140.0,فارس
27,2013-05-25,9200.0,9274.0,9151.0,9022.0,20868406595,2253471,320,8918.0,9274.0,فارس
28,2013-05-26,9382.0,9382.0,9382.0,9101.0,15379997038,1639309,137,9022.0,9382.0,فارس
29,2013-05-27,9465.0,9465.0,9465.0,9465.0,105550963545,11151713,491,9101.0,9465.0,فارس
