date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2021-09-01,4650.0,4650.0,4650.0,4650.0,83700000000,18000000,3613,1000.0,4650.0,1400-06-10
2021-09-04,4789.0,4789.0,4789.0,4789.0,24052752500,5022500,2024,4650.0,4789.0,1400-06-13
2021-09-05,4932.0,4932.0,4932.0,4932.0,25604478000,5191500,2093,4789.0,4932.0,1400-06-14
2021-09-06,5079.0,5079.0,5079.0,5079.0,16856434071,3318849,1335,4932.0,5079.0,1400-06-15
2021-09-07,5332.0,5332.0,5332.0,5332.0,18951101040,3554220,1434,5079.0,5332.0,1400-06-16
2021-09-08,5491.0,5491.0,5491.0,5491.0,11929746600,2172600,862,5332.0,5491.0,1400-06-17
2021-09-11,5655.0,5655.0,5655.0,5655.0,11360125920,2008864,805,5491.0,5655.0,1400-06-20
2021-09-12,5824.0,5824.0,5824.0,5824.0,11967242560,2054815,816,5655.0,5824.0,1400-06-21
2021-09-13,6115.0,6115.0,6115.0,6115.0,15431685585,2523579,1013,5824.0,6115.0,1400-06-22
2021-09-25,5932.0,6060.0,5932.0,5934.0,212016285813,35730502,13079,6115.0,5932.0,1400-07-03
2021-09-26,5800.0,5930.0,5756.0,5772.0,15279793689,2647222,937,5934.0,5756.0,1400-07-04
2021-09-28,5599.0,5599.0,5599.0,5756.0,870476530,155470,72,5772.0,5599.0,1400-07-06
2021-09-29,5584.0,5670.0,5584.0,5588.0,113427457865,20298648,8118,5756.0,5584.0,1400-07-07
2021-10-02,5551.0,5700.0,5421.0,5439.0,28314468883,5205985,2214,5588.0,5421.0,1400-07-10
2021-10-03,5300.0,5429.0,5276.0,5290.0,13909392336,2629492,963,5439.0,5276.0,1400-07-11
2021-10-04,5132.0,5245.0,5132.0,5144.0,58991780135,11468048,4653,5290.0,5245.0,1400-07-12
2021-10-06,5298.0,5298.0,5246.0,5294.0,22607815824,4270240,1764,5144.0,5298.0,1400-07-14
