date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2024-06-22,10000.0,10000.0,10000.0,10000.0,9900000000000,990000000,11407,10000.0,10000.0,1403-04-02
2024-07-02,10550.0,10556.0,10481.0,10523.0,890850961503,84656333,1823,10000.0,10497.0,1403-04-12
2024-07-03,10525.0,10749.0,10345.0,10560.0,2522502560396,238880322,7783,10523.0,10740.0,1403-04-13
2024-07-06,11616.0,11616.0,11616.0,11616.0,895942068384,77129999,496,10560.0,11616.0,1403-04-16
2024-07-07,11600.0,11835.0,11300.0,11649.0,2581807496218,221624319,7317,11616.0,11599.0,1403-04-17
2024-07-08,11620.0,11750.0,11461.0,11651.0,942910540133,80932921,3799,11649.0,11617.0,1403-04-18
2024-07-09,11650.0,11710.0,11420.0,11570.0,595406540122,51459359,2355,11651.0,11491.0,1403-04-19
2024-07-10,11420.0,11420.0,11088.0,11176.0,876271175290,78404232,3131,11570.0,11102.0,1403-04-20
2024-07-13,11180.0,11220.0,10995.0,11050.0,289551351018,26204626,1462,11176.0,11005.0,1403-04-23
2024-07-14,11065.0,11220.0,11000.0,11098.0,332394650058,29949601,1288,11050.0,11196.0,1403-04-24
2024-07-17,11198.0,11198.0,10980.0,11066.0,410363069809,37082078,1659,11098.0,10992.0,1403-04-27
2024-07-20,10991.0,10991.0,10623.0,10798.0,456348846928,42263626,1894,11066.0,10730.0,1403-04-30
2024-07-21,10688.0,10688.0,10281.0,10358.0,532126673303,51372704,2385,10798.0,10377.0,1403-04-31
2024-07-22,10362.0,10459.0,10313.0,10386.0,394833368781,38016787,1489,10358.0,10399.0,1403-05-01
2024-07-23,10541.0,10700.0,10443.0,10539.0,597022334041,56650327,1982,10386.0,10472.0,1403-05-02
2024-07-24,10452.0,10575.0,10450.0,10513.0,259795470151,24710983,933,10539.0,10540.0,1403-05-03
2024-07-27,10518.0,10560.0,10390.0,10450.0,116454846076,11143547,753,10513.0,10463.0,1403-05-06
2024-07-29,10388.0,10439.0,9960.0,10149.0,235479441827,23201257,1554,10450.0,10013.0,1403-05-08
2024-07-30,10000.0,10150.0,9915.0,10019.0,250247431755,24977232,1567,10149.0,10046.0,1403-05-09
2024-07-31,9018.0,9393.0,9018.0,9117.0,745386859928,81761891,3174,10019.0,9232.0,1403-05-10
2024-08-03,9001.0,9140.0,8206.0,8439.0,341038350748,40414489,2025,9117.0,8290.0,1403-05-13
2024-08-04,8271.0,8607.0,8271.0,8511.0,281323319272,33053087,1111,8439.0,8548.0,1403-05-14
2024-08-05,8500.0,8630.0,8341.0,8397.0,151175202255,18003744,699,8511.0,8341.0,1403-05-15
2024-08-06,8290.0,8397.0,8230.0,8241.0,160891689958,19523383,720,8397.0,8230.0,1403-05-16
2024-08-10,8325.0,8405.0,8325.0,8403.0,97539860193,11607776,288,8241.0,8405.0,1403-05-20
2024-08-11,8485.0,8571.0,8350.0,8496.0,274282769964,32283522,971,8403.0,8571.0,1403-05-21
2024-08-12,8457.0,8496.0,8327.0,8358.0,69871159108,8359801,446,8496.0,8327.0,1403-05-22
2024-08-13,8215.0,8290.0,8191.0,8197.0,149297808617,18214684,718,8358.0,8194.0,1403-05-23
