date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2015-04-08,1200.0,1200.0,1200.0,1200.0,899700000000,749750000,35509,1000.0,1200.0,1394-01-19
2015-04-11,1260.0,1260.0,1260.0,1260.0,51499934640,40872964,2725,1200.0,1260.0,1394-01-22
2015-04-12,1323.0,1323.0,1323.0,1323.0,26725678245,20200815,1346,1260.0,1323.0,1394-01-23
2015-04-13,1389.0,1389.0,1389.0,1389.0,35294038575,25409675,1548,1323.0,1389.0,1394-01-24
2015-04-14,1458.0,1458.0,1458.0,1458.0,54200034630,37174235,2130,1389.0,1458.0,1394-01-25
2015-04-15,1530.0,1530.0,1530.0,1530.0,49940818740,32641058,1977,1458.0,1530.0,1394-01-26
2015-04-18,1530.0,1606.0,1475.0,1555.0,666461803989,428516964,72892,1530.0,1606.0,1394-01-29
2015-04-19,1632.0,1632.0,1632.0,1632.0,55386013056,33937508,1591,1555.0,1632.0,1394-01-30
2015-04-20,1713.0,1713.0,1713.0,1713.0,58251654468,34005636,1687,1632.0,1713.0,1394-01-31
2015-04-21,1798.0,1798.0,1798.0,1798.0,180606922622,100448789,4996,1713.0,1798.0,1394-02-01
2015-04-22,1750.0,1790.0,1709.0,1733.0,325750937268,187991175,25609,1798.0,1733.0,1394-02-02
2015-04-25,1735.0,1770.0,1733.0,1737.0,84009400841,48368336,4447,1733.0,1733.0,1394-02-05
2015-04-26,1737.0,1740.0,1651.0,1709.0,87030940995,50938300,3982,1737.0,1651.0,1394-02-06
2015-04-27,1624.0,1624.0,1624.0,1624.0,39297732264,24198111,1072,1709.0,1624.0,1394-02-07
2015-04-28,1543.0,1543.0,1543.0,1543.0,1855226050,1202350,114,1624.0,1543.0,1394-02-08
2015-04-29,1500.0,1557.0,1466.0,1500.0,67638724650,45104324,6269,1543.0,1534.0,1394-02-09
2015-05-03,1502.0,1540.0,1450.0,1498.0,28888918144,19285898,1761,1500.0,1500.0,1394-02-13
2015-05-04,1500.0,1502.0,1490.0,1500.0,36383729163,24257535,2107,1498.0,1500.0,1394-02-14
2015-05-05,1500.0,1505.0,1496.0,1502.0,40843701430,27197056,3597,1500.0,1501.0,1394-02-15
2015-05-06,1502.0,1505.0,1500.0,1504.0,53053389160,35281470,5523,1502.0,1504.0,1394-02-16
2015-05-09,1504.0,1579.0,1504.0,1561.0,36603386079,23447947,2755,1504.0,1525.0,1394-02-19
2015-05-10,1512.0,1527.0,1483.0,1492.0,19713485442,13215015,1200,1561.0,1483.0,1394-02-20
2015-05-11,1493.0,1509.0,1450.0,1494.0,26981188179,18061796,1544,1492.0,1494.0,1394-02-21
2015-05-12,1500.0,1500.0,1493.0,1494.0,14802468479,9905315,1484,1494.0,1495.0,1394-02-22
2015-05-13,1496.0,1510.0,1494.0,1497.0,12398891245,8284936,1608,1494.0,1494.0,1394-02-23
2015-05-17,1436.0,1481.0,1423.0,1425.0,11306274284,7933512,852,1497.0,1423.0,1394-02-27
2015-05-18,1401.0,1444.0,1400.0,1428.0,13623604322,9540610,2272,1425.0,1427.0,1394-02-28
2015-05-19,1435.0,1445.0,1435.0,1441.0,7318900292,5080106,563,1428.0,1441.0,1394-02-29
2015-05-20,1441.0,1444.0,1441.0,1442.0,10522822301,7295673,637,1441.0,1444.0,1394-02-30
2015-05-23,1446.0,1447.0,1440.0,1442.0,23158873092,16059045,1287,1442.0,1447.0,1394-03-02
2015-05-24,1444.0,1458.0,1441.0,1443.0,9589897941,6644447,534,1442.0,1445.0,1394-03-03
2015-05-25,1443.0,1450.0,1443.0,1444.0,9358503369,6481828,575,1443.0,1443.0,1394-03-04
2015-05-26,1444.0,1446.0,1444.0,1444.0,11673469321,8081800,1084,1444.0,1444.0,1394-03-05
2015-05-27,1445.0,1446.0,1444.0,1444.0,8965291292,6207401,3145,1444.0,1445.0,1394-03-06
2015-05-30,1445.0,1447.0,1443.0,1444.0,9180110902,6356221,661,1444.0,1446.0,1394-03-09
2015-05-31,1460.0,1466.0,1444.0,1449.0,1975365097,1363266,296,1444.0,1448.0,1394-03-10
