date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2021-07-10,10000.0,10000.0,10000.0,10000.0,439529980000,43952998,8634,10000.0,10000.0,1400-04-19
2021-07-11,10000.0,10000.0,10000.0,10000.0,228067610000,22806761,5147,10000.0,10000.0,1400-04-20
2021-07-12,10000.0,10000.0,10000.0,10000.0,182535030000,18253503,6257,10000.0,10000.0,1400-04-21
2021-07-13,10000.0,10000.0,10000.0,10000.0,295964460000,29596446,5925,10000.0,10000.0,1400-04-22
2021-08-29,10322.0,10326.0,10322.0,10322.0,83270586406,8066927,1993,10000.0,10323.0,1400-06-07
2021-08-30,10328.0,10337.0,10327.0,10329.0,48257376783,4672147,1571,10322.0,10331.0,1400-06-08
2021-08-31,10334.0,10345.0,10333.0,10337.0,37928364569,3669341,1074,10329.0,10342.0,1400-06-09
2021-09-01,10351.0,10351.0,10342.0,10350.0,57007480361,5507888,978,10337.0,10351.0,1400-06-10
2021-09-04,10369.0,10369.0,10357.0,10361.0,40786236956,3936576,1039,10350.0,10369.0,1400-06-13
2021-09-05,10364.0,10374.0,10364.0,10366.0,23737773570,2289899,822,10361.0,10367.0,1400-06-14
2021-09-06,10372.0,10372.0,10369.0,10369.0,117848648266,11365365,1702,10366.0,10369.0,1400-06-15
2021-09-07,10375.0,10382.0,10375.0,10377.0,26368664573,2541155,1410,10369.0,10380.0,1400-06-16
2021-09-08,10381.0,10393.0,10381.0,10391.0,22474358869,2162945,1037,10377.0,10391.0,1400-06-17
2021-09-11,10400.0,10411.0,10400.0,10410.0,54426219359,5228040,543,10391.0,10411.0,1400-06-20
2021-09-12,10417.0,10417.0,10411.0,10416.0,40431388756,3881505,770,10410.0,10417.0,1400-06-21
2021-09-13,10423.0,10423.0,10412.0,10420.0,25521357648,2449217,768,10416.0,10417.0,1400-06-22
2021-09-14,10417.0,10420.0,10417.0,10418.0,37402842041,3590294,1200,10420.0,10417.0,1400-06-23
2021-09-15,10423.0,10435.0,10423.0,10427.0,28447089248,2728196,795,10418.0,10435.0,1400-06-24
2021-09-18,10441.0,10454.0,10441.0,10450.0,22324203329,2136379,493,10427.0,10454.0,1400-06-27
2021-09-19,10450.0,10460.0,10447.0,10454.0,46341100284,4433011,520,10450.0,10460.0,1400-06-28
