date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2009-06-09,1002.0,1002.0,1001.0,1001.0,983488599500,982499500,545,1001.0,1001.0,1388-03-19
2009-06-10,1031.0,1031.0,1020.0,1021.0,54893697467,53760812,2406,1001.0,1025.0,1388-03-20
2009-06-13,1013.0,1025.0,1006.0,1023.0,123460074455,120700223,5411,1021.0,1024.0,1388-03-23
2009-06-14,1019.0,1026.0,1019.0,1024.0,40854431828,39890423,1995,1023.0,1025.0,1388-03-24
2009-06-15,1025.0,1026.0,1025.0,1025.0,35538526668,34669556,1561,1024.0,1025.0,1388-03-25
2009-06-16,1025.0,1026.0,1025.0,1025.0,25008297555,24396883,1111,1025.0,1025.0,1388-03-26
2009-06-17,1026.0,1028.0,1026.0,1026.0,3325634884,3240451,709,1025.0,1027.0,1388-03-27
2009-06-20,1026.0,1028.0,1026.0,1026.0,2644752388,2577307,214,1026.0,1026.0,1388-03-30
2009-06-21,1027.0,1028.0,1027.0,1027.0,5686445502,5536464,290,1026.0,1027.0,1388-03-31
2009-06-22,1027.0,1028.0,1027.0,1027.0,24913506252,24258365,1018,1027.0,1027.0,1388-04-01
2009-06-23,1028.0,1029.0,1028.0,1027.0,2240967913,2179546,140,1027.0,1028.0,1388-04-02
2009-06-24,1028.0,1049.0,1028.0,1028.0,1182911354,1142372,104,1027.0,1037.0,1388-04-03
2009-06-27,1032.0,1033.0,1029.0,1029.0,6086215506,5912810,320,1028.0,1031.0,1388-04-06
2009-06-28,1030.0,1030.0,1029.0,1029.0,2706724544,2629857,142,1029.0,1030.0,1388-04-07
2009-06-29,1030.0,1032.0,1030.0,1030.0,6097270102,5919228,280,1029.0,1032.0,1388-04-08
2009-06-30,1033.0,1033.0,1030.0,1030.0,1594834991,1547168,99,1030.0,1030.0,1388-04-09
2009-07-01,1032.0,1035.0,1031.0,1031.0,2063347633,1999331,126,1030.0,1035.0,1388-04-10
2009-07-04,1032.0,1038.0,1032.0,1035.0,13758475630,13297346,174,1031.0,1033.0,1388-04-13
2009-07-05,1035.0,1039.0,1035.0,1035.0,619108481,597481,58,1035.0,1036.0,1388-04-14
2009-07-07,1040.0,1041.0,1036.0,1036.0,2052160322,1974402,100,1035.0,1040.0,1388-04-16
2009-07-11,1040.0,1067.0,1040.0,1044.0,3485207937,3311408,147,1036.0,1067.0,1388-04-20
2009-07-12,1060.0,1070.0,1045.0,1046.0,42561608437,40694115,206,1044.0,1055.0,1388-04-21
