index,date,open,high,low,adjClose,value,volume,count,yesterday,close,symbol
0,2009-05-18,1205.0,1241.0,1200.0,1204.0,737313616800,612322042,1632,1000.0,1201.0,وتجارت
1,2009-05-19,1240.0,1240.0,1240.0,1240.0,181017205080,145981617,3938,1204.0,1240.0,وتجارت
2,2009-05-20,1256.0,1277.0,1255.0,1271.0,131954707643,103791602,5598,1240.0,1277.0,وتجارت
3,2009-05-23,1290.0,1290.0,1256.0,1269.0,17314104651,13641791,1129,1271.0,1257.0,وتجارت
4,2009-05-24,1269.0,1269.0,1231.0,1256.0,158824644494,126463300,6182,1269.0,1260.0,وتجارت
5,2009-05-25,1257.0,1273.0,1255.0,1256.0,36845487356,29336312,1377,1256.0,1255.0,وتجارت
6,2009-05-26,1250.0,1263.0,1249.0,1256.0,27565253218,21938798,1210,1256.0,1260.0,وتجارت
7,2009-05-27,1260.0,1271.0,1259.0,1264.0,6640717956,5252030,447,1256.0,1261.0,وتجارت
8,2009-05-30,1269.0,1273.0,1261.0,1267.0,11265636962,8891604,547,1264.0,1267.0,وتجارت
9,2009-05-31,1263.0,1268.0,1260.0,1261.0,31510197955,24984387,1246,1267.0,1260.0,وتجارت
10,2009-06-01,1257.0,1257.0,1232.0,1240.0,19544283445,15759128,1705,1261.0,1240.0,وتجارت
11,2009-06-02,1234.0,1245.0,1234.0,1240.0,20942873001,16889158,1450,1240.0,1242.0,وتجارت
12,2009-06-03,1242.0,1255.0,1240.0,1245.0,4644912535,3728915,307,1240.0,1241.0,وتجارت
13,2009-06-06,1240.0,1243.0,1234.0,1240.0,17268863877,13926707,2085,1245.0,1236.0,وتجارت
14,2009-06-07,1234.0,1241.0,1234.0,1240.0,21417889521,17274139,2752,1240.0,1240.0,وتجارت
15,2009-06-08,1238.0,1241.0,1232.0,1240.0,18921635318,15259974,2628,1240.0,1240.0,وتجارت
16,2009-06-09,1240.0,1241.0,1230.0,1239.0,26513593630,21397315,3405,1240.0,1240.0,وتجارت
17,2009-06-10,1239.0,1244.0,1239.0,1240.0,17009085917,13715539,2347,1239.0,1241.0,وتجارت
18,2009-06-13,1239.0,1241.0,1205.0,1234.0,13146819975,10650085,2445,1240.0,1211.0,وتجارت
19,2009-06-14,1217.0,1221.0,1197.0,1216.0,14197132074,11675966,2000,1234.0,1197.0,وتجارت
20,2009-06-15,1200.0,1203.0,1181.0,1200.0,27931304118,23280888,3847,1216.0,1182.0,وتجارت
21,2009-06-16,1182.0,1182.0,1164.0,1171.0,4037212099,3465616,516,1200.0,1164.0,وتجارت
22,2009-06-17,1164.0,1173.0,1164.0,1169.0,2089729052,1792116,231,1171.0,1168.0,وتجارت
