date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2012-10-21,1250.0,1269.0,1249.0,1250.0,4821383690,3856655,62,1000.0,1269.0,1391-07-30
2012-10-22,1300.0,1300.0,1251.0,1259.0,754442681,592798,86,1250.0,1254.0,1391-08-01
2012-10-23,1250.0,1300.0,1250.0,1300.0,59101106849,45477012,86,1259.0,1270.0,1391-08-02
2012-10-24,1300.0,1300.0,1261.0,1300.0,57763585115,44443808,65,1300.0,1270.0,1391-08-03
2012-10-27,1298.0,1298.0,1256.0,1280.0,3468377710,2709409,148,1300.0,1262.0,1391-08-06
2012-10-28,1261.0,1264.0,1239.0,1261.0,1339376421,1069053,104,1280.0,1251.0,1391-08-07
2012-10-29,1242.0,1245.0,1230.0,1249.0,961928078,778258,80,1261.0,1244.0,1391-08-08
2012-10-30,1233.0,1250.0,1223.0,1241.0,859040490,698294,70,1249.0,1235.0,1391-08-09
2012-10-31,1200.0,1224.0,1192.0,1225.0,815897911,678150,66,1241.0,1203.0,1391-08-10
2012-11-04,1192.0,1200.0,1178.0,1204.0,995474391,839786,67,1225.0,1200.0,1391-08-14
2012-11-05,1181.0,1196.0,1161.0,1174.0,2679787898,2281856,47,1204.0,1179.0,1391-08-15
2012-11-06,1167.0,1217.0,1166.0,1179.0,659339170,555051,40,1174.0,1211.0,1391-08-16
2012-11-07,1209.0,1226.0,1190.0,1211.0,2234163677,1845621,41,1179.0,1190.0,1391-08-17
2012-11-10,1187.0,1210.0,1164.0,1201.0,460746529,392838,56,1211.0,1165.0,1391-08-20
2012-11-11,1161.0,1219.0,1153.0,1197.0,1090382517,912843,72,1201.0,1210.0,1391-08-21
2012-11-12,1223.0,1240.0,1186.0,1204.0,725749507,597686,55,1197.0,1189.0,1391-08-22
2012-11-13,1187.0,1230.0,1167.0,1195.0,1581829494,1325851,94,1204.0,1220.0,1391-08-23
2012-11-14,1230.0,1230.0,1200.0,1211.0,959194386,782411,60,1195.0,1210.0,1391-08-24
2012-11-17,1219.0,1224.0,1184.0,1208.0,436295301,363623,49,1211.0,1184.0,1391-08-27
2012-11-18,1210.0,1210.0,1180.0,1205.0,687770346,573069,54,1208.0,1195.0,1391-08-28
2012-11-19,1197.0,1220.0,1197.0,1205.0,1175349614,975779,55,1205.0,1200.0,1391-08-29
2012-11-20,1208.0,1220.0,1172.0,1201.0,574602206,481733,50,1205.0,1181.0,1391-08-30
2012-11-21,1204.0,1215.0,1180.0,1199.0,372619600,312449,26,1201.0,1200.0,1391-09-01
2012-11-26,1181.0,1200.0,1176.0,1197.0,961638432,804123,58,1199.0,1181.0,1391-09-06
2012-11-27,1200.0,1215.0,1180.0,1197.0,1039225158,868629,52,1197.0,1209.0,1391-09-07
2012-11-28,1181.0,1208.0,1179.0,1197.0,57425952931,47976870,72,1197.0,1179.0,1391-09-08
2012-12-01,1205.0,1210.0,1177.0,1199.0,57466311039,47930733,78,1197.0,1190.0,1391-09-11
2012-12-02,1199.0,1210.0,1180.0,1205.0,58125475913,48246104,67,1199.0,1202.0,1391-09-12
2012-12-03,1179.0,1205.0,1179.0,1205.0,57746215966,47929572,58,1205.0,1193.0,1391-09-13
2012-12-04,1195.0,1209.0,1179.0,1207.0,57539995464,47678247,47,1205.0,1185.0,1391-09-14
2012-12-05,1181.0,1190.0,1177.0,1201.0,457565550,387201,43,1207.0,1180.0,1391-09-15
2012-12-08,1199.0,1205.0,1178.0,1198.0,695095086,582760,45,1201.0,1180.0,1391-09-18
2012-12-09,1200.0,1205.0,1176.0,1199.0,1971157331,1644231,105,1198.0,1200.0,1391-09-19
2012-12-10,1200.0,1205.0,1200.0,1200.0,919777785,766444,56,1199.0,1200.0,1391-09-20
2012-12-11,1202.0,1210.0,1200.0,1202.0,1755623016,1460513,95,1200.0,1202.0,1391-09-21
2012-12-12,1204.0,1215.0,1204.0,1203.0,766499310,636073,45,1202.0,1208.0,1391-09-22
2012-12-15,1205.0,1208.0,1204.0,1205.0,1405459028,1166212,65,1203.0,1205.0,1391-09-25
2012-12-16,1205.0,1216.0,1181.0,1205.0,5742964187,4767836,217,1205.0,1216.0,1391-09-26
2012-12-17,1209.0,1218.0,1205.0,1206.0,759718190,629271,76,1205.0,1206.0,1391-09-27
2012-12-18,1208.0,1226.0,1207.0,1206.0,194784190,161154,15,1206.0,1210.0,1391-09-28
2012-12-19,1205.0,1210.0,1200.0,1207.0,1284236450,1064057,103,1206.0,1210.0,1391-09-29
2012-12-22,1207.0,1209.0,1207.0,1207.0,1413495177,1170516,93,1207.0,1208.0,1391-10-02
2012-12-23,1210.0,1210.0,1208.0,1208.0,1536774006,1271736,168,1207.0,1210.0,1391-10-03
2012-12-24,1209.0,1210.0,1205.0,1208.0,1041876820,862691,109,1208.0,1208.0,1391-10-04
2012-12-25,1208.0,1208.0,1208.0,1208.0,1288946872,1067009,116,1208.0,1208.0,1391-10-05
2012-12-26,1208.0,1220.0,1208.0,1209.0,1275437671,1054435,93,1208.0,1210.0,1391-10-06
2012-12-29,1235.0,1257.0,1211.0,1222.0,707000620,568435,61,1209.0,1257.0,1391-10-09
2012-12-30,1260.0,1270.0,1240.0,1258.0,2084377735,1657253,109,1222.0,1260.0,1391-10-10
2012-12-31,1290.0,1290.0,1238.0,1260.0,1554676945,1232829,116,1258.0,1266.0,1391-10-11
2013-01-01,1260.0,1268.0,1215.0,1256.0,2060638485,1640543,145,1260.0,1225.0,1391-10-12
2013-01-02,1210.0,1270.0,1210.0,1255.0,2058056361,1639394,168,1256.0,1269.0,1391-10-13
2013-01-06,1255.0,1259.0,1255.0,1255.0,1503530525,1197855,214,1255.0,1255.0,1391-10-17
2013-01-07,1255.0,1257.0,1255.0,1255.0,1941562360,1546872,113,1255.0,1255.0,1391-10-18
2013-01-08,1255.0,1265.0,1255.0,1258.0,1867213963,1483669,117,1255.0,1260.0,1391-10-19
2013-01-09,1258.0,1265.0,1258.0,1258.0,1306547855,1038479,131,1258.0,1263.0,1391-10-20
2013-01-13,1260.0,1265.0,1258.0,1259.0,1532112296,1216998,130,1258.0,1258.0,1391-10-24
2013-03-13,1274.0,1300.0,1272.0,1273.0,3676292735,2887525,451,1259.0,1272.0,1391-12-23
2013-03-16,1273.0,1290.0,1273.0,1274.0,1800624231,1412544,412,1273.0,1280.0,1391-12-26
2013-03-17,1274.0,1285.0,1274.0,1274.0,5363993802,4210142,570,1274.0,1274.0,1391-12-27
2013-03-18,1274.0,1275.0,1274.0,1274.0,742585680,582870,111,1274.0,1275.0,1391-12-28
