date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2012-12-26,1239.0,1250.0,1200.0,1228.0,187716730400,15291685,407,1000.0,1230.0,1391-10-06
2012-12-29,1199.0,1199.0,1167.0,1167.0,5405707285,4631355,666,1228.0,1167.0,1391-10-09
2012-12-30,1116.0,1161.0,1116.0,1129.0,87231132467,77251627,747,1167.0,1130.0,1391-10-10
2012-12-31,1130.0,1138.0,1121.0,1135.0,64564340453,56887930,699,1129.0,1130.0,1391-10-11
2013-01-01,1131.0,1140.0,1120.0,1134.0,96848705030,85371111,421,1135.0,1130.0,1391-10-12
2013-01-02,1121.0,1122.0,1080.0,1107.0,1228693329,1110000,86,1134.0,1084.0,1391-10-13
2013-01-06,1056.0,1097.0,1056.0,1071.0,26241445483,24502690,49,1107.0,1066.0,1391-10-17
2013-01-07,1090.0,1124.0,1080.0,1083.0,13322015700,12298320,117,1071.0,1124.0,1391-10-18
2013-01-08,1090.0,1137.0,1090.0,1130.0,28608897736,25327010,174,1083.0,1137.0,1391-10-19
2013-01-09,1140.0,1186.0,1140.0,1169.0,44407659106,37997005,137,1130.0,1150.0,1391-10-20
2013-01-13,1140.0,1159.0,1111.0,1118.0,1020702494,913050,37,1169.0,1111.0,1391-10-24
2013-01-14,1130.0,1130.0,1095.0,1110.0,1831002772,1649288,60,1118.0,1111.0,1391-10-25
2013-01-15,1110.0,1110.0,1080.0,1094.0,1146705270,1048432,47,1110.0,1095.0,1391-10-26
2013-01-16,1081.0,1100.0,1081.0,1098.0,2647759000,2411000,54,1094.0,1100.0,1391-10-27
2013-01-19,1080.0,1090.0,1075.0,1081.0,478492500,442500,33,1098.0,1075.0,1391-10-30
2013-01-20,1073.0,1080.0,1049.0,1064.0,399221130,375384,27,1081.0,1049.0,1391-11-01
2013-01-21,1012.0,1038.0,1012.0,1023.0,462442344,452112,13,1064.0,1038.0,1391-11-02
2013-01-22,1029.0,1069.0,1029.0,1059.0,1622633985,1532835,28,1023.0,1040.0,1391-11-03
2013-01-23,1089.0,1089.0,1050.0,1077.0,6273013081,5824000,70,1059.0,1050.0,1391-11-04
2013-01-26,1040.0,1040.0,1029.0,1032.0,501690693,485900,29,1077.0,1032.0,1391-11-07
2013-01-27,1030.0,1030.0,1021.0,1026.0,481907689,469541,26,1032.0,1021.0,1391-11-08
2013-01-28,1040.0,1040.0,1018.0,1030.0,14659452000,14239000,40,1026.0,1018.0,1391-11-09
2013-01-30,1019.0,1019.0,1000.0,1011.0,37894715000,37486000,42,1030.0,1011.0,1391-11-11
2013-02-02,1017.0,1019.0,1016.0,1018.0,27488144600,27001800,44,1011.0,1016.0,1391-11-14
2013-02-03,1019.0,1023.0,1018.0,1019.0,1580489180,1550459,32,1018.0,1023.0,1391-11-15
2013-02-04,1015.0,1020.0,1015.0,1017.0,2950690450,2900030,73,1019.0,1015.0,1391-11-16
