date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-25,1600.0,1600.0,1600.0,1600.0,1600000,1000,1,0.0,1600.0,1380-01-05
2001-03-27,1580.0,1590.0,1580.0,1590.0,10059060,6340,16,1600.0,1590.0,1380-01-07
2001-03-28,1600.0,1605.0,1600.0,1605.0,2966080,1853,3,1590.0,1605.0,1380-01-08
2001-03-31,1603.0,1668.0,1603.0,1627.0,7750619,4696,4,1605.0,1627.0,1380-01-11
2001-04-07,1628.0,1669.0,1628.0,1669.0,13111456,7983,6,1627.0,1669.0,1380-01-18
2001-04-08,1668.0,1670.0,1665.0,1665.0,60877277,36473,15,1669.0,1665.0,1380-01-19
2001-04-09,1631.0,1631.0,1631.0,1631.0,8981917,5507,13,1665.0,1631.0,1380-01-20
2001-04-10,1632.0,1636.0,1604.0,1631.0,110007366,67442,47,1631.0,1631.0,1380-01-21
2001-04-11,1601.0,1670.0,1601.0,1670.0,87795841,54085,21,1631.0,1670.0,1380-01-22
2001-04-14,1670.0,1670.0,1640.0,1670.0,68665212,41203,28,1670.0,1670.0,1380-01-25
2001-04-15,1620.0,1660.0,1620.0,1645.0,44225825,27123,10,1670.0,1645.0,1380-01-26
2001-04-16,1650.0,1710.0,1649.0,1700.0,106940372,63954,50,1645.0,1700.0,1380-01-27
2001-04-17,1672.0,1699.0,1671.0,1680.0,105648296,62592,51,1700.0,1680.0,1380-01-28
2001-04-18,1680.0,1700.0,1665.0,1700.0,41716244,24762,21,1680.0,1700.0,1380-01-29
2001-04-21,1700.0,1785.0,1700.0,1785.0,72515428,41609,19,1700.0,1785.0,1380-02-01
2001-04-22,1870.0,1874.0,1800.0,1825.0,201699825,109830,49,1785.0,1825.0,1380-02-02
2001-04-23,1869.0,1916.0,1825.0,1910.0,573221223,303322,75,1825.0,1910.0,1380-02-03
2001-04-24,1910.0,1911.0,1850.0,1855.0,199497162,106570,65,1910.0,1855.0,1380-02-04
2001-04-25,1840.0,1920.0,1830.0,1920.0,237361014,125682,63,1855.0,1920.0,1380-02-05
2001-04-28,1961.0,1971.0,1920.0,1931.0,314963890,161252,82,1920.0,1931.0,1380-02-08
2001-04-29,1934.0,1935.0,1918.0,1930.0,182798175,94656,45,1931.0,1930.0,1380-02-09
2001-04-30,1900.0,1900.0,1899.0,1900.0,43885672,23100,18,1930.0,1900.0,1380-02-10
2001-05-01,1893.0,1894.0,1840.0,1850.0,117093322,63285,49,1900.0,1850.0,1380-02-11
2001-05-02,1800.0,1810.0,1780.0,1800.0,103494990,57484,46,1850.0,1800.0,1380-02-12
2001-05-05,1800.0,1850.0,1800.0,1850.0,163485544,89715,57,1800.0,1850.0,1380-02-15
2001-05-06,1870.0,1910.0,1870.0,1900.0,112012615,58941,38,1850.0,1900.0,1380-02-16
2001-05-07,1900.0,1900.0,1890.0,1892.0,71087840,37496,51,1900.0,1892.0,1380-02-17
2001-05-08,1899.0,1900.0,1888.0,1890.0,64498317,34050,29,1892.0,1890.0,1380-02-18
2001-05-09,1870.0,1900.0,1870.0,1870.0,120350409,64090,77,1890.0,1870.0,1380-02-19
2001-05-12,1871.0,1871.0,1869.0,1870.0,54149982,28958,15,1870.0,1870.0,1380-02-22
2001-05-13,1868.0,1868.0,1847.0,1849.0,50153502,27079,19,1870.0,1849.0,1380-02-23
2001-05-15,1803.0,1805.0,1800.0,1803.0,46140421,25597,35,1849.0,1803.0,1380-02-25
2001-05-16,1803.0,1840.0,1800.0,1820.0,190315727,104926,71,1803.0,1820.0,1380-02-26
2001-05-19,1880.0,1880.0,1820.0,1860.0,199610119,106887,53,1820.0,1860.0,1380-02-29
2001-05-20,1860.0,1870.0,1850.0,1865.0,59417900,31886,41,1860.0,1865.0,1380-02-30
2001-05-21,1850.0,1850.0,1820.0,1847.0,115132063,62952,36,1865.0,1847.0,1380-02-31
2001-05-23,1830.0,1847.0,1820.0,1830.0,50804942,27688,26,1847.0,1830.0,1380-03-02
2001-05-26,1830.0,1831.0,1810.0,1820.0,180653356,99396,81,1830.0,1820.0,1380-03-05
2001-05-27,1811.0,1880.0,1811.0,1863.0,81775319,44043,34,1820.0,1863.0,1380-03-06
2001-05-28,1900.0,1956.0,1900.0,1956.0,307353639,158284,88,1863.0,1956.0,1380-03-07
2001-05-29,1959.0,2000.0,1930.0,1930.0,364504213,185097,124,1956.0,1930.0,1380-03-08
2001-05-30,1900.0,1930.0,1900.0,1920.0,204056775,106996,166,1930.0,1920.0,1380-03-09
2001-06-02,1920.0,1921.0,1900.0,1904.0,67256410,35150,35,1920.0,1904.0,1380-03-12
2001-06-03,1913.0,1913.0,1901.0,1910.0,263037751,138174,69,1904.0,1910.0,1380-03-13
2001-06-06,1910.0,1930.0,1910.0,1915.0,212445028,110941,79,1910.0,1915.0,1380-03-16
2001-06-09,1915.0,1920.0,1915.0,1915.0,113506281,59167,35,1915.0,1915.0,1380-03-19
2001-06-11,1917.0,1950.0,1916.0,1950.0,84834980,43850,31,1915.0,1950.0,1380-03-21
2001-06-12,1950.0,1970.0,1947.0,1947.0,90113762,46145,34,1950.0,1947.0,1380-03-22
2001-06-13,1915.0,1926.0,1914.0,1920.0,186431160,97113,53,1947.0,1920.0,1380-03-23
2001-06-16,1919.0,1920.0,1900.0,1900.0,116561426,61060,61,1920.0,1900.0,1380-03-26
2001-06-17,1900.0,1900.0,1860.0,1900.0,245585966,130336,57,1900.0,1900.0,1380-03-27
2001-06-18,1890.0,1900.0,1878.0,1900.0,129472222,68558,52,1900.0,1900.0,1380-03-28
2001-06-19,1900.0,1900.0,1870.0,1900.0,160897524,85050,50,1900.0,1900.0,1380-03-29
2001-06-20,1880.0,1900.0,1870.0,1900.0,284535357,150439,60,1900.0,1900.0,1380-03-30
2001-06-23,1900.0,1900.0,1893.0,1900.0,89947649,47343,39,1900.0,1900.0,1380-04-02
2001-06-24,1899.0,1900.0,1892.0,1900.0,156186910,82296,57,1900.0,1900.0,1380-04-03
2001-06-25,1899.0,1901.0,1893.0,1900.0,129262626,68033,50,1900.0,1900.0,1380-04-04
2001-06-26,1900.0,1907.0,1900.0,1907.0,81168943,42694,37,1900.0,1907.0,1380-04-05
2001-06-27,1910.0,1920.0,1900.0,1908.0,225750803,118119,85,1907.0,1908.0,1380-04-06
2001-06-30,1910.0,1917.0,1902.0,1916.0,60660609,31762,37,1908.0,1916.0,1380-04-09
2001-07-01,1917.0,1920.0,1917.0,1920.0,69576975,36262,49,1916.0,1920.0,1380-04-10
2001-07-02,1929.0,1950.0,1925.0,1935.0,168925104,87155,62,1920.0,1935.0,1380-04-11
2001-07-03,1936.0,2000.0,1936.0,1982.0,416787067,211519,122,1935.0,1982.0,1380-04-12
2001-07-04,2000.0,2010.0,1960.0,1960.0,284018856,142565,66,1982.0,1960.0,1380-04-13
2001-07-07,1960.0,1960.0,1943.0,1950.0,77124472,39578,37,1960.0,1950.0,1380-04-16
2001-07-08,1951.0,1951.0,1942.0,1950.0,70362874,36127,43,1950.0,1950.0,1380-04-17
2001-07-09,1950.0,1961.0,1950.0,1960.0,133037945,67933,48,1950.0,1960.0,1380-04-18
2001-07-10,1960.0,1960.0,1911.0,1950.0,73053619,37554,37,1960.0,1950.0,1380-04-19
2001-07-11,1949.0,1950.0,1920.0,1950.0,113466967,58803,45,1950.0,1950.0,1380-04-20
2001-07-14,1951.0,1970.0,1947.0,1970.0,108789377,55596,51,1950.0,1970.0,1380-04-23
2001-07-15,1970.0,1990.0,1970.0,1975.0,242053983,122522,89,1970.0,1975.0,1380-04-24
2001-07-16,1971.0,1977.0,1971.0,1977.0,74824329,37907,35,1975.0,1977.0,1380-04-25
2001-07-17,1977.0,2000.0,1977.0,2000.0,312407072,156461,116,1977.0,2000.0,1380-04-26
2001-07-18,2000.0,2080.0,2000.0,2070.0,246291481,119891,62,2000.0,2070.0,1380-04-27
2001-07-21,2070.0,2080.0,2060.0,2070.0,236222572,114049,60,2070.0,2070.0,1380-04-30
2001-07-22,2080.0,2130.0,2070.0,2120.0,263078085,125034,86,2070.0,2120.0,1380-04-31
2001-07-23,2125.0,2135.0,2070.0,2088.0,172457342,81767,67,2120.0,2088.0,1380-05-01
2001-07-24,2090.0,2090.0,2072.0,2090.0,197261061,94733,53,2088.0,2090.0,1380-05-02
2001-07-25,2080.0,2099.0,2070.0,2082.0,214849849,103408,65,2090.0,2082.0,1380-05-03
2001-07-28,2078.0,2094.0,2051.0,2086.0,232622763,111501,86,2082.0,2086.0,1380-05-06
2001-07-29,2071.0,2110.0,2071.0,2110.0,165306244,79130,49,2086.0,2110.0,1380-05-07
2001-07-30,2099.0,2119.0,2084.0,2119.0,148553714,70622,32,2110.0,2119.0,1380-05-08
2001-07-31,2107.0,2121.0,2107.0,2120.0,283637661,134150,80,2119.0,2120.0,1380-05-09
2001-08-01,2121.0,2180.0,2121.0,2150.0,305845488,142380,110,2120.0,2150.0,1380-05-10
2001-08-04,2150.0,2257.0,2150.0,2213.0,604069744,274729,146,2150.0,2213.0,1380-05-13
2001-08-05,2217.0,2226.0,2112.0,2180.0,386010846,174692,134,2213.0,2180.0,1380-05-14
2001-08-06,2173.0,2190.0,2132.0,2180.0,238444302,111028,80,2180.0,2180.0,1380-05-15
2001-08-07,2180.0,2198.0,2180.0,2194.0,376470894,171824,93,2180.0,2194.0,1380-05-16
2001-08-08,2195.0,2227.0,2195.0,2220.0,403955937,182674,92,2194.0,2220.0,1380-05-17
2001-08-11,2220.0,2250.0,2220.0,2235.0,189125085,84574,79,2220.0,2235.0,1380-05-20
2001-08-12,2236.0,2250.0,2235.0,2235.0,240240174,107064,76,2235.0,2235.0,1380-05-21
2001-08-13,2235.0,2249.0,2216.0,2216.0,280065807,125357,270,2235.0,2216.0,1380-05-22
2001-08-14,2212.0,2250.0,2190.0,2250.0,406791847,183510,115,2216.0,2250.0,1380-05-23
2001-08-15,2250.0,2300.0,2240.0,2270.0,185626121,82069,56,2250.0,2270.0,1380-05-24
2001-08-18,2274.0,2300.0,2270.0,2286.0,372092498,163003,112,2270.0,2286.0,1380-05-27
2001-08-19,2287.0,2300.0,2286.0,2299.0,559014272,243974,108,2286.0,2299.0,1380-05-28
2001-08-20,2300.0,2300.0,2279.0,2293.0,474010406,206966,110,2299.0,2293.0,1380-05-29
2001-08-21,2279.0,2280.0,2240.0,2245.0,65225016,28977,31,2293.0,2245.0,1380-05-30
2001-08-22,2244.0,2244.0,2200.0,2200.0,293218303,132728,55,2245.0,2200.0,1380-05-31
2001-08-25,2226.0,2226.0,2200.0,2208.0,414591886,187818,105,2200.0,2208.0,1380-06-03
2001-08-26,2208.0,2210.0,2190.0,2190.0,309149727,140327,93,2208.0,2190.0,1380-06-04
2001-08-27,2190.0,2200.0,2142.0,2193.0,160626080,73514,60,2190.0,2193.0,1380-06-05
2001-08-28,2189.0,2191.0,2152.0,2190.0,126722534,58023,53,2193.0,2190.0,1380-06-06
2001-08-29,2190.0,2190.0,2185.0,2190.0,248175663,113381,72,2190.0,2190.0,1380-06-07
2001-09-01,2190.0,2190.0,2170.0,2180.0,510327102,234012,140,2190.0,2180.0,1380-06-10
2001-09-02,2170.0,2180.0,2152.0,2169.0,226054991,104231,50,2180.0,2169.0,1380-06-11
2001-09-03,2169.0,2169.0,2100.0,2100.0,208507162,97596,53,2169.0,2100.0,1380-06-12
