date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2024-09-14,2230.0,2230.0,2230.0,2230.0,456627374970,204765639,1165,1000.0,2230.0,1403-06-24
2024-09-15,2240.0,2282.0,2164.0,2241.0,905503462604,404013463,4653,2230.0,2242.0,1403-06-25
2024-09-16,2210.0,2280.0,2209.0,2239.0,366284922522,163574725,2121,2241.0,2280.0,1403-06-26
2024-09-17,2282.0,2306.0,2280.0,2298.0,153490632646,66779682,918,2239.0,2306.0,1403-06-27
2024-09-18,2304.0,2366.0,2301.0,2346.0,157631826246,67202734,951,2298.0,2366.0,1403-06-28
2024-09-22,2416.0,2416.0,2354.0,2392.0,45014370409,18820446,280,2346.0,2397.0,1403-07-01
2024-09-23,2391.0,2463.0,2390.0,2424.0,232539937148,95943645,1383,2392.0,2463.0,1403-07-02
2024-09-24,2426.0,2496.0,2425.0,2480.0,204322882128,82383360,1147,2424.0,2490.0,1403-07-03
2024-09-25,2500.0,2554.0,2470.0,2526.0,253090456864,100199072,1502,2480.0,2554.0,1403-07-04
2024-09-28,2501.0,2551.0,2501.0,2534.0,464605122073,183379122,2311,2526.0,2551.0,1403-07-07
2024-09-29,2510.0,2559.0,2510.0,2551.0,239722758868,93972453,1289,2534.0,2559.0,1403-07-08
2024-09-30,2573.0,2576.0,2527.0,2569.0,206101792564,80238039,1115,2551.0,2576.0,1403-07-09
2024-10-01,2550.0,2590.0,2544.0,2570.0,357496922058,139085797,1772,2569.0,2585.0,1403-07-10
2024-10-02,2545.0,2595.0,2545.0,2573.0,598362078137,232531910,2604,2570.0,2594.0,1403-07-11
2024-10-05,2575.0,2598.0,2548.0,2589.0,599374975675,231529749,2685,2573.0,2598.0,1403-07-14
2024-10-06,2592.0,2614.0,2591.0,2612.0,462082980349,176906943,2086,2589.0,2614.0,1403-07-15
2024-10-07,2638.0,2638.0,2638.0,2638.0,123530865860,46827470,540,2612.0,2638.0,1403-07-16
2024-10-08,2612.0,2664.0,2612.0,2645.0,1007479527020,380941264,4299,2638.0,2664.0,1403-07-17
2024-10-09,2622.0,2671.0,2619.0,2662.0,508599915254,191077495,2193,2645.0,2671.0,1403-07-18
2024-10-12,2680.0,2741.0,2677.0,2735.0,138607393016,50683213,727,2662.0,2741.0,1403-07-21
2024-10-13,2816.0,2817.0,2653.0,2716.0,583287345899,214748788,2766,2735.0,2660.0,1403-07-22
2024-10-14,2635.0,2635.0,2635.0,2635.0,259466244505,98469163,1059,2716.0,2635.0,1403-07-23
2024-10-15,2556.0,2561.0,2556.0,2556.0,731231591221,286056569,3271,2635.0,2556.0,1403-07-24
2024-10-16,2480.0,2610.0,2480.0,2564.0,489835745415,191016800,2004,2556.0,2570.0,1403-07-25
2024-10-19,2500.0,2627.0,2488.0,2546.0,355421152010,139580210,1662,2564.0,2627.0,1403-07-28
2024-10-20,2540.0,2622.0,2470.0,2580.0,476759387436,184820312,2122,2546.0,2622.0,1403-07-29
2024-10-21,2611.0,2657.0,2523.0,2610.0,340692581491,130543216,1573,2580.0,2590.0,1403-07-30
2024-10-22,2540.0,2610.0,2532.0,2552.0,414808677665,162549572,1962,2610.0,2532.0,1403-08-01
2024-10-23,2476.0,2600.0,2476.0,2533.0,623180153367,246063884,2996,2552.0,2541.0,1403-08-02
2025-03-18,3481.0,3481.0,3481.0,3481.0,16082220000000,4620000000,23108,2533.0,3481.0,1403-12-28
2025-03-25,3536.0,3536.0,3536.0,3536.0,4084080000000,1155000000,5776,3481.0,3536.0,1404-01-05
2025-03-26,3600.0,3600.0,3539.0,3539.0,4087563429000,1155000000,5799,3536.0,3539.0,1404-01-06
2025-03-29,3751.0,3751.0,3538.0,3538.0,8172811278755,2310000000,11558,3539.0,3538.0,1404-01-09
2025-03-30,3634.0,3634.0,3538.0,3538.0,13175184582294,3723907443,18652,3538.0,3538.0,1404-01-10
2026-05-25,1690.0,1690.0,1640.0,1646.0,66768502491,40559334,434,3538.0,1640.0,1405-03-04
2026-05-26,1597.0,1597.0,1597.0,1597.0,18785496627,11762991,105,1646.0,1597.0,1405-03-05
2026-05-30,1602.0,1644.0,1602.0,1640.0,114454998415,69797647,550,1597.0,1644.0,1405-03-09
2026-05-31,1689.0,1689.0,1613.0,1654.0,96627030029,58420386,797,1640.0,1638.0,1405-03-10
2026-06-01,1660.0,1660.0,1605.0,1606.0,172352346473,107305609,845,1654.0,1605.0,1405-03-11
2026-06-02,1559.0,1600.0,1558.0,1570.0,49498765258,31534664,277,1606.0,1559.0,1405-03-12
