date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2024-03-11,10000.0,10000.0,10000.0,10000.0,149831830000,14983183,95,10000.0,10000.0,1402-12-21
2024-03-12,10000.0,10000.0,10000.0,10000.0,66636720000,6663672,109,10000.0,10000.0,1402-12-22
2024-03-13,10000.0,10000.0,10000.0,10000.0,763531450000,76353145,134,10000.0,10000.0,1402-12-23
2024-03-16,10000.0,10000.0,10000.0,10000.0,500000000000,50000000,113,10000.0,10000.0,1402-12-26
2024-05-11,10436.0,10436.0,10436.0,10436.0,1571452880,150580,11,10000.0,10436.0,1403-02-22
2024-05-12,11479.0,11479.0,10444.0,10444.0,36003857442,3447193,49,10436.0,10445.0,1403-02-23
2024-05-13,10452.0,10453.0,10452.0,10453.0,487306306686,46618911,110,10444.0,10453.0,1403-02-24
2024-05-14,10461.0,10461.0,10459.0,10459.0,51489083897,4922943,23,10453.0,10459.0,1403-02-25
2024-05-15,10473.0,10477.0,10473.0,10476.0,15733110548,1501809,57,10459.0,10476.0,1403-02-26
2024-05-18,10489.0,10489.0,10488.0,10488.0,5962669476,568499,62,10476.0,10488.0,1403-02-29
2024-05-19,10496.0,10497.0,10496.0,10496.0,19280212764,1836841,27,10488.0,10497.0,1403-02-30
2024-05-21,10536.0,10542.0,10536.0,10537.0,24196298992,2296314,48,10496.0,10537.0,1403-03-01
2024-05-25,10600.0,10700.0,10545.0,10550.0,12992302577,1231546,65,10537.0,10546.0,1403-03-05
2024-05-26,10556.0,10556.0,10555.0,10555.0,13750034112,1302690,34,10550.0,10555.0,1403-03-06
2024-05-27,10565.0,10565.0,10564.0,10564.0,8559353563,810233,22,10555.0,10565.0,1403-03-07
2024-05-28,10573.0,10574.0,10573.0,10574.0,11491275936,1086796,58,10564.0,10574.0,1403-03-08
2024-05-29,10586.0,10587.0,10586.0,10587.0,1015786087,95949,16,10574.0,10586.0,1403-03-09
2024-06-01,10602.0,10602.0,10601.0,10601.0,2517794019,237503,20,10587.0,10601.0,1403-03-12
2024-06-02,10611.0,10614.0,10610.0,10611.0,8831561790,832299,11,10601.0,10614.0,1403-03-13
2024-06-05,11672.0,11672.0,10644.0,10646.0,6973510529,655043,24,10611.0,10645.0,1403-03-16
2024-06-08,10657.0,10657.0,10656.0,10657.0,2203462334,206762,14,10646.0,10657.0,1403-03-19
2024-06-09,10665.0,10666.0,10665.0,10665.0,648173875,60775,15,10657.0,10666.0,1403-03-20
2024-06-10,10674.0,10675.0,10674.0,10674.0,9045865092,847433,14,10665.0,10674.0,1403-03-21
2024-06-11,10683.0,10684.0,10683.0,10683.0,6229096372,583084,10,10674.0,10684.0,1403-03-22
2024-06-12,10702.0,10702.0,10701.0,10701.0,5533188844,517048,19,10683.0,10701.0,1403-03-23
2024-06-15,10714.0,10715.0,10714.0,10715.0,5623670479,524859,29,10701.0,10715.0,1403-03-26
2024-06-16,10726.0,10727.0,10726.0,10727.0,13106161026,1221806,35,10715.0,10727.0,1403-03-27
2024-06-18,10738.0,10739.0,10738.0,10739.0,2956209301,275284,10,10727.0,10739.0,1403-03-29
2024-06-19,10756.0,10758.0,10755.0,10756.0,1229303062,114289,7,10739.0,10758.0,1403-03-30
2024-06-22,10772.0,10775.0,10772.0,10774.0,2729762343,253357,15,10756.0,10775.0,1403-04-02
2024-06-23,11850.0,11850.0,10781.0,10782.0,330763478453,30677193,75,10774.0,10782.0,1403-04-03
2024-06-24,10789.0,10793.0,10789.0,10791.0,423447102835,39240348,91,10782.0,10790.0,1403-04-04
2024-06-26,10810.0,10811.0,10810.0,10810.0,601980592756,55686524,90,10791.0,10810.0,1403-04-06
2024-06-29,10821.0,10821.0,10820.0,10821.0,39864731992,3684142,35,10810.0,10821.0,1403-04-09
2024-06-30,10828.0,10829.0,10828.0,10828.0,26783561382,2473451,25,10821.0,10829.0,1403-04-10
2024-07-01,10836.0,10837.0,10836.0,10836.0,14338486256,1323226,21,10828.0,10836.0,1403-04-11
2024-07-02,10844.0,10845.0,10844.0,10845.0,23755912821,2190540,22,10836.0,10845.0,1403-04-12
2024-07-03,10861.0,10862.0,10861.0,10861.0,12844466983,1182618,22,10845.0,10861.0,1403-04-13
2024-07-06,10878.0,10878.0,10877.0,10878.0,26619202873,2447155,39,10861.0,10878.0,1403-04-16
2024-07-07,10886.0,10887.0,10886.0,10887.0,28033546461,2574957,11,10878.0,10887.0,1403-04-17
2024-07-08,10897.0,10898.0,10897.0,10897.0,47222944072,4333572,34,10887.0,10897.0,1403-04-18
2024-07-09,10908.0,10908.0,10907.0,10908.0,4984131028,456928,14,10897.0,10908.0,1403-04-19
2024-07-10,10921.0,10921.0,10920.0,10921.0,4227210900,387088,13,10908.0,10921.0,1403-04-20
2024-07-13,10933.0,10934.0,10933.0,10934.0,314041202542,28722472,48,10921.0,10934.0,1403-04-23
2024-07-14,10948.0,10949.0,10948.0,10948.0,25192029855,2301042,17,10934.0,10949.0,1403-04-24
2024-07-17,10976.0,10977.0,10976.0,10976.0,5871684252,534940,20,10948.0,10976.0,1403-04-27
2024-07-20,10993.0,10994.0,10993.0,10994.0,7274136200,661662,20,10976.0,10994.0,1403-04-30
2024-07-21,11002.0,11003.0,11002.0,11002.0,6537625934,594195,17,10994.0,11003.0,1403-04-31
2024-07-22,11011.0,11011.0,11010.0,11010.0,29394947124,2669739,29,11002.0,11011.0,1403-05-01
2024-07-23,11019.0,11020.0,11019.0,11020.0,3539872174,321233,14,11010.0,11020.0,1403-05-02
2024-07-24,11039.0,11039.0,11038.0,11038.0,12079094696,1094303,20,11020.0,11039.0,1403-05-03
2024-07-27,11056.0,11057.0,11056.0,11056.0,9155704038,828120,12,11038.0,11056.0,1403-05-06
2024-07-29,11074.0,11074.0,11073.0,11073.0,39612523802,3577384,28,11056.0,11073.0,1403-05-08
2024-07-30,11083.0,11083.0,11082.0,11082.0,15431070604,1392430,12,11073.0,11083.0,1403-05-09
2024-07-31,11099.0,11100.0,11099.0,11099.0,39576929067,3565729,17,11082.0,11100.0,1403-05-10
2024-08-03,11118.0,11119.0,11118.0,11118.0,16600340957,1493096,44,11099.0,11119.0,1403-05-13
2024-08-04,11127.0,11127.0,11126.0,11126.0,19861474274,1785139,18,11118.0,11126.0,1403-05-14
2024-08-05,11135.0,11136.0,11135.0,11135.0,21632403655,1942734,14,11126.0,11136.0,1403-05-15
2024-08-06,11144.0,11145.0,11144.0,11145.0,57630631875,5171166,11,11135.0,11145.0,1403-05-16
2024-08-10,11176.0,11177.0,11176.0,11176.0,9704429491,868320,14,11145.0,11176.0,1403-05-20
2024-08-11,11185.0,11186.0,11185.0,11185.0,5121272139,457860,12,11176.0,11186.0,1403-05-21
2024-08-12,11194.0,11195.0,11194.0,11194.0,4607271744,411576,15,11185.0,11195.0,1403-05-22
2024-08-13,11203.0,11204.0,11203.0,11203.0,7891878813,704425,22,11194.0,11203.0,1403-05-23
2024-08-14,11220.0,11221.0,11220.0,11220.0,2063907870,183949,11,11203.0,11220.0,1403-05-24
