date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2024-07-22,10000.0,10000.0,10000.0,10000.0,277891970000,27789197,275,10000.0,10000.0,1403-05-01
2024-07-23,10000.0,10000.0,10000.0,10000.0,854564350000,85456435,440,10000.0,10000.0,1403-05-02
2024-07-24,10000.0,10000.0,10000.0,10000.0,176019830000,17601983,218,10000.0,10000.0,1403-05-03
2024-07-27,10000.0,10000.0,10000.0,10000.0,2289351560000,228935156,503,10000.0,10000.0,1403-05-06
2024-08-20,10000.0,10000.0,9900.0,9998.0,169558196417,16958399,89,10000.0,9923.0,1403-05-30
2024-08-21,10020.0,10020.0,9900.0,9999.0,361881490195,36193351,114,9998.0,9940.0,1403-05-31
2024-08-24,9901.0,10000.0,9901.0,9937.0,1007874559,101429,43,9999.0,9937.0,1403-06-03
2024-08-26,10009.0,10094.0,10009.0,10065.0,661132816,65686,8,9937.0,10094.0,1403-06-05
2024-08-27,9933.0,10050.0,9933.0,9935.0,1168778140,117643,30,10065.0,9940.0,1403-06-06
2024-08-28,10059.0,10059.0,10039.0,10044.0,162108659782,16139212,92,9935.0,10040.0,1403-06-07
2024-08-31,10090.0,10237.0,10006.0,10059.0,4010915760,398751,47,10044.0,10047.0,1403-06-10
2024-09-01,10052.0,10178.0,9970.0,10048.0,20273438090,2017560,16,10059.0,9970.0,1403-06-11
2024-09-03,9950.0,9956.0,9949.0,9954.0,518291346,52071,26,10048.0,9950.0,1403-06-13
2024-09-07,9961.0,9962.0,9961.0,9961.0,72428481,7271,12,9954.0,9962.0,1403-06-17
2024-09-08,9966.0,9970.0,9966.0,9966.0,546711452,54857,19,9961.0,9966.0,1403-06-18
2024-09-09,9980.0,10000.0,9977.0,9979.0,144962396,14527,9,9966.0,9979.0,1403-06-19
2024-09-10,9981.0,9982.0,9981.0,9982.0,134825874,13507,5,9979.0,9982.0,1403-06-20
2024-09-14,9973.0,9973.0,9973.0,9973.0,302441198,30326,6,9982.0,9973.0,1403-06-24
2024-09-15,9970.0,9972.0,9970.0,9971.0,185589210,18613,14,9973.0,9971.0,1403-06-25
2024-09-16,9961.0,9970.0,9960.0,9960.0,10186307360,1022716,14,9971.0,9960.0,1403-06-26
2024-09-17,10020.0,10100.0,10020.0,10069.0,117659809,11685,10,9960.0,10069.0,1403-06-27
2024-09-18,10060.0,10080.0,10060.0,10062.0,1243724340,123604,16,10069.0,10070.0,1403-06-28
2024-09-22,10061.0,10062.0,10060.0,10061.0,42793861088,4253454,23,10062.0,10061.0,1403-07-01
2024-09-23,10060.0,10340.0,10060.0,10196.0,1999779020,196138,50,10061.0,10339.0,1403-07-02
2024-09-24,10130.0,10300.0,10127.0,10248.0,7366284510,718829,13,10196.0,10140.0,1403-07-03
2024-09-25,10249.0,10338.0,10245.0,10246.0,781775440,76298,24,10248.0,10245.0,1403-07-04
2024-09-28,10150.0,10262.0,10150.0,10151.0,1438011206,141664,23,10246.0,10150.0,1403-07-07
2024-09-29,10056.0,10070.0,10056.0,10064.0,162961280,16193,7,10151.0,10061.0,1403-07-08
2024-09-30,9970.0,10157.0,9970.0,10157.0,10264326450,1010602,6,10064.0,9975.0,1403-07-09
2024-10-01,10063.0,10064.0,10061.0,10062.0,11125590448,1105708,15,10157.0,10061.0,1403-07-10
2024-10-02,10100.0,10154.0,9974.0,10128.0,342128889,33780,28,10062.0,10154.0,1403-07-11
2024-10-05,10034.0,10034.0,10031.0,10031.0,5013424840,499790,8,10128.0,10031.0,1403-07-14
2024-10-06,9935.0,10126.0,9935.0,10091.0,529289619,52451,12,10031.0,10126.0,1403-07-15
2024-10-07,9995.0,10185.0,9995.0,10143.0,99667360,9826,10,10091.0,10185.0,1403-07-16
2024-10-08,10049.0,10191.0,10049.0,10172.0,138762697,13642,10,10143.0,10191.0,1403-07-17
2024-10-12,10265.0,10265.0,10260.0,10262.0,384667353,37485,8,10172.0,10264.0,1403-07-21
2024-10-13,10253.0,10399.0,10253.0,10318.0,765341248,74172,33,10262.0,10399.0,1403-07-22
2024-10-14,10260.0,10550.0,10253.0,10260.0,10665603836,1039494,21,10318.0,10260.0,1403-07-23
2024-10-16,10240.0,10240.0,10239.0,10240.0,10293870138,1005261,7,10260.0,10240.0,1403-07-25
2024-10-19,10235.0,10235.0,10234.0,10234.0,1011447929,98832,10,10240.0,10234.0,1403-07-28
2024-10-20,10195.0,10195.0,10190.0,10193.0,66283685844,6503108,16,10234.0,10190.0,1403-07-29
2024-10-21,10137.0,10439.0,10134.0,10141.0,15723393675,1550516,18,10193.0,10439.0,1403-07-30
2024-10-22,10430.0,10439.0,10430.0,10437.0,738170845,70725,16,10141.0,10439.0,1403-08-01
2024-10-23,10310.0,10310.0,10308.0,10308.0,51540400,5000,5,10437.0,10308.0,1403-08-02
2024-10-26,10330.0,10330.0,10310.0,10318.0,61713958,5981,4,10308.0,10318.0,1403-08-05
2024-10-27,10580.0,10590.0,10299.0,10581.0,1754526715,165824,13,10318.0,10580.0,1403-08-06
2024-10-28,10489.0,10489.0,10489.0,10489.0,43760108,4172,5,10581.0,10489.0,1403-08-07
