date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2026-01-14,7142.0,7142.0,7142.0,7142.0,2799656100948,391998894,1262073,1000.0,7142.0,1404-10-24
2026-01-18,7350.0,7350.0,7350.0,7350.0,18015070500,2451030,5067,7142.0,7350.0,1404-10-28
2026-01-19,7570.0,7570.0,7570.0,7570.0,19254529670,2543531,5516,7350.0,7570.0,1404-10-29
2026-01-20,7790.0,7790.0,7790.0,7790.0,14721736750,1889825,4547,7570.0,7790.0,1404-10-30
2026-01-21,8020.0,8020.0,8020.0,8020.0,34971747340,4360567,6086,7790.0,8020.0,1404-11-01
2026-01-24,8260.0,8260.0,8260.0,8260.0,68806378200,8330070,17562,8020.0,8260.0,1404-11-04
2026-01-25,8500.0,8500.0,8500.0,8500.0,162730290000,19144740,51302,8260.0,8500.0,1404-11-05
2026-01-26,8750.0,8750.0,8750.0,8750.0,197871458750,22613881,53684,8500.0,8750.0,1404-11-06
2026-01-27,9010.0,9010.0,9010.0,9010.0,326800340480,36270848,102504,8750.0,9010.0,1404-11-07
2026-01-28,9280.0,9280.0,9280.0,9280.0,462199188160,49805947,55699,9010.0,9280.0,1404-11-08
2026-01-31,9550.0,9550.0,9010.0,9400.0,2150771905190,228826428,193862,9280.0,9010.0,1404-11-11
2026-02-01,9120.0,9120.0,9120.0,9120.0,65719750560,7206113,1539,9400.0,9120.0,1404-11-12
2026-02-02,8850.0,9110.0,8850.0,8880.0,1577658538310,177715292,173598,9120.0,8870.0,1404-11-13
2026-02-03,8970.0,8970.0,8620.0,8660.0,559550148580,64622535,56183,8880.0,8620.0,1404-11-14
2026-02-07,8790.0,8910.0,8750.0,8900.0,285275382290,32063047,41965,8660.0,8910.0,1404-11-18
2026-02-08,8990.0,9020.0,8640.0,8670.0,476811626340,54998448,27832,8900.0,8700.0,1404-11-19
2026-02-09,8800.0,8930.0,8440.0,8710.0,335728544410,38561826,48739,8670.0,8500.0,1404-11-20
2026-02-10,8460.0,8760.0,8460.0,8590.0,120331799770,14001134,22419,8710.0,8530.0,1404-11-21
2026-02-14,8830.0,8840.0,8560.0,8750.0,156291229690,17854463,10202,8590.0,8580.0,1404-11-25
2026-02-15,8680.0,8680.0,8490.0,8520.0,125265766900,14696598,7227,8750.0,8490.0,1404-11-26
2026-02-16,8270.0,8650.0,8270.0,8430.0,69849615770,8283071,10493,8520.0,8520.0,1404-11-27
2026-02-17,8490.0,8680.0,8430.0,8610.0,80582340550,9355717,8651,8430.0,8680.0,1404-11-28
2026-02-18,8700.0,8710.0,8470.0,8580.0,78785145930,9178744,9238,8610.0,8630.0,1404-11-29
2026-02-21,8510.0,8510.0,8330.0,8400.0,50969151470,6068470,1605,8580.0,8330.0,1404-12-02
2026-02-22,8150.0,8180.0,8150.0,8150.0,75314198350,9240772,6853,8400.0,8150.0,1404-12-03
2026-02-23,8150.0,8330.0,8100.0,8210.0,38576052550,4697150,7049,8150.0,8300.0,1404-12-04
2026-05-23,8450.0,8450.0,8450.0,8450.0,9090383250,1075785,1976,8210.0,8450.0,1405-03-02
2026-05-24,8700.0,8700.0,8700.0,8700.0,9346331700,1074291,2385,8450.0,8700.0,1405-03-03
2026-05-25,8960.0,8960.0,8960.0,8960.0,11674727680,1302983,2436,8700.0,8960.0,1405-03-04
2026-05-26,9220.0,9220.0,9220.0,9220.0,72603507740,7874567,11983,8960.0,9220.0,1405-03-05
2026-05-30,9490.0,9490.0,9490.0,9490.0,10210101200,1075880,2770,9220.0,9490.0,1405-03-09
2026-05-31,9770.0,9770.0,9770.0,9770.0,74596978700,7635310,1472,9490.0,9770.0,1405-03-10
2026-06-01,10060.0,10060.0,10060.0,10060.0,57777537640,5743294,3441,9770.0,10060.0,1405-03-11
2026-06-02,10360.0,10360.0,10060.0,10330.0,325571852580,31525425,7862,10060.0,10150.0,1405-03-12
2026-06-03,10630.0,10630.0,10130.0,10350.0,294693613080,28474062,15183,10330.0,10300.0,1405-03-13
2026-06-06,10200.0,10360.0,10040.0,10190.0,132634771280,13010218,9076,10350.0,10160.0,1405-03-16
2026-06-07,10160.0,10490.0,10160.0,10480.0,121438402110,11592146,5494,10190.0,10490.0,1405-03-17
2026-06-08,10170.0,10170.0,10170.0,10170.0,33429817170,3287101,232,10480.0,10170.0,1405-03-18
2026-06-09,10300.0,10470.0,10300.0,10460.0,171393141490,16382521,5591,10170.0,10470.0,1405-03-19
2026-06-10,10350.0,10770.0,10220.0,10740.0,441536229280,41094516,9689,10460.0,10770.0,1405-03-20
2026-06-13,11060.0,11060.0,11060.0,11060.0,93171873200,8424220,2860,10740.0,11060.0,1405-03-23
2026-06-14,11390.0,11390.0,11390.0,11390.0,77722888370,6823783,2771,11060.0,11390.0,1405-03-24
2026-06-15,11730.0,11730.0,11730.0,11730.0,44446307220,3789114,4556,11390.0,11730.0,1405-03-25
2026-06-16,12080.0,12080.0,11830.0,12080.0,234835358390,19442838,3822,11730.0,12000.0,1405-03-26
2026-06-17,11960.0,12000.0,11720.0,11790.0,264359132810,22425370,8621,12080.0,11940.0,1405-03-27
2026-06-20,12100.0,12140.0,11440.0,11830.0,162162332610,13707623,5430,11790.0,11800.0,1405-03-30
2026-06-21,12090.0,12180.0,11840.0,12110.0,265677573560,21936299,5169,11830.0,12090.0,1405-03-31
