date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-05-16,6700.0,6700.0,6700.0,6700.0,6700000,1000,1,0.0,6700.0,1380-02-26
2001-05-19,6365.0,6365.0,6365.0,6365.0,6365000,1000,1,6700.0,6365.0,1380-02-29
2001-05-20,6047.0,6047.0,6047.0,6047.0,24188000,4000,5,6365.0,6047.0,1380-02-30
2001-05-21,5745.0,5745.0,5745.0,5745.0,34470000,6000,7,6047.0,5745.0,1380-02-31
2001-05-26,5500.0,5500.0,5500.0,5500.0,5500000,1000,1,5745.0,5500.0,1380-03-05
2001-06-13,5225.0,5225.0,5225.0,5225.0,15675000,3000,1,5500.0,5225.0,1380-03-23
2001-06-19,5225.0,5225.0,5225.0,5225.0,522500,100,4,5225.0,5225.0,1380-03-29
2001-06-24,5224.0,5224.0,5224.0,5224.0,5224000,1000,1,5225.0,5224.0,1380-04-03
2001-06-25,5198.0,5199.0,5190.0,5190.0,26250480,5050,4,5224.0,5190.0,1380-04-04
2001-06-26,4964.0,5000.0,4964.0,4964.0,36947706,7404,9,5190.0,4964.0,1380-04-05
2001-06-27,4965.0,5000.0,4965.0,5000.0,12465000,2500,5,4964.0,5000.0,1380-04-06
2001-06-30,5002.0,5002.0,5001.0,5001.0,18165632,3632,3,5000.0,5001.0,1380-04-09
2001-07-01,5001.0,5001.0,5000.0,5000.0,25342068,5068,11,5001.0,5000.0,1380-04-10
2001-07-02,5000.0,5000.0,4950.0,4950.0,7549000,1520,7,5000.0,4950.0,1380-04-11
2001-07-07,4751.0,4751.0,4750.0,4750.0,9501000,2000,3,4950.0,4750.0,1380-04-16
2001-07-08,4513.0,4513.0,4513.0,4513.0,4513000,1000,2,4750.0,4513.0,1380-04-17
2001-07-09,4400.0,4400.0,4399.0,4400.0,83818870,19050,18,4513.0,4400.0,1380-04-18
2001-07-10,4400.0,4400.0,4400.0,4400.0,17952000,4080,10,4400.0,4400.0,1380-04-19
2001-07-11,4400.0,4400.0,4400.0,4400.0,112107600,25479,13,4400.0,4400.0,1380-04-20
2001-09-09,4000.0,4000.0,4000.0,4000.0,11600000,2900,5,4400.0,4000.0,1380-06-18
2001-09-10,4000.0,4000.0,4000.0,4000.0,20800000,5200,5,4000.0,4000.0,1380-06-19
2001-09-11,3999.0,3999.0,3999.0,3999.0,14220444,3556,3,4000.0,3999.0,1380-06-20
2001-09-12,3997.0,3997.0,3997.0,3997.0,399700,100,1,3999.0,3997.0,1380-06-21
2001-09-16,3802.0,3802.0,3801.0,3801.0,26821856,7056,5,3997.0,3801.0,1380-06-25
2001-09-18,3611.0,3611.0,3611.0,3611.0,18055000,5000,3,3801.0,3611.0,1380-06-27
2001-09-23,3600.0,3600.0,3600.0,3600.0,1440000,400,1,3611.0,3600.0,1380-07-01
2001-09-24,3600.0,3601.0,3600.0,3600.0,29497800,8193,13,3600.0,3600.0,1380-07-02
2001-10-07,3600.0,3600.0,3600.0,3600.0,13687200,3802,6,3600.0,3600.0,1380-07-15
2001-10-08,3603.0,3603.0,3602.0,3602.0,3040588,844,2,3600.0,3602.0,1380-07-16
2001-10-09,3601.0,3601.0,3600.0,3600.0,4068500,1130,2,3602.0,3600.0,1380-07-17
2001-10-13,3600.0,3600.0,3600.0,3600.0,2973600,826,4,3600.0,3600.0,1380-07-21
2001-10-14,3600.0,3600.0,3600.0,3600.0,298800,83,1,3600.0,3600.0,1380-07-22
2001-10-17,3601.0,3601.0,3600.0,3600.0,3211700,892,3,3600.0,3600.0,1380-07-25
2001-10-20,3600.0,3600.0,3600.0,3600.0,9720000,2700,3,3600.0,3600.0,1380-07-28
2001-10-21,3600.0,3601.0,3600.0,3601.0,2268280,630,2,3600.0,3601.0,1380-07-29
2001-10-23,3607.0,3780.0,3607.0,3780.0,21804660,5892,2,3601.0,3780.0,1380-08-01
2001-10-28,3969.0,3969.0,3969.0,3969.0,38618370,9730,1,3780.0,3969.0,1380-08-06
2001-10-29,3997.0,3997.0,3997.0,3997.0,463652,116,1,3969.0,3997.0,1380-08-07
2001-10-30,4196.0,4196.0,4196.0,4196.0,37029700,8825,5,3997.0,4196.0,1380-08-08
2001-11-04,4405.0,4405.0,4405.0,4405.0,4405000,1000,1,4196.0,4405.0,1380-08-13
2001-11-05,4625.0,4625.0,4625.0,4625.0,4625000,1000,1,4405.0,4625.0,1380-08-14
2001-11-06,4856.0,4856.0,4856.0,4856.0,4856000,1000,2,4625.0,4856.0,1380-08-15
2001-11-07,5098.0,5098.0,5098.0,5098.0,5098000,1000,2,4856.0,5098.0,1380-08-16
2001-11-10,5352.0,5352.0,5352.0,5352.0,30854280,5765,9,5098.0,5352.0,1380-08-19
2001-11-11,5619.0,5619.0,5352.0,5352.0,387361781,69901,42,5352.0,5352.0,1380-08-20
2001-11-24,3000.0,3000.0,3000.0,3000.0,3000000,1000,1,5352.0,3000.0,1380-09-03
2001-12-23,3150.0,3150.0,3150.0,3150.0,1575000,500,1,3000.0,3150.0,1380-10-02
2001-12-30,3307.0,3307.0,3307.0,3307.0,2288444,692,2,3150.0,3307.0,1380-10-09
2002-01-01,3472.0,3472.0,3472.0,3472.0,3472000,1000,2,3307.0,3472.0,1380-10-11
2002-01-06,3645.0,3645.0,3645.0,3645.0,3645000,1000,2,3472.0,3645.0,1380-10-16
2002-01-13,3827.0,3827.0,3827.0,3827.0,3827000,1000,2,3645.0,3827.0,1380-10-23
2002-01-15,4018.0,4018.0,4018.0,4018.0,5589038,1391,1,3827.0,4018.0,1380-10-25
2002-01-16,4218.0,4218.0,4218.0,4218.0,4218000,1000,2,4018.0,4218.0,1380-10-26
2002-01-19,4323.0,4323.0,4323.0,4323.0,66643368,15416,8,4218.0,4323.0,1380-10-29
2002-01-20,4431.0,4431.0,4431.0,4431.0,31017000,7000,4,4323.0,4431.0,1380-10-30
2002-01-21,4323.0,4430.0,4322.0,4323.0,30916404,7028,9,4431.0,4323.0,1380-11-01
2002-01-22,4323.0,4323.0,4250.0,4250.0,21030819,4903,10,4323.0,4250.0,1380-11-02
2002-01-23,4251.0,4251.0,4250.0,4250.0,3536735,832,3,4250.0,4250.0,1380-11-03
2002-01-26,4249.0,4250.0,4249.0,4250.0,19626000,4618,3,4250.0,4250.0,1380-11-06
2002-01-27,4250.0,4250.0,4200.0,4200.0,4693000,1116,2,4250.0,4200.0,1380-11-07
2002-01-28,4100.0,4100.0,4100.0,4100.0,24600000,6000,2,4200.0,4100.0,1380-11-08
2002-01-29,4100.0,4100.0,4100.0,4100.0,4100000,1000,1,4100.0,4100.0,1380-11-09
2002-01-30,4000.0,4000.0,4000.0,4000.0,5228000,1307,2,4100.0,4000.0,1380-11-10
2002-02-02,3900.0,3900.0,3900.0,3900.0,3900000,1000,2,4000.0,3900.0,1380-11-13
2002-02-04,3900.0,3900.0,3900.0,3900.0,893100,229,1,3900.0,3900.0,1380-11-15
2002-02-09,3900.0,3900.0,3900.0,3900.0,1497600,384,1,3900.0,3900.0,1380-11-20
2002-05-06,5250.0,5250.0,5250.0,5250.0,5250000,1000,1,3900.0,5250.0,1381-02-16
2002-05-07,5227.0,5227.0,5198.0,5198.0,208210000,40000,18,5250.0,5198.0,1381-02-17
2002-06-17,3200.0,3200.0,3200.0,3200.0,10240000,3200,2,5198.0,3200.0,1381-03-27
2002-06-18,3360.0,3360.0,3360.0,3360.0,3360000,1000,1,3200.0,3360.0,1381-03-28
2002-06-19,3528.0,3528.0,3528.0,3528.0,3528000,1000,1,3360.0,3528.0,1381-03-29
2002-06-22,3704.0,3704.0,3704.0,3704.0,5504144,1486,2,3528.0,3704.0,1381-04-01
2002-06-29,3712.0,3712.0,3711.0,3711.0,3711500,1000,2,3704.0,3711.0,1381-04-08
2002-07-01,3715.0,3716.0,3709.0,3711.0,51857782,13974,12,3711.0,3711.0,1381-04-10
2002-07-03,3700.0,3711.0,3700.0,3708.0,25407686,6856,6,3711.0,3708.0,1381-04-12
2002-07-06,3798.0,3800.0,3798.0,3800.0,22794000,6000,3,3708.0,3800.0,1381-04-15
2002-07-08,3800.0,3800.0,3800.0,3800.0,8360000,2200,2,3800.0,3800.0,1381-04-17
2002-07-09,3800.0,3800.0,3800.0,3800.0,1801200,474,1,3800.0,3800.0,1381-04-18
2002-08-05,3948.0,3948.0,3948.0,3948.0,59220000,15000,3,3800.0,3948.0,1381-05-14
2002-08-06,3850.0,3850.0,3850.0,3850.0,7700000,2000,2,3948.0,3850.0,1381-05-15
2002-11-18,2000.0,2000.0,2000.0,2000.0,1586000,793,3,3850.0,2000.0,1381-08-27
2002-11-20,2000.0,2000.0,2000.0,2000.0,414000,207,1,2000.0,2000.0,1381-08-29
2002-11-23,2000.0,2000.0,2000.0,2000.0,576000,288,2,2000.0,2000.0,1381-09-02
