date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2025-11-22,20020.0,20020.0,17000.0,18017.0,3243110413276,179999884,1091555,1000.0,17000.0,1404-09-01
2025-11-23,18520.0,18520.0,18520.0,18520.0,200135009520,10806426,3721,17990.0,18520.0,1404-09-02
2025-11-25,19070.0,19070.0,19070.0,19070.0,198929753850,10431555,4681,18520.0,19070.0,1404-09-04
2025-11-26,19640.0,19640.0,19640.0,19640.0,211667861040,10777386,7465,19070.0,19640.0,1404-09-05
2025-11-29,20220.0,20220.0,20220.0,20220.0,230189292360,11384238,12518,19640.0,20220.0,1404-09-08
2025-11-30,20820.0,20820.0,20820.0,20820.0,245726342760,11802418,16447,20220.0,20820.0,1404-09-09
2025-12-01,21440.0,21440.0,21440.0,21440.0,278617323840,12995211,29499,20820.0,21440.0,1404-09-10
2025-12-02,22080.0,22080.0,22080.0,22080.0,524937692160,23774352,85760,21440.0,22080.0,1404-09-11
2025-12-03,22740.0,22740.0,22740.0,22740.0,594532956660,26144809,28813,22080.0,22740.0,1404-09-12
2025-12-06,23400.0,23400.0,23400.0,23400.0,525944998800,22476282,21303,22740.0,23400.0,1404-09-15
2025-12-07,24100.0,24100.0,24100.0,24100.0,572409872700,23751447,25646,23400.0,24100.0,1404-09-16
2025-12-08,24800.0,24800.0,24800.0,24800.0,2081646329600,83937352,72460,24100.0,24800.0,1404-09-17
2025-12-09,25500.0,25500.0,25200.0,25500.0,2531419963550,99284244,102422,24800.0,25500.0,1404-09-18
2025-12-10,26250.0,26250.0,26250.0,26250.0,1146072033750,43659887,60685,25500.0,26250.0,1404-09-19
2025-12-13,27000.0,27000.0,26800.0,27000.0,3699975619650,137047031,115116,26250.0,27000.0,1404-09-22
2025-12-14,26800.0,27500.0,26300.0,27050.0,625077418700,23106465,36772,27000.0,27400.0,1404-09-23
2025-12-16,27050.0,27850.0,27000.0,27750.0,2177993041600,78549981,51489,27050.0,27850.0,1404-09-25
2025-12-17,28450.0,28550.0,27550.0,28500.0,1664348346400,58432420,51495,27750.0,28550.0,1404-09-26
2025-12-20,28500.0,29100.0,27650.0,27900.0,1791424624450,64240525,35216,28500.0,27650.0,1404-09-29
2025-12-21,27200.0,27500.0,27100.0,27150.0,346206997350,12747550,6418,27900.0,27100.0,1404-09-30
2025-12-22,26350.0,27100.0,26350.0,26450.0,2225301141150,84115991,82901,27150.0,26700.0,1404-10-01
2025-12-23,26950.0,27200.0,26550.0,27100.0,1011077343000,37315071,27579,26450.0,27200.0,1404-10-02
2025-12-28,27900.0,27900.0,27450.0,27900.0,702066966100,25173740,6692,27100.0,27900.0,1404-10-07
2025-12-29,28200.0,28700.0,27300.0,28500.0,1857606061700,65127895,21193,27900.0,28700.0,1404-10-08
2025-12-30,27850.0,28000.0,27650.0,27650.0,592585362700,21417633,2959,28500.0,27650.0,1404-10-09
2025-12-31,26850.0,27900.0,26850.0,27200.0,1027331693600,37786615,21713,27650.0,27500.0,1404-10-10
2026-01-04,27000.0,27100.0,26400.0,26400.0,1163305921300,44053053,13830,27200.0,26400.0,1404-10-14
2026-01-05,26800.0,27150.0,26750.0,27100.0,475455767450,17553416,8850,26400.0,27100.0,1404-10-15
2026-01-06,27250.0,27900.0,27100.0,27650.0,1197172221700,43290538,8816,27100.0,27900.0,1404-10-16
2026-01-07,28300.0,28300.0,27300.0,27700.0,1037159904100,37428635,9679,27650.0,28100.0,1404-10-17
2026-01-10,26900.0,28200.0,26900.0,27250.0,757186324350,27767466,8099,27700.0,26900.0,1404-10-20
2026-01-12,28050.0,28050.0,27300.0,27900.0,154194573850,5522107,2882,27250.0,27900.0,1404-10-22
2026-01-13,28550.0,28700.0,27900.0,28200.0,481982836050,17087139,7955,27900.0,28200.0,1404-10-23
2026-01-14,28150.0,28150.0,27400.0,27500.0,542013398100,19706798,6363,28200.0,27400.0,1404-10-24
2026-01-18,27500.0,28000.0,27400.0,27700.0,303886917850,10964405,6453,27500.0,27800.0,1404-10-28
2026-01-19,28200.0,28500.0,27650.0,27950.0,712325845750,25495699,6795,27700.0,28500.0,1404-10-29
2026-01-20,28750.0,28750.0,28750.0,28750.0,170156501250,5918487,1789,27950.0,28750.0,1404-10-30
2026-01-21,29600.0,29600.0,29600.0,29600.0,174610814400,5899014,1849,28750.0,29600.0,1404-11-01
2026-01-24,30450.0,30450.0,29650.0,30250.0,1199683925900,39674489,7202,29600.0,29700.0,1404-11-04
2026-01-25,29600.0,29900.0,29350.0,29400.0,323842965650,11016728,2268,30250.0,29350.0,1404-11-05
2026-01-26,28550.0,28550.0,28550.0,28550.0,36622369750,1282745,114,29400.0,28550.0,1404-11-06
2026-01-27,27700.0,27700.0,27700.0,27700.0,46175761500,1666995,138,28550.0,27700.0,1404-11-07
2026-01-28,26900.0,28200.0,26900.0,27000.0,913300289900,33844133,8215,27700.0,27100.0,1404-11-08
2026-01-31,27300.0,27500.0,26200.0,26300.0,306692660250,11652448,4618,27000.0,26200.0,1404-11-11
2026-02-01,26350.0,26750.0,25600.0,26250.0,102344056750,3896654,3812,26300.0,26500.0,1404-11-12
2026-02-02,27000.0,27000.0,26400.0,26750.0,84628960550,3165517,2783,26250.0,26900.0,1404-11-13
2026-02-03,26800.0,27400.0,26600.0,26850.0,99516888050,3704182,3118,26750.0,27300.0,1404-11-14
2026-02-07,27600.0,27650.0,27200.0,27650.0,100433706200,3633135,2729,26850.0,27650.0,1404-11-18
2026-02-08,28400.0,28400.0,26850.0,27350.0,152851313950,5588975,2642,27650.0,26850.0,1404-11-19
2026-02-09,27550.0,28150.0,27150.0,27650.0,134627658950,4869553,5792,27350.0,27850.0,1404-11-20
2026-02-10,27750.0,28450.0,27750.0,28400.0,170432445900,6005204,3753,27650.0,28450.0,1404-11-21
2026-02-14,28400.0,29000.0,27550.0,27900.0,166579632750,5968889,2759,28400.0,27600.0,1404-11-25
2026-05-25,7020.0,7020.0,7020.0,7020.0,19498309740,2777537,781,6820.0,7020.0,1405-03-04
2026-05-26,7230.0,7230.0,7230.0,7230.0,54024475950,7472265,1429,7020.0,7230.0,1405-03-05
2026-05-30,7440.0,7440.0,7440.0,7440.0,71987914800,9675795,1245,7230.0,7440.0,1405-03-09
2026-05-31,7660.0,7660.0,7660.0,7660.0,115826124640,15120904,1152,7440.0,7660.0,1405-03-10
2026-06-01,7880.0,7880.0,7880.0,7880.0,160432844240,20359498,1610,7660.0,7880.0,1405-03-11
2026-06-02,8110.0,8110.0,8110.0,8110.0,104549116130,12891383,900,7880.0,8110.0,1405-03-12
2026-06-03,8350.0,8350.0,8350.0,8350.0,22278735200,2668112,895,8110.0,8350.0,1405-03-13
2026-06-06,8600.0,8600.0,8600.0,8600.0,16434677400,1911009,663,8350.0,8600.0,1405-03-16
2026-06-07,8850.0,8850.0,8850.0,8850.0,55246071900,6242494,913,8600.0,8850.0,1405-03-17
2026-06-08,9110.0,9110.0,9110.0,9110.0,218979137970,24037227,1616,8850.0,9110.0,1405-03-18
2026-06-09,9380.0,9380.0,9380.0,9380.0,13037609060,1389937,642,9110.0,9380.0,1405-03-19
2026-06-10,9660.0,9660.0,9660.0,9660.0,29432358480,3046828,1103,9380.0,9660.0,1405-03-20
2026-06-13,9940.0,9940.0,9940.0,9940.0,32152560160,3234664,738,9660.0,9940.0,1405-03-23
2026-06-14,10230.0,10230.0,10230.0,10230.0,29167377030,2851161,810,9940.0,10230.0,1405-03-24
2026-06-15,10530.0,10530.0,10530.0,10530.0,151820128980,14417866,1327,10230.0,10530.0,1405-03-25
2026-06-16,10840.0,10840.0,10840.0,10840.0,3961282880,365432,29,10530.0,10840.0,1405-03-26
2026-06-20,11160.0,11160.0,11160.0,11160.0,153627220800,13765880,490,10840.0,11160.0,1405-03-30
2026-06-21,11490.0,11490.0,10830.0,11450.0,1759997294300,153714212,4186,11160.0,11490.0,1405-03-31
