date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2003-10-19,2991.0,2991.0,2900.0,2916.0,5833615016,2000000,667,0.0,2916.0,1382-07-27
2003-10-20,3061.0,3061.0,3061.0,3061.0,22957500000,7500000,1277,2916.0,3061.0,1382-07-28
2003-10-21,3214.0,3214.0,3214.0,3214.0,19284000000,6000000,1102,3061.0,3214.0,1382-07-29
2003-10-22,3374.0,3374.0,3374.0,3374.0,10122000000,3000000,670,3214.0,3374.0,1382-07-30
2003-10-25,3542.0,3542.0,3542.0,3542.0,33039067600,9327800,1540,3374.0,3542.0,1382-08-03
2003-10-26,3719.0,3719.0,3719.0,3719.0,1765253102,474658,204,3542.0,3719.0,1382-08-04
2003-10-27,3904.0,3904.0,3901.0,3903.0,28339504578,7259120,1896,3719.0,3903.0,1382-08-05
2003-10-28,4098.0,4098.0,3950.0,4091.0,9915245272,2423245,801,3903.0,4091.0,1382-08-06
2003-10-29,4002.0,4295.0,3955.0,4188.0,6359968080,1518260,338,4091.0,4188.0,1382-08-07
2003-11-01,4397.0,4397.0,4291.0,4291.0,656079707,149211,102,4188.0,4291.0,1382-08-10
2003-11-02,4505.0,4505.0,4304.0,4304.0,86611120,19226,21,4291.0,4304.0,1382-08-11
2003-11-03,4519.0,4519.0,4314.0,4314.0,63675179,14091,21,4304.0,4314.0,1382-08-12
2003-11-04,4529.0,4529.0,4339.0,4339.0,160854593,35517,28,4314.0,4339.0,1382-08-13
2003-11-05,4555.0,4555.0,4347.0,4347.0,54357290,11934,25,4339.0,4347.0,1382-08-14
2003-11-08,4564.0,4564.0,4376.0,4376.0,184885760,40510,32,4347.0,4376.0,1382-08-17
2003-11-09,4594.0,4594.0,4403.0,4403.0,172084736,37459,38,4376.0,4403.0,1382-08-18
2003-11-10,4623.0,4623.0,4500.0,4500.0,613937793,132801,106,4403.0,4500.0,1382-08-19
2003-11-11,4725.0,4725.0,4569.0,4569.0,438988740,92908,72,4500.0,4569.0,1382-08-20
2003-11-12,4797.0,4797.0,4620.0,4620.0,325445898,67844,48,4569.0,4620.0,1382-08-21
2003-11-15,4851.0,4851.0,4851.0,4851.0,5466926619,1126969,374,4620.0,4851.0,1382-08-24
2003-11-17,4851.0,5093.0,4610.0,4958.0,12013627650,2422692,625,4851.0,4958.0,1382-08-26
2003-11-18,5205.0,5205.0,5019.0,5019.0,386969070,74346,52,4958.0,5019.0,1382-08-27
2003-11-19,5269.0,5269.0,5023.0,5023.0,29909653,5677,7,5019.0,5023.0,1382-08-28
2003-11-22,5274.0,5274.0,5025.0,5025.0,12823878,2432,4,5023.0,5025.0,1382-09-01
2003-11-23,5276.0,5276.0,5044.0,5044.0,122369224,23194,23,5025.0,5044.0,1382-09-02
2003-11-24,5296.0,5296.0,5069.0,5069.0,158925394,30009,22,5044.0,5069.0,1382-09-03
2003-11-25,5322.0,5322.0,5077.0,5077.0,52722604,9907,16,5069.0,5077.0,1382-09-04
2003-11-29,5330.0,5330.0,5096.0,5096.0,123515080,23174,29,5077.0,5096.0,1382-09-08
2003-11-30,5350.0,5350.0,3175.0,5350.0,23900061575,4621364,1742,5096.0,5350.0,1382-09-09
2003-12-01,5617.0,5617.0,5617.0,5617.0,23535786083,4190099,1249,5350.0,5617.0,1382-09-10
2003-12-02,5897.0,5897.0,5897.0,5897.0,29057774144,4927552,1230,5617.0,5897.0,1382-09-11
2003-12-03,6191.0,6191.0,6191.0,6191.0,17886306662,2889082,625,5897.0,6191.0,1382-09-12
2003-12-06,6350.0,6500.0,6003.0,6396.0,16033318985,2506573,795,6191.0,6396.0,1382-09-15
2003-12-07,6499.0,6715.0,6398.0,6671.0,12687620405,1901789,627,6396.0,6671.0,1382-09-16
2003-12-08,6590.0,6590.0,6340.0,6455.0,8896588426,1378160,515,6671.0,6455.0,1382-09-17
2003-12-09,6398.0,6600.0,6202.0,6363.0,11956445354,1878769,627,6455.0,6363.0,1382-09-18
2003-12-10,6681.0,6681.0,6670.0,6680.0,9338262527,1397761,385,6363.0,6680.0,1382-09-19
2003-12-13,7000.0,7014.0,7000.0,7012.0,3646037260,519903,189,6680.0,7012.0,1382-09-22
2003-12-14,7362.0,7362.0,7253.0,7361.0,6492595814,881994,338,7012.0,7361.0,1382-09-23
2003-12-15,7500.0,7729.0,7411.0,7707.0,8983537503,1165562,442,7361.0,7707.0,1382-09-24
2003-12-16,7715.0,8049.0,7370.0,7697.0,2676608534,347730,172,7707.0,7697.0,1382-09-25
2003-12-17,7690.0,7690.0,7313.0,7346.0,2915689934,396891,189,7697.0,7346.0,1382-09-26
2003-12-21,7312.0,7313.0,7000.0,7228.0,3416163259,472602,282,7346.0,7228.0,1382-09-30
2003-12-22,7250.0,7589.0,7214.0,7289.0,12926538680,1773391,577,7228.0,7289.0,1382-10-01
2003-12-23,7653.0,7653.0,7653.0,7653.0,5109762693,667681,226,7289.0,7653.0,1382-10-02
2003-12-24,8035.0,8035.0,7899.0,8030.0,19302113301,2403608,604,7653.0,8030.0,1382-10-03
2003-12-27,7987.0,7987.0,7699.0,7712.0,6184014964,801827,247,8030.0,7712.0,1382-10-06
2003-12-28,7713.0,7850.0,7500.0,7584.0,23737679188,3106964,499,7712.0,7584.0,1382-10-07
2003-12-29,7600.0,7959.0,7600.0,7672.0,21742547335,2833659,544,7584.0,7672.0,1382-10-08
2003-12-30,7998.0,8055.0,7732.0,7977.0,27183345153,3407419,732,7672.0,7977.0,1382-10-09
2003-12-31,8031.0,8375.0,8000.0,8102.0,26784403180,3305861,741,7977.0,8102.0,1382-10-10
2004-01-03,8378.0,8507.0,8158.0,8452.0,13287546807,1571939,532,8102.0,8452.0,1382-10-13
2004-01-04,8700.0,8874.0,8700.0,8873.0,10722004914,1208311,378,8452.0,8873.0,1382-10-14
2004-01-05,9316.0,9316.0,9315.0,9315.0,10571953162,1134817,534,8873.0,9315.0,1382-10-15
2004-01-06,9324.0,9669.0,8900.0,9171.0,5470921706,596502,404,9315.0,9171.0,1382-10-16
2004-01-07,9100.0,9390.0,9100.0,9273.0,8318461661,897135,373,9171.0,9273.0,1382-10-17
2004-01-10,9273.0,9340.0,9100.0,9259.0,6948397569,750415,358,9273.0,9259.0,1382-10-20
2004-01-11,9240.0,9240.0,8797.0,8891.0,6980142922,785041,370,9259.0,8891.0,1382-10-21
2004-01-12,8800.0,8800.0,8541.0,8642.0,7168239943,829411,346,8891.0,8642.0,1382-10-22
2004-01-13,8550.0,9000.0,8300.0,8638.0,7052402294,816368,321,8642.0,8638.0,1382-10-23
2004-01-14,8750.0,9069.0,8750.0,9005.0,8943547569,993135,389,8638.0,9005.0,1382-10-24
2004-01-17,9050.0,9340.0,8930.0,9113.0,3467830305,380504,236,9005.0,9113.0,1382-10-27
2004-01-18,9050.0,9050.0,8700.0,8844.0,4936767308,558191,231,9113.0,8844.0,1382-10-28
2004-01-19,8705.0,8705.0,8410.0,8522.0,7549978450,885920,300,8844.0,8522.0,1382-10-29
2004-01-20,8510.0,8948.0,8509.0,8736.0,4612788700,527982,228,8522.0,8736.0,1382-10-30
2004-01-21,8743.0,8959.0,8701.0,8786.0,2396468379,272547,135,8736.0,8786.0,1382-11-01
2004-01-24,8780.0,8800.0,8510.0,8598.0,3046799923,354333,147,8786.0,8598.0,1382-11-04
2004-01-25,8600.0,8695.0,8501.0,8587.0,3213000984,374165,183,8598.0,8587.0,1382-11-05
2004-01-26,8599.0,8600.0,8410.0,8522.0,13491186453,1581917,196,8587.0,8522.0,1382-11-06
2004-01-27,8522.0,8522.0,8400.0,8410.0,2825580922,335974,165,8522.0,8410.0,1382-11-07
2004-01-28,8410.0,8700.0,8410.0,8528.0,2821116996,330787,138,8410.0,8528.0,1382-11-08
2004-01-31,8553.0,8700.0,8490.0,8582.0,3452005411,401507,115,8528.0,8582.0,1382-11-11
2004-02-01,8500.0,8500.0,8230.0,8336.0,4734783121,567979,231,8582.0,8336.0,1382-11-12
2004-02-03,8204.0,8400.0,8201.0,8299.0,2750917406,331456,151,8336.0,8299.0,1382-11-14
2004-02-04,8250.0,8512.0,8250.0,8362.0,1999445990,238603,116,8299.0,8362.0,1382-11-15
2004-02-07,8700.0,8780.0,8600.0,8755.0,3450812795,394113,168,8362.0,8755.0,1382-11-18
2004-02-08,8835.0,9003.0,8835.0,8993.0,4805246221,534302,207,8755.0,8993.0,1382-11-19
2004-02-09,9075.0,9075.0,8699.0,8843.0,4156982946,470070,179,8993.0,8843.0,1382-11-20
2004-02-14,8842.0,8950.0,8804.0,8868.0,4401009796,496250,201,8843.0,8868.0,1382-11-25
2004-02-15,8810.0,8810.0,8425.0,8507.0,4473901114,525903,173,8868.0,8507.0,1382-11-26
2004-02-16,8400.0,8500.0,8284.0,8406.0,3197628121,380381,159,8507.0,8406.0,1382-11-27
