date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2020-05-09,140000.0,140000.0,140000.0,140000.0,115273480000,823382,237,140000.0,140000.0,1399-02-20
2020-05-10,142800.0,142800.0,142800.0,142800.0,144487467600,1011817,404,140000.0,142800.0,1399-02-21
2020-05-11,145656.0,145656.0,145656.0,145656.0,70850574144,486424,206,142800.0,145656.0,1399-02-22
2020-05-12,148569.0,148569.0,148569.0,148569.0,908981987112,6118248,552,145656.0,148569.0,1399-02-23
2020-05-13,154511.0,154511.0,154511.0,154511.0,195333424244,1264204,1312,148569.0,154511.0,1399-02-24
2020-05-16,157601.0,157601.0,157601.0,157601.0,74710123646,474046,285,154511.0,157601.0,1399-02-27
2020-05-17,160753.0,160753.0,160753.0,160753.0,42048965975,261575,265,157601.0,160753.0,1399-02-28
2020-05-18,163968.0,163968.0,163968.0,163968.0,93351081600,569325,246,160753.0,163968.0,1399-02-29
2020-05-19,170526.0,170526.0,170526.0,170526.0,56017791000,328500,249,163968.0,170526.0,1399-02-30
2020-05-20,173936.0,173936.0,173936.0,173936.0,81659299344,469479,283,170526.0,173936.0,1399-02-31
2020-05-23,177414.0,177414.0,177144.0,177413.0,2420624692546,13644021,6325,173936.0,177414.0,1399-03-03
2020-05-26,173865.0,173865.0,173865.0,173865.0,245517896070,1412118,3163,177413.0,173865.0,1399-03-06
2020-05-27,170388.0,170388.0,170388.0,170388.0,117859935420,691715,1867,173865.0,170388.0,1399-03-07
2020-05-30,166981.0,166981.0,166981.0,166981.0,152488051086,913206,1946,170388.0,166981.0,1399-03-10
2020-05-31,160302.0,160302.0,160302.0,160302.0,79280880744,494572,1344,166981.0,160302.0,1399-03-11
2020-06-01,157096.0,157096.0,157096.0,157096.0,38400389144,244439,711,160302.0,157096.0,1399-03-12
2020-06-02,153955.0,153955.0,153955.0,153955.0,89877389450,583790,1642,157096.0,153955.0,1399-03-13
2020-06-06,157034.0,157034.0,157034.0,157034.0,456504119360,2907040,1772,153955.0,157034.0,1399-03-17
2020-06-07,160174.0,160174.0,160174.0,160174.0,230339181744,1438056,849,157034.0,160174.0,1399-03-18
2020-06-08,156971.0,163377.0,156971.0,160524.0,1264844100384,7879494,11912,160174.0,157999.0,1399-03-19
2020-06-09,157331.0,162999.0,157314.0,159042.0,416158606376,2616660,6237,160524.0,157900.0,1399-03-20
2020-06-10,159050.0,160000.0,155862.0,156664.0,283929998449,1812351,5541,159042.0,155862.0,1399-03-21
2020-06-13,153531.0,153531.0,153531.0,153531.0,183665604087,1196277,2889,156664.0,153531.0,1399-03-24
2020-06-14,150461.0,150461.0,150461.0,150461.0,70795511564,470524,1417,153531.0,150461.0,1399-03-25
2020-06-15,144443.0,156479.0,144443.0,151848.0,1498980043715,9871551,8809,150461.0,156479.0,1399-03-26
2020-06-16,154884.0,154884.0,154884.0,154884.0,172365911964,1112871,729,151848.0,154884.0,1399-03-27
2020-06-20,157981.0,157981.0,157981.0,157981.0,192786899977,1220317,1139,154884.0,157981.0,1399-03-31
2020-06-21,161140.0,161140.0,157981.0,161015.0,655122386563,4068697,5835,157981.0,161140.0,1399-04-01
2020-06-22,164960.0,167455.0,159000.0,165981.0,750741055593,4523049,6455,161015.0,167455.0,1399-04-02
2020-06-23,169300.0,169300.0,164500.0,169089.0,353555158641,2090946,3956,165981.0,168900.0,1399-04-03
2020-06-24,165708.0,172450.0,165708.0,167973.0,564201812324,3358885,5972,169089.0,167000.0,1399-04-04
2020-06-27,165900.0,166500.0,164614.0,164966.0,409831361797,2484333,4338,167973.0,164614.0,1399-04-07
