symbol,missing,latest_date,latest_close,rsi,rsi_divergence,trend_score,volume_ratio_20,return_5d_percent,distance_to_20d_high_percent,distance_to_20d_low_percent,support,resistance,atr,stop_loss,target_1,risk_reward,stale,poc,vah,val,poc_position,bb_upper,bb_middle,bb_lower,bb_squeeze,bb_pct,macd_line,macd_signal,macd_hist,macd_crossover,weekly_rsi,weekly_trend,candle_pattern,candle_bullish,close_20d,initial_score,initial_label
کچاد,False,2026-06-29,2243.0,39.43,none,0.0,1.07,-6.54,15.71,2.98,2113.0,2727.0,85.71,2114.43,2727.0,3.76,False,2549.7,2655.9,2337.3,below,2727.25,2455.0,2182.75,False,0.111,-89.4206,-61.4878,-27.9328,none,31.44,down,none,,"2623,2587,2510,2442,2516,2436,2503,2433,2509,2584,2661,2582,2548,2472,2400,2328,2303,2242,2178,2243",100.0,Strong Candidate
کگل,False,2026-06-29,1964.0,43.3,none,0.0,0.44,-4.05,13.1,3.21,1947.0,2327.0,73.36,1947.85,2327.0,10.0,False,2216.95,2306.65,1947.85,below,2289.28,2097.05,1904.82,False,0.154,-68.4885,-54.8389,-13.6496,none,35.39,down,none,,"2211,2191,2127,2064,2134,2069,2130,2067,2132,2195,2260,2199,2173,2109,2047,1986,2010,1970,1903,1964",100.0,Strong Candidate
شستا,False,2026-06-29,2229.0,83.61,none,6.0,1.22,8.78,0.0,30.5,1693.0,2229.0,66.14,2129.79,2550.98,3.25,False,2131.2,2131.2,1740.0,above,2310.85,1944.1,1577.35,False,0.888,128.3725,99.6072,28.7654,none,62.53,up,none,,"1801,1789,1745,1728,1760,1708,1759,1811,1828,1882,1938,1996,2053,2113,2049,2145,2161,2225,2162,2229",100.0,Strong Candidate
وبصادر,False,2026-06-29,709.0,76.61,bearish,6.0,1.23,2.01,2.88,20.37,546.0,733.0,23.93,673.11,733.0,0.67,False,717.45,717.45,617.05,below,763.15,659.8,556.45,False,0.738,39.2747,36.1888,3.0859,none,58.6,up,none,,"591,603,589,600,611,593,610,628,644,663,682,700,722,715,695,692,710,730,709,709",70.0,Strong Candidate
خودرو,False,2026-06-29,542.0,58.12,none,4.0,0.56,-5.9,7.19,8.18,492.0,545.0,18.5,514.25,593.29,1.85,False,563.05,601.25,505.75,below,593.94,541.15,488.36,False,0.508,10.4652,8.6487,1.8165,none,42.99,down,none,,"530,522,518,507,506,516,501,516,531,535,551,567,562,572,576,571,584,566,550,542",64.0,Strong Candidate
خساپا,False,2026-06-29,533.0,55.56,none,1.0,0.44,-6.49,8.89,4.1,523.0,568.0,20.36,502.46,568.0,1.15,False,565.25,585.05,535.55,below,596.81,549.7,502.59,False,0.323,8.393,10.6442,-2.2512,bearish,48.44,down,none,,"540,532,522,512,528,513,528,543,545,561,577,560,574,585,570,581,580,563,547,533",64.0,Strong Candidate
شبندر,False,2026-06-29,12080.0,87.93,none,6.0,1.48,4.23,0.98,43.3,7590.0,12210.0,376.43,11515.35,12210.0,0.23,False,8644.5,9191.5,7003.5,above,13014.79,10477.5,7940.21,False,0.816,1032.2028,918.4811,113.7217,none,73.29,up,none,,"8430,8680,8940,9200,9470,9190,9480,9760,10050,10350,10660,10970,11290,11620,11590,11910,11850,12200,11830,12080",60.0,Strong Candidate
فملی,False,2026-06-29,20650.0,61.64,none,4.0,0.64,-6.43,10.91,18.34,13680.0,23640.0,795.0,19457.5,23640.0,2.51,False,14595.0,18635.0,13585.0,above,23712.98,20489.0,17265.02,False,0.525,1339.4974,1608.2343,-268.7369,none,65.67,down,none,,"17450,17970,18500,19040,19410,18830,19450,20030,20630,21240,21870,22520,23180,22380,22070,21420,21680,21020,20440,20650",60.0,Strong Candidate
وبملت,False,2026-06-29,1272.0,59.81,none,3.0,0.53,-4.07,11.3,10.99,1218.0,1358.0,46.43,1202.36,1358.0,1.23,False,1304.05,1373.15,1165.85,below,1436.14,1269.75,1103.36,False,0.507,25.6023,27.2776,-1.6754,bearish,37.06,down,none,,"1146,1178,1147,1189,1207,1171,1206,1242,1278,1316,1355,1387,1434,1364,1326,1303,1331,1288,1255,1272",60.0,Strong Candidate
وتجارت,False,2026-06-29,636.0,85.8,none,6.0,1.52,-0.93,3.49,35.32,447.0,669.0,18.21,608.68,669.0,1.21,False,645.3,645.3,508.3,below,706.71,577.25,447.79,False,0.727,49.7282,45.122,4.6063,none,62.62,up,none,,"470,484,497,510,525,510,527,542,558,574,591,608,626,644,642,645,650,659,647,636",51.0,Moderate Candidate
