symbol,missing,latest_date,latest_close,rsi,macd,macd_signal,macd_hist,trend_score,volume_ratio_20,return_5d_percent,distance_to_20d_high_percent,distance_to_20d_low_percent,support,resistance,stop_loss,target_1,risk_reward,stale,bb_upper,bb_mid,bb_lower,bb_width,bb_position,candlestick_signal,candlestick_patterns,candlestick_bonus,initial_score,initial_label,sector,smart_money_signal,smart_money_fa,queue_signal,queue_fa,queue_detail,sector_status,confidence_score,confidence_grade,confidence_factors,decision_label,decision_reasons,rsi_status
ثهام,False,2026-06-21,67234.0,77.61,4170.09,3257.3,912.79,6,2.59,4.36,2.5,35.35,49674.0,68959.0,48183.78,68959.0,0.09,False,71556.82,59791.7,48026.58,39.35,81.6,neutral,بدون الگو,0,73,Moderate Candidate,سایر,price_volume_bullish,رشد با حجم بالا,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,73,B,پول هوشمند: +5 | RSI=78: -10 (اشباع خرید) | روند 6/6: +18 | حجم 2.6x: +10,Wait for Pullback,RSI=78 در محدوده ۷۰-۸۰ → صبر برای پولبک,اشباع خرید
خنور,False,2026-06-21,8860.0,51.82,-1680.83,-2158.86,478.03,4,2.99,-4.01,6.74,16.12,7630.0,9500.0,7401.1,9500.0,0.44,False,9548.59,8600.5,7652.41,22.05,63.7,neutral,بدون الگو,0,82,Moderate Candidate,خودرو,price_volume_bullish,رشد با حجم بالا,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🔴 عقب‌مانده,82,A,پول هوشمند: +5 | RSI=52: +15 (ایده‌آل) | روند 4/6: +12 | حجم 3.0x: +10 | سکتور عقب‌مانده: -10,Entry Candidate,"امتیاز=82, trend=4, RSI=52, حجم=3.0x",میانه
كيسون,False,2025-01-15,2993.0,77.72,195.2,182.07,13.13,6,0.8,10.85,0.0,29.74,2307.0,2993.0,2237.79,2993.0,,True,2982.61,2621.05,2259.49,27.59,101.4,bullish,دوجی | چکش 🔨 | پین بار صعودی 📍,30,58,Moderate Candidate,سایر,no_data,داده صف در دسترس نیست,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,58,C,RSI=78: -10 (اشباع خرید) | روند 6/6: +18,Wait for Pullback,RSI=78 در محدوده ۷۰-۸۰ → صبر برای پولبک,اشباع خرید
غشان,False,2026-06-21,7600.0,91.47,738.41,623.41,115.01,6,1.05,11.27,0.0,81.17,4195.0,7600.0,4069.15,7600.0,,False,8001.08,6280.5,4559.92,54.79,88.3,neutral,بدون الگو,0,58,Moderate Candidate,غذایی,no_data,داده صف در دسترس نیست,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,58,C,RSI=91: -10 (اشباع خرید) | روند 6/6: +18,Avoid Entry Now - Overbought,RSI=91 ≥ 80 → اشباع خرید شدید,اشباع خرید شدید
ميهن,False,2026-06-21,2150.0,31.84,18.96,25.3,-6.34,4,2.41,-5.29,10.15,1.18,2125.0,2393.0,2042.5,2393.0,2.26,False,2388.11,2230.2,2072.29,14.16,24.6,bearish,ستاره تیرانداز 🔻,-15,79,Moderate Candidate,سایر,no_data,داده صف در دسترس نیست,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,79,B,روند 4/6: +12 | حجم 2.4x: +10 | R:R=2.3: +7,Watch Only,RSI=32 خارج از محدوده ایده‌آل,ضعیف
اپال,False,2026-06-21,9740.0,56.25,-61.9,-204.28,142.37,5,2.22,-1.81,4.6,9.68,8880.0,10210.0,8613.6,10210.0,0.42,False,10238.57,9406.5,8574.43,17.69,70.0,neutral,بدون الگو,0,95,Moderate Candidate,سایر,price_volume_bullish,رشد با حجم بالا,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,95,A,پول هوشمند: +5 | RSI=56: +15 (ایده‌آل) | روند 5/6: +15 | حجم 2.2x: +10,Entry Candidate,"امتیاز=95, trend=5, RSI=56, حجم=2.2x",میانه
رتاپ,False,2026-06-21,5570.0,63.18,272.03,276.41,-4.38,6,0.88,4.31,0.0,16.77,4770.0,5570.0,4626.9,5570.0,,False,5639.09,5208.55,4778.01,16.53,92.0,neutral,بدون الگو,0,76,Moderate Candidate,مخابرات,no_data,داده صف در دسترس نیست,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,76,B,RSI=63: +8 (مناسب) | روند 6/6: +18,Watch - Needs Volume Confirmation,حجم نسبی=0.88 → نیاز به تایید حجم,بالاتر از میانه
دزهراوي,False,2026-06-21,2369.0,,201.6,138.05,63.55,6,9.47,12.65,0.0,69.7,1396.0,2369.0,1354.12,2369.0,,False,2500.05,1866.2,1232.35,67.93,89.7,neutral,بدون الگو,0,83,Moderate Candidate,سایر,price_volume_bullish,رشد با حجم بالا,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,83,A,پول هوشمند: +5 | روند 6/6: +18 | حجم 9.5x: +10,Missing Technical Data,داده تاریخچه یا اندیکاتور در دسترس نیست,نامشخص
تاپكيش,False,2026-06-21,3464.0,49.88,113.31,134.7,-21.39,6,0.93,0.17,3.13,8.56,3191.0,3576.0,3095.27,3576.0,0.3,False,3594.38,3391.8,3189.22,11.95,67.8,neutral,بدون الگو,0,88,Weak Candidate,سایر,price_volume_bullish,رشد با حجم بالا,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,88,A,پول هوشمند: +5 | RSI=50: +15 (ایده‌آل) | روند 6/6: +18,Watch - Needs Volume Confirmation,حجم نسبی=0.93 → نیاز به تایید حجم,محدوده ایده‌آل
بپاس,False,2026-06-21,7600.0,93.7,466.42,311.09,155.32,6,1.26,11.27,0.0,43.4,5300.0,7600.0,5141.0,7600.0,,False,7760.05,6250.0,4739.95,48.32,94.7,neutral,بدون الگو,0,62,Weak Candidate,بیمه,no_data,داده صف در دسترس نیست,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,62,C,RSI=94: -10 (اشباع خرید) | روند 6/6: +18 | حجم 1.3x: +4,Avoid Entry Now - Overbought,RSI=94 ≥ 80 → اشباع خرید شدید,اشباع خرید شدید
